,Project Name,Project Description,City,Local,Project Type,Bid Type,Design Type,Estimator,DEPT,Bid Status, Base Bid 
177,Rosehill Chapel pole fixture head upgrade,Replace pole heads with LED,Whittier, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Lost,15988
178,Blizzard Boring Project,Install UG Conduit,Irvine, 441 OC , Site , Select Bid List , Design/Build , Todd L , Est. ,Awarded,100295
179,San Juan MOB Service Upgrade,Upgrade MSB from 1600A to 2500A,SJC, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,Awarded,49086
181,Bbraun Transmitters for Duplex,New transmitter boxes for Duplex,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,10969
182,Deutsche Bank copier outlet conversion,Convert outlet from 208 to 120 volt,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,670
183,SpaceX new feeder ROM,Various ROMs for feeders,Hawthorne, 11 LA , Comercial , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,392070
185,Blizzard B9 LATM,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Design/Build , Steve  , Est. ,Awarded,246820
186,Blizzard B8 BIIS,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Design/Build , Steve  , Est. ,Awarded,227545
187,Blizzard B6 Cinematics,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Design/Build , Steve  , Est. ,Awarded,152044
190,HOAG Neuroscience Institute,Neuroscience office TI,Newport Beach, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,Lost,36584
191,OCC Recycle conduit and outlet,New outlet and data conduit for scale,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , P.M. ,Awarded,1680
192,Verizon Wireless Campus Entry Bollards,Remove and replace existing bollards,Irvine, 441 OC , Site , Competitive , Design/Build , Rudy , Est. ,Lost,13192
193,New outlets for Town Center Cerritos,Add outlets in 7 offices,Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,10800
194,Stairwell light replacment,Replace stairwell lighting,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,440
199,Kaiser Manhattan Beach MOB,MOB Rennovation,Manhattan Beach, 11 LA , TI , Select Bid List , Design/Build , Rudy , Est. ,Lost,663345
207,Pelican Hills Lobby & General Circulation,Lighting Retrofit,Newport Beach, 441 OC , Comercial , Select Bid List , Design/ Assist , Jeff P. , Est. ,Awarded,21350
208,Gate Power for SCE yard ,Pull Tray cable for new gate power,Buena Park, 441 OC , Site , Select Bid List , Design/ Assist , Doyle , S.P. ,Lost,6030
209,EMC2 Outlet extention,Extend circuit and add new outlet,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1478
210,First American UPS rack power,New UPS circuits to basement racks,Santa Ana, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,13872
211,The Cheesecake Factory - Cerritos Mall,Restaurant ,Cerritos, 11 LA , Comercial , Select Bid List , Engineered , Steve  , Est. ,Lost,696754
212,Youngs Diner outlets for Coffee Machines,New Circuits for Coffee machines,Tustin, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1788
214,Deutche Bank 4 load studies 7 days each,Four 7 day load studies,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,4990
215,MetroCenter power shut down,Assist with power outage,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1200
219,DSI install cf 3000 amp ATS,Install CF ATS and Gear,Anaheim, 441 OC , Comercial , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,79900
222,CBRE 91 LED pole light retrofit,Retrofit 91 pole heads,Anaheim, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Lost,93047
223,SpaceX Dragon / Triumph project,Dragon/Triumph project,Hawthorne, 11 LA , Comercial , Select Bid List , Engineered , Rudy , Est. ,Lost,912269
224,Epson Carson new printer circuit,New circuit to printer,Carson, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2215
225,1833 Rockwell Collins Project,Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,Awarded,1883000
226,1733 Rockwell Collins Project,Tenant Improvement,Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,Awarded,2515000
228,Replace stairwell smoke detector,Replace Stairwell smoke detector,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,450
229,First American MR16 lighting repair for main control room,Troubleshoot and repair lighting budget,Santa Ana, 441 OC , TI , Negotiated , Design/Build , Doyle , S.P. ,Awarded,4610
232,Pyrocomm Propane Conduit and Power Project,Add New power and fiber raceways,San Pedro, 11 LA , Industrial , Select Bid List , Design/Build , Doyle , S.P. ,Lost,256130
234,Culver Studios repair damaged feeder,Repair damaged feeder,Culver City, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3981
235,Dineyland EOC,New emergency operations center,Anaheim, 441 OC , Specialty , Competitive , Engineered , Rudy , Est. ,Lost,1339206
236,Young's Market 2nd Floor Offices,Tenant Improvement,Tustin, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,Awarded,20920
237,Pacific Life - 45 Enterprise,TI - Office Additions,Aliso Viejo, 441 OC , TI , Competitive , Engineered , Steve  , Est. ,Awarded,38034
241,Park City Pole Replacemetn,Replace damaged pole,Orange, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Lost,6845
243,Cylance,Office TI ,Irvine, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,Awarded,227089
245,Orange city square rooftop chiller replacement,Replace roof units on 2 buildings,Orange, 441 OC , TI , Competitive , Engineered , Doyle , S.P. ,Lost,73775
246,Replace recessed can for Fetility office at LIDO,Replace recessed can,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,460
247,Toy Story CUP Amendment,Parking Lot,Anaheim, 441 OC , Specialty , Select Bid List , Engineered , Jeff P. , Est. ,Awarded,97040
248,Deutche Bank Panel L1C feeder breaker,Trouble shoot lighting issue file room,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,1934
249,First American Inverter Battery replacment,Replace 10 inverter batteries,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4000
252,Sage Hill Tennis Complex,Sports Lighting Project,Newport Beach, 441 OC , Specialty , Competitive , Engineered , Steve  , Est. ,Lost,390694
255,Harbor Walk Condominiums Panels,Replace FA panels,LA, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,Lost,98800
256,HHI Facilities Office & Lay Down Area Electrical Services,Healthcare Tenant Improvement,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,Awarded,88337
257,HHI Make Ready,Healthcare Tenant Improvement,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,Awarded,49707
258,HHI Pneumatic Tubes,Healthcare Tenant Improvement,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,Awarded,24673
259,HHI Decontamination Tank,Healthcare Tenant Improvement,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,Awarded,7283
260,Thales KA Band Antenna,New roof top power for Antenna,Irvine, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Awarded,8500
261,OCC Machine Shop machine relocation,Power relocation for machines,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,18801
262,Al Bosso Tesla Outlet,New circuit and outlet for Tesla Charger,Capistrono Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,996
263,"Thales 53 Discovery 2nd Fl, Phase I",Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Lost,208101
264,Hotel Irvine - Boardroom Lamp replacement,Replace lamps in existing fixtures,Irvine, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,1900
267,VMR Huntington Beach,Tenant Improvement,Huntington Beach, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Awarded,41510
268,Blizzard B10 CAPPS/IT Security,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Rudy , Est. ,Lost,212772
269,Caryl Trittipo TI Laguna Beach,Tenant Improvement,Laguna Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,1560
271,The Boardwalk,New Construction,Irvine, 441 OC , Shell , Budget , Engineered , Frank , Est. ,Lost,13870797
275,Deustche Bank Santa Ana IR scan,Scan IR for normal panels,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,5045
276,Bbraun Duplex Demo P1 P2 and P5,Demo old conduit and wire,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2402
277,3 bedroom suite rewire and new service,New service and rewire for TI,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,9885
278,Alice Chu 10 new recessed cans and switches,New recess cans and switches,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,2800
279,TWC Gate Power repair,New conduit and wiring for gate power,Anaheim, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6285
280,Crockett & Crokett Offices,Office TI,Aliso Viejo, 441 OC , TI , Select Bid List , Engineered , Rudy , Est. ,Lost,31014
281,OCC District Copier outler,New 208 volt copier outlet,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1700
283,Rolling Hills Golf Club Survery,Survey existing electrical,Rolling Hills, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3500
284,Tommy Bahama,Retail TI,Huntington Beach, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,Lost,81768
285,HOI Access Doors,Relocation of devices for new doors,Irvine, 441 OC , Hospital , Competitive , Design/Build , Rudy , Est. ,Awarded,1135
286,HOI Sterilizer ,Installation of new sterilizer,Irvine, 441 OC , Hospital , Competitive , Design/Build , Rudy , Est. ,Awarded,2089
288,Moutain Gate TI with Anthony Maes,Small Coto De Caza TI,Trabuco Canyon, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,Lost,5690
289,Davita,Tenant Improvement,El Segundo, 11 LA , TI , Negotiated , Engineered , Frank , Est. ,Awarded,1840680
290,First American Whip modificatoin,Modify whips in data center,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2150
292,Mesa Water UPS circuit,UPS circuit for new equipment,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,5460
293,Rising Sun Sushi Budget,Budget for new sushi Resturaunt,Oceanside, 441 OC , TI , Budget , Design/ Assist , Doyle , S.P. ,Awarded,35000
299,HHCI Shady Creek Tenant Improvement,MOB Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,Awarded,2393320
302,Hoag Womens Hub,Tenant Improvement,Newport Beach, 441 OC , TI , Competitive , Engineered , Ron , Est. ,Lost,121000
304,Rasta Buss Electrical repairs,Electrical repairs,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4657
305,TWC New Office TI layout city of industry,New cubical power runs,City of Industry, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6748
306,Century City West Parking,Century City,Los Angeles, 11 LA , Fire Alarm , Select Bid List , Design/ Assist , Ron , P.M. ,Lost,7000
307,Swift Engineering Bld B reloc transformer and panel,Relocate Transformer and panel,San Clemente, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,11823
308,EMC2 New 50 amp buss plugs,Furnish 4 new 50 amp starline plugs,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3946
310,Tustin High Ball Field Container Lighting,Lights for storage container,Tustin, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Lost,1950
312,Head Start new interior wall 3rd floor,TI for 3rd floor partial,Santa Fe Springs, 441 OC , TI , Competitive , Engineered , Doyle , S.P. ,Awarded,3800
317,Valley Presbyterian Cath lab UPS,Check UPS and advise,Van Nuys, 441 OC , Hospital , Negotiated , Design/Build , Doyle , S.P. ,Awarded,1190
318,Epson Warehouse lighting relocation,Relocate 88 existing fixtures,Carson, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,9940
319,Hotel Irvine replace feeder to 300 KVA kitchen transformer,Replace feeder to kitchen transformer,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,29947
