Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
16-011,Time Warner Corona for Datacom,Conduit and parking lot light,560 S. Promonade,Corona,CA, 441 OC ,, Site , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,9/11/2015," $9,723 ",,,,,,,,,,,Pending,2%, $194 ,,,,,,,,,Datacomm,Kevin Gomez,,,,,,,,,,,,,,,,,,,,,
16-012,PacLife new outlets and data stubs,New outlets and data stubs,45 Enterprise,Aliso Viejo,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/14/2015," $1,400 ",,,,,,,,,,,Pending,2%, $28 ,,,,,,,,,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,,
16-013,"Hoag Hospital, Med Air Compressor Replacement",Replace existing Med A/C's with new,,Newport Beach,CA, 441 OC ,, Hospital , Competitive , Engineered , Steve  , Est. , CA ,9/18/2015," $25,694 ",,,,,,,,,,,Pending,5%," $1,285 ",,,,,,,,,Hoag,Andrea Witjakso,,,,,,,,,,,,,,,,,,,,,
16-014,Mesa Water add new feeder for UPS,New transformer and feeder for UPS,1965 Placentia,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/15/2015," $4,285 ",, $750 ,,,,,,,,,Pending,2%, $86 ,,,,,,,,,T2,Roy Schwarz,,,,,,,,,,,,,,,,,,,,,
16-015,Thales Customer Experience,New Ti for customer experience,53 Discovery,Irvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Doyle , S.P. , CA ,9/22/2015," $186,576 ",," $2,850 "," $3,450 "," $1,000 "," $3,000 ",,,,,,Pending,2%," $3,732 ",,,,,,,,,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,
16-016,OCC Pavillion feeder replacement,Repull feeder to pavillion,2701 Fairview Ave,Costa Mesa,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/17/2015," $60,897 ",," $6,500 ",,,,,,,,,Awarded,100%, $- ,,,,,,,OCC,Randy Key,OCC,Randy Key,,,,,,,,,,,,,,,,,,,,,
16-017,OCC Bakery outlets above prep tables,New outlets on existing circuit,2701 Fairview Ave,Costa Mesa,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/17/2015," $1,287 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,OCC,Randy Key,,,,,,,,,,,,,,,,,,,,,
16-018,OCC Skill Center 110 new machines and outlets,New Circuits to new machines ,2701 Fairview Ave,Costa Mesa,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/17/2015," $4,671 ",,,,,,,,,,,Pending,2%, $93 ,,,,,,,,,OCC,Randy Key,,,,,,,,,,,,,,,,,,,,,
16-019,The Ritz Palm tree lighting,New underground outlets for palm trees,2801 W. Coast Hwy,Newport Beach,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/17/2015," $5,894 ",,,,,,,,,,,Pending,2%, $118 ,,,,,,,,,Bayview RMG,Elio Amato,,,,,,,,,,,,,,,,,,,,,
16-020,Youngs Door Closers,Install relay for 3 door closers,Franklin Ave,Tustin,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/17/2015," $3,450 ",,,,,,,,,,,Pending,2%, $69 ,,,,,,,,,DBAC,Phin Banning,,,,,,,,,,,,,,,,,,,,,
16-021,UC Path Lighting Repair,Repair 7 fixtures,,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/21/2015," $3,000 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,UC Path,Darryl Brown,UC Path,Darryl Brown,,,,,,,,,,,,,,,,,,,,,
16-022,Toyota Explosion proof fire alarm raceways,Replace box and conduit for FA,1630 W. 186th St,Gardena,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/21/2015," $3,000 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Redhawk,Johnathan Hathaway,,,,,,,,,,,,,,,,,,,,,
16-023,Westside Building Lobby remodel,Lobby remodel lighting and outlets,1111 E. Howell,Anaheim,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/24/2015," $9,987 ",,,,,,,,,,,Pending,2%, $200 ,,,,,,,,,Westside Building,Jared Rabin,,,,,,,,,,,,,,,,,,,,,
16-024,Westside Building warehouse lighting repair,Repair/replace warehouse lighting,1111 E. Howell,Anaheim,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/24/2015," $2,875 ",," $6,188 ", $600 ,,,,,,,,Pending,2%, $58 ,,,,,,,,,Westside Building,Jared Rabin,,,,,,,,,,,,,,,,,,,,,
16-025,Bbraun Duplex line 2 and 3 vac pumps,New switches and controls,2525 Mcgaw,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/24/2015," $14,914 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Bbraun,Paul Babbit,,,,,,,,,,,,,,,,,,,,,
16-026,Bonsall village exterior lighting project,Exterior lighting renovation,5517 Misson Rd,Bonsall,CA, 441 OC ,, Site , Budget , Design/Build , Doyle , S.P. , CA ,9/30/2015," $59,080 ",,,,,,,,,,,Pending,2%," $1,182 ",,,,,,,,,Howard Building,Jim Blackamore,,,,,,,,,,,,,,,,,,,,,
16-027,Hotel Irvine Parking Lot automation,Conduit for parking lot automation,17900 Jamboree,Irvine,CA, 441 OC ,, Site , Select Bid List , Engineered , Doyle , S.P. , CA ,10/3/2015," $1,950 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Amano McGann,Martha Parker,,,,,,,,,,,,,,,,,,,,,
16-028,Youngs Storage Room Convert to office,Convert storage room to office,Franklin Ave,Tustin,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/30/2015," $8,800 ",,,,,,,,,,,Pending,2%, $176 ,,,,,,,,,DBAC,Phin Banning,,,,,,,,,,,,,,,,,,,,,
16-029,Sand Canyon Business Park,(2) New 4 story Office Buildings. ,6400 Irvine Center Drive,Irvine,CA, 441 OC ," 205,632 ", Shell , Competitive , Engineered , Frank , Est. , CA ,10/15/2015," $3,250,483 ",," $144,987 "," $(74,844)"," $19,384 "," $11,390 ",,,,,,Lost,0%, $- ,,,,,,,,,Snyder Langston,G. Carlson,,,,,,,,,,,,,,,,,,,,,2 biders 9% lower 1 higher
16-030,HHI ED Expansion Design Build Services,New ED Exspansion,16200 Sand Canyon Ave,Irvine,CA, 441 OC ," 12,700 ", Hospital , Negotiated , Design/Build , Frank , Est. , CA ,10/5/2015," $170,493 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-031,Prudential California Carrel Removal ,Tenant Improvement,3333 Michelson Drive,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,10/5/2015," $7,993 ",,,,,,,,,,,Pending,2%, $160 ,,,,,,,,,Briggs Datacom,J. Nakamura,,,,,,,,,,,,,,,,,,,,,
16-032,Thales Engineer Labs ,Tenant Improvement,53 Discovery,Irvine,CA, 441 OC ," 34,867 ", TI , Competitive , Engineered , Frank , Est. , CA ,10/15/2015," $812,961 ",," $110,381 "," $4,273 "," $12,448 ",,,,,,,Pending,5%," $40,648 ",,,,,,,Turelk,Craig Powell,Turelk,Craig Powel,,,,,,,,,Accord,,,,,,,,,,,,
16-033,Hoag Health Center Package B & C,Medical Tenant Improvement,,Irvine,CA, 441 OC ," 75,000 ", TI , Competitive , Engineered , Jeff P. , Est. , CA ,10/20/2015," $2,526,185 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Snyder Langston,Larry Whitten,DEB,Dan Tedder,,,,,,,,,,,,,,,,,,,
16-034,Quantum Fuel Crane Power ,Move crane power and connect new crane,25242 Arctic Ocean Dr.,Lake Forest,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/7/2015," $3,850 ",,,,,,,,,,,Lost,0%, $- ,,,,,,,,,Quantum Fuel,Fernando Coll,,,,,,,,,,,,,,,,,,,,,
16-035,Blizzard Building #1 and #3 budget,1st and 2nd floor TI,16205 Alton PKY,Irvine,CA, 441 OC ,, TI , Budget , Design/Build , Jeff S , P.M. , CA ,10/9/2015," $291,445 ",,,,,,,,,,,Pending,0%, $- ,,,,,,,,,HBC,Nima,,,,,,,,,,,,,,,,,,,,,
16-036,BioRad standby labor for schedule outage,Standby labor for SCE outage,9 Howard,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/7/2015," $1,500 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,BioRad,Mike Snyder,BioRad,Mike Snyder,,,,,,,,,,,,,,,,,,,,,
16-037,Telepacific New  underfloor outlets,Add 11 new underfloor outlets,58 Corporate Park,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/7/2015," $6,620 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Telepacific,Mike Yee,,,,,,,,,,,,,,,,,,,,,
16-038,First American TV outlet and stub,Control room break room outlet,9 First American Way,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/12/2015, $500 ,, $700 ," $1,000 ",,,,,,,,Not Built,0%, $- ,,,,,,,First American,,First American,Teri Wang,,,,,,,,,,,,,,,,,,,,,
16-039,Youngs Lobby Lighitng retrofit,retrofit existing cans with LED,Franklin Ave,Tustin,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/12/2015," $13,400 ",,,,,,,,,,,Not Built,0%, $- ,,,,,,,,,Youngs Market,Cassie Kelle,,,,,,,,,,,,,,,,,,,,,
16-040,Baxalta Outlet for new stacker,New outlet 120 volt duplex,15903 Strathern,Van Nuys,CA, 11 LA ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/18/2015," $2,875 ",," $3,000 ",,,,,,,,,Not Built,0%, $- ,,,,,,,,,Baxalta,Elia Kogan,,,,,,,,,,,,,,,,,,,,,
16-041,"PacLife Newport Ground, 4 and 5 floor restack",Rework lighting and power,700 Newport Center Dr,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Engineered , Frank , Est. , CA ,11/4/2015," $45,011 ",," $7,394 "," $1,780 ",,,,,,,,Awarded,100%, $- ,,,,,,,,,Turelk,Earl Lund,Thorpe Const.,Adam Thorpe,,,,,,,,,,,,,,,,,,,
16-042,Anaheim Corp Plaza Elevator breaker replacement,Replace 150 amp SqD I line breaker,2390 Orangewood,Anaheim,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/22/2015, $898 ,,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Anaheim Corp,Nick Aydelott,,,,,,,,,,,,,,,,,,,,,
16-043,Boeing AC Project,Replace AC unit,5301 Bolsa Ave,Huntington Beach,CA, 441 OC ,, TI , Select Bid List , Engineered , Doyle , S.P. , CA ,10/22/2015," $11,170 ",," $44,677 "," $7,800 ",,,,,,,,Lost,0%, $- ,,,,,,,,,DBaC,Phin Banning,,,,,,,,,,,,,,,,,,,,,
16-044,ASM Office Split,Tenant Improvement,,Anaheim,CA, 441 OC , 373 , TI , Negotiated , Design/Build , Frank , Est. , CA ,10/23/2015," $3,565 ",,,,,,,,,,,Pending,10%, $357 ,,,,,,,HBC,Scapinato,,,,,,,,,,,,,,,,,,,,,,,
16-045,Bbraun E3 Control Panel for roof valves,control power for roof valves,2525 Mcgaw,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/23/2015," $19,838 ",," $10,995 ",,,,,,,,,Awarded,100%, $- ,,,,,,,,,Bbraun,Bob Panza,,,,,,,,,,,,,,,,,,,,,
16-046,Red Lion power for 3 new car chargers,New power and design for 3 car chargers,1850 S. Harbor,Anaheim,CA, 441 OC ,, Comercial , Budget , Design/Build , Doyle , S.P. , CA ,10/23/2015," $9,800 ",," $16,790 "," $1,000 ",,,,,,,,Not Built,0%, $- ,,,,,,,,,Red Lion Hotel,Ron Carlton,,,,,,,,,,,,,,,,,,,,,
16-047,Hoag Urgent Care Los Olivos,Tenant Improvement,8607 Irvine Center Dr,Irvine,CA, 441 OC ," 3,179 ", TI , Competitive , Engineered , Steve  , Est. , CA ,10/3/2015," $156,514 ",," $3,684 ",,,,,,,,,Lost,5%, $- ,,,,,,,,,Nelson + Okerlund,Mitch Miller,Turelk,Toni Scrapinato,,,,,,,,,,,,,,,,,,,
16-048,Chevron CRC Pre-action,FA Pre-Action,160 E.El Segundo ,ElSegundo,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Ron , P.M. , CA ,10/28/2015," $8,000 ",,,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-049,WDI-Cerritos Warehouse,Tenant Improvement,1601 E. Cerritos,Anaheim,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,11/4/2015, $- ,,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,Turelk,Earl Lunc,,,,,,,,,,,,,,,,,,,,,
16-050,SpaceX Compactor relocation at Xbox building,Distribuiton for new compactors,3301 Jack Northrop Ave,Hawthorne,CA, 11 LA ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/1/2015," $55,400 ",," $24,000 ",,,,,,,,,Pending,2%," $1,108 ",,,,,,,,,SpaceX,John Lordon,,,,,,,,,,,,,,,,,,,,,
16-051,Epson Long Beach new outlets for phone switch,New outlets for 1st floor phone switch,3840 Kilroy Airport Way,Long Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/29/2015," $1,860 ",,,,,,,,,,,Pending,2%, $37 ,,,,,,,,,Epson,Stephanie Ross,,,,,,,,,,,,,,,,,,,,,
16-052,Epson Carson Move Supress Printed to Glenn Curtiss,Move printer to new building,1650 Glenn Curtiss,Carson,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/1/2015," $1,470 ",,,,,,,,,,,Pending,2%, $29 ,,,,,,,,,Epson ,Nia Smith,,,,,,,,,,,,,,,,,,,,,
16-053,Deutsche Bank TI budget,Budget for TI work,St Andrews Place,Santa Ana,CA, 441 OC ,, TI , Budget , Design/ Assist , Doyle , S.P. , CA ,11/1/2015," $283,165 ",,,,,,,,,,,Pending,2%," $5,663 ",,,,,,,,,CDG,Chris DeFazio,,,,,,,,,,,,,,,,,,,,,
16-054,Telepacific new power at rack,New power at existing rack,58 Corporate Park,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/1/2015," $4,992 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Telepacific,Pat Johnson,,,,,,,,,,,,,,,,,,,,,
16-055,SpaceX Chadron Power Upgrade,New SCE work and 2 new services,1 Rocket Road,Hawthorne,CA, 11 LA ,, Site , Select Bid List , Engineered , Frank , Est. , CA ,11/10/2015," $151,076 ",,,,,,,,,,,Pending,0%, $- ,,,,,,,,,SpaceX,John Lordon,,,,,,,,,,,,,,,,,,,,,
16-056,SpaceX Main Building Power Upgrade,Main Building power upgrade,1 Rocket Road ,Hawthorne,CA, 11 LA ,, Site , Budget , Engineered , Frank , Est. , CA ,11/2/2015," $634,561 ",,,,,,,,,,,Pending,0%, $- ,,,,,,,,,SpaceX,Ross Hully,,,,,,,,,,,,,,,,,,,,,
16-057,SpaceX Xbox Building Utility power upgrade,X-Box main power building upgrade,3307 Jack Northrop Rd,Hawthorne,CA, 11 LA ,, Site , Select Bid List , Engineered , Frank , Est. , CA ,11/10/2015," $287,002 ",,,,,,,,,,,Pending,0%, $- ,,,,,,,,,SpaceX,John Lordon,,,,,,,,,,,,,,,,,,,,,
16-058,Bbraun engineering cube reconfig,Reconfig work cubes in engineering,2525 Mcgaw,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/5/2015," $2,800 ",,,,,,,,,,,Pending,2%, $56 ,,,,,,,,,Bbraun,Steve Hewes,,,,,,,,,,,,,,,,,,,,,
16-059,Tesla Fire Alarm,Fire Alarm Install,,BFE,NV, 401 Reno ,, Fire Alarm , Select Bid List , Engineered , Jeff P. , Est. , NV ,11/2/2015," $711,400 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Siemans,Michael Hopkins,,,,,,,,,,,,,,,,,,,,,
16-060,Hoag 3 West Demo,Demo,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Competitive , Engineered , Steve  , Est. , CA ,11/6/2015," $51,554 ",,,,,,,,,,,Pending,5%," $2,578 ",,,,,,,,,Hoag,Andrea Witjakco,,,,,,,,,,,,,,,,,,,,,
16-061,Thales Cafeteria Pricing Plan,"Thales Cafeteria Pricing Plan
",53 Discovery,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,11/2/2015," $369,220 ",,,,,,,,,,,Pending,2%," $7,384 ",,,,,,,,,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,
16-062,Deutsche Bank Survey for new Syska design,Load Studies and surveys,St Andrews Place,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,11/3/2015," $8,000 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,CDG,Chris DeFazio,,,,,,,,,,,,,,,,,,,,,
16-063,Time Warner Corona Warehouse Fixture Relocation,Light fixture relocate in warehouse,560 S. Promonade,"Corona
",CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/5/2015," $3,100 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Time Warner,CeCe Valles,,,,,,,,,,,,,,,,,,,,,
16-064,Bbraun Duplex line 2 & 3 Mezzanine work,Conduit and wire for selenoids/controls,2525 Mcgaw,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/6/2015," $1,800 ",,,,,,,,,,,Pending,5%, $90 ,,,,,,,,,Bbraun,Nurman Husni,,,,,,,,,,,,,,,,,,,,,
16-065,Youngs Market cubical addtions 2 areas,New office layout power and data,Franklin Ave,Tustin,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/6/2015," $6,980 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Youngs Market,Cassie Kellie,,,,,,,,,,,,,,,,,,,,,
16-066,Hotel irvine Repull emergency feed to ATS,Repull bad feeder to ATS,17900 Jamboree,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/8/2015," $3,800 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Hotel Irvine,Robert Moscato,,,,,,,,,,,,,,,,,,,,,
16-067,SpaceX HT-01 Third Floor Phase 2,Tenant Improvement,1 Rocket Road,Hawthorne,CA, 11 LA ,, TI , Select Bid List , Engineered , Steve  , Est. , CA ,11/18/2015," $568,344 ",,,,,,,,,,,Pending,2%," $11,367 ",,,,,,,,,SpaceX,Elisa Suarez,,,,,,,,,,,,,,,,,,,,,
16-068,Hoag Automated Specimen Processor,Tenant Improvement,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Bill  , P.M. , CA ,11/20/2015," $11,900 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-069,Irvine Spectrum Wheel control cabinet replacment,Replace cabinet with panel,Irvine Spectrum,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/14/2015," $6,770 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Irvine Retail,Bob Lisle,,,,,,,,,,,,,,,,,,,,,
16-070,Hoag OB ED and Retail,Tenant Improvement,500 Superior Ave,Newport Beach,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Brian , Est. , CA ,11/16/2015," $26,595 ",,,,,,,,,,,Pending,2%, $532 ,,,,,,,,,HBC,Scarp,,,,,,,,,,,,,,,,,,,,,
16-071,"Hoag Bldg 520, Suite 270",Tenant Improvement,520 Superior,Newport Beach,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Frank , Est. , CA ,11/18/2015," $48,956 ",," $(2,188)"," $15,815 ",,,,,,,,Pending,2%, $979 ,,,,,,,,,DEB,Giocanni,,,,,,,,,,,,,,,,,,,,,
16-072,"Hoag 307 Placentia, Suite 100&109",Tenant Improvement,307 Placentia,Newport Beach,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Brian , Est. , CA ,11/23/2015," $140,434 ",,,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-073,Telepacific white road,Rework  4outlets in by RR134,2511 White Road,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/18/2015," $3,948 ",,,,,,,,,,,Pending,2%, $79 ,,,,,,,,,Telepacific,Pat Johnson,,,,,,,,,,,,,,,,,,,,,
16-074,Carrington Mortgage Generator connection,Wire new generator,Douglas,Anaheim,CA, 441 OC ,, Site , Select Bid List , Engineered , Doyle , S.P. , CA ,11/25/2015," $142,535 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Carrington Mortgage,Clay Morgan,,,,,,,,,,,,,,,,,,,,,
16-075,First American Generator Lighting replacement,Replace exterior lighting,9 First American Way,Santa Ana,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/20/2015," $30,984 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,First American,John Harlan,,,,,,,,,,,,,,,,,,,,,
16-076,First American GFCI and Service Gear Testing,Testing for main service Gear breakers,9 First American Way,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/23/2015, $- ,,,,,,,,,,,Not Bid,, $- ,,,,,,,,,First American,David Henderson,,,,,,,,,,,,,,,,,,,,,
16-077,Irvine Company MPC Eventspace and Ct yard Enhancements,Site improvements,200 Commerce ,Irvine,CA, 441 OC ,, Site , Select Bid List , Engineered , Brian , Est. , CA ,11/23/2015," $21,753 ",,,,,,,,,,,Lost,0%, $- ,,,,,,,,,Questar,Steve Logan,,,,,,,,,,,,,,,,,,,,,
16-078,Frito UPS removal,Remove and dispose of UPS,16701 S. Trojan Way,La Mirada,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/20/2015," $1,600 ",,,,,,,,,,,Pending,2%, $32 ,,,,,,,,,LED Enterprises,Greg Santschi,,,,,,,,,,,,,,,,,,,,,
16-079,Sand Canyon Monument Signs,(3) New Monument Signs,Hoag Irvine,Irvine,CA, 441 OC ,, Site , Select Bid List , Design/Build , Steve  , Est. , CA ,11/23/2015," $10,386 ",,,,,,,,,,,Lost,0%, $- ,,,,,,,,,Hoag,Brittany Palmer,,,,,,,,,,,,,,,,,,,,,
