Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
17-037,AAA Conference room lighting retrofit,Conference room lighting retrofit,3333 Fairview Road,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/12/2016," $30,560 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-038,AAA Cafeteria Generator sub feed,Cafeteria Generator feed,3333 Fairview Road,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/7/2016," $24,415 ",," $1,300 ",,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-039,CTA Lighting Repairs,Repair Lighitng issues,1169 Mountain Ave.,Norco,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/7/2016," $8,000 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-040,Newport Lido add E power for 351,Add ATS and epower circuits,351 Hospital Rd ,Newport Beach,CA, 441 OC ,, TI , Budget , Design/Build , Doyle , S.P. , CA ,10/11/2016," $54,225 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-041,FMC Huntington Beach JV,Dialysis Clinic,"17762 Beach Blvd., Suite 108",Huntington Beach,CA, 441 OC ," 10,785 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,10/12/2016," $315,990 ", $29.30 ,,,,,,,,,,Lost,, $- ,,,,,,,,,Nelson + Morris,Melissa Hirschkorn,,,,,,,,,,,,,,,,,,,,,
17-042,HHNB Acute Care ,Acute Rehab Renovation,One Hoag Drive,Newport Beach,CA, 441 OC ," 21,000 ", TI , Budget , Engineered , Steve  , Est. , CA ,10/21/2016," $877,475 ", $41.78 ,,,,,,,,,,Not Built,, $- ,,,,,,,,,Hoag,Gregg Mayfield,,,,,,,,,,,,,,,,,,,,,
17-043,Biorad Temp Genset,Temp genset rental,9500 Jeronimo,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/11/2016," $39,486 ",,,,,,,,,,,Awarded,, $- ,,,,,,,BioRad,Mike Snyder,,,,,,,,,,,,,,,,,,,,,,,
17-044,AAA Newport Cabinet remodel,Break area cabinet remodel,3880 Birch Street ,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/11/2016," $1,500 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-045,Blizzard B21,Tenant Improvement,8 Pasteur,Irvine,CA, 441 OC ,, TI , Negotiated , Engineered , Frank , Est. , CA ,10/10/2016," $59,347 ",,,,,,,,,,,Awarded,100%, $- ,10/31/2016,11/3/2016,,,,,HBC,Tom Listerud,,,,,,,,,,,,,,,,,,,,,,,
17-046,Bbraun refeed wiremold,Refeed wiremold and demo,2525 McGaw Ave,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/10/2016," $10,867 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-047,FMC Orange,Dialysis Clinic,1809 W. Chapman Ave.,Orange,CA, 441 OC ," 21,000 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,10/12/2016," $382,098 ", $18.20 ,,,,,,,,,,Lost,, $- ,,,,,,,,,Nelson + Morris,Candice Grimsrud,,,,,,,,,,,,,,,,,,,,,
17-048,Anaheim Corp Park IR scan,Scan 3 buildings IR scan,1400 S. Douglas,Anaheim,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/12/2016," $7,800 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-049,Paramount Plaza Exit signs and Parking outlets,Add outlets in parking and exits in lobby,3580 Wilshire Blvd,Los Angeles,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/12/2016," $8,865 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-050,Plaza Park Center exterior lighting repair,Convert lighting to LED,1043 West Orangethorpe,Fullerton,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/20/2016," $26,700 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-051,AAA Cafeteria Outage,Outage for Cafeteria,3333 Fairview Road,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/19/2016," $1,300 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-052,HHI Orthopedic On-Call Conversion to storage,Tenant Improvement,16200 Sand Canyon Ave,Irvine,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Bill  , P.M. , CA ,10/20/2016," $14,230 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-053,Thales Finance Area,Tenant Improvement,58 Discovery,Irvine,CA, 441 OC ," 6,618 ", TI , Select Bid List , Engineered , Brian , Est. , CA ,10/24/2016," $30,987 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-054,AAA Power to new electric gate,Dedicated circuit to motorized gate,1234 Centinella Ave,Los Angeles,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/20/2016," $13,800 ",,,,,,,,,,,Not Built,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-055,Mazda power for fuel controllers,Rework power for fuel controllers,1421 Renyolds Ave,Irvine,CA, 441 OC ,, Specialty , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/21/2016," $4,267 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-056,Deutche Bank Paging system ,Design build paging system modify,1761 St. Andrews Place,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/28/2016," $40,000 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-057,Deutche Bank TI,Tenant Improvement,1761 St. Andrews Place,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Engineered , Brian , Est. , CA ,11/2/2016," $252,574 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-058,FMC San Juan Capistrano JV,Dialysis Clinic,31001 Rancho Viejo,San Juan Capistrano,CA, 441 OC ," 10,404 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,11/1/2016," $306,478 ", $29.46 ,,,,,,,,,,Lost,, $- ,,,,,,,,,Nelson + Morris,Melissa Hirschkorn,,,,,,,,,,,,,,,,,,,,,
17-059,Hoag Pacific Pulmonary & Sleep Center,Medical Office Buildout,16305 Sand Canyon Ave,Irvine,CA, 441 OC ," 3,524 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,11/2/2016," $160,652 ", $45.59 ,,,,,,,,,,Unknown,, $- ,,,,,,,,,HBC,Genevieve West,,,,,,,,,,,,,,,,,,,,,
17-060,Blizzard #3- Wellness Center,Tenant Improvement,16205 Alton Pkwy,irvine,CA, 441 OC ," 1,200 ", TI , Select Bid List , Engineered , Jeff S , P.M. , CA ,11/27/2016," $29,233 ", $24.36 ,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-061,Cerritos Corp replace light poles,Replace 1 or 3 light poles,17777 Center Court Dr,Cerritos,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/28/2016," $3,680 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-062,Thales power for 8 new workstation areas,New outlets for work stations,51 Discovery,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/28/2016," $3,640 ",," $1,480 ",,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-063,Thales power for 6 new cubical areas,New power for cubical areas,51 Discovery,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/28/2016," $3,982 ",," $1,480 ",,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-064,Hoag MOB outlet conversion for suite 275,convert outlet to Nema L6-20R,16305 Sand Canyon Ave,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/26/2016, $625 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-065,Hoag MOB outlet in cabinet for suite 160,Add outlet in cabinet ,16305 Sand Canyon Ave,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/26/2016, $860 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-066,"Blizzard Bld #1 Boring to Bld #20,21,22",Conduit for fiber intertie,16215 Alton Parkway,Irvine,CA, 441 OC ,, Specialty , Negotiated , Design/Build , Todd L , P.M. , CA ,10/28/2016,,,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-067,AAA Exhaust fan power,Power for exhaust fans and outlets,3333 Fairview Road,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/23/2016," $7,000 ",," $6,400 ",,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-068,AAA DSU room lighting rework,Rework power for fixtures in DSU,3333 Fairview Road,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/23/2016," $1,678 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-069,TWC power to ice maching ,Repair power to ice maching,3430 E. Miraloma,Anaheim,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/28/2016, $680 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-070,Charter Anaheim lighting repairs with CF parts,Repair lighting fixtures,3430 E. Miraloma,Anaheim,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/28/2016," $4,800 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-071,Biorad Temp Genset,Temp genset rental 11/5 to 11/6,9500 Jeronimo,Irvine,CA, 441 OC ,, Specialty , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/1/2016," $23,793 ",," $6,800 ",,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-072,OCC District office E power for command center conf room,Convert outlets to E power,1370 Adams,Costa Mesa,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/28/2016," $5,814 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-073,OCC Machine Shop equipment relocation,Relocate equipment,2701 Fairview Rd,Costa Mesa,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/31/2016," $2,900 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-074,Blizzard Esport Studio,Tenant Improvement,41 Columbia,Aliso Viejo,CA, 441 OC ," 33,000 ", TI , Budget , Design/Build , Frank , Est. , CA ,11/1/2016," $401,834 ",,,,,,,,,,,Not Built,10%, $- ,,,,,,,HBC,Tom Listerud,,,,,,,,,,,,,,,,,,,,,,,
17-075,Epson Carson service warehouse lighting,Service Warehouse lighting,1650 Glenn Curtiss,Carson,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/1/2016," $30,563 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-076,TWC Charter Palmdale site troubleshooting,Troubleshoot neutral wiring for UPS,41551 10th St W,Palmdale,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/2/2016," $28,280 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-077,Applied Medical - R102 DMP2 Expansion,Tenant Improvement of Mfg Space,22822 Avenida Empresa,Rancho Santa Margarita,CA, 441 OC ," 14,254 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,11/28/2016," $350,077 ", $24.56 ,,,,,,,,,,Unknown,, $- ,,,,,,,,,Cannon,Eliot Hansen,,,,,,,,,,,,,,,,,,,,,
17-078,Westside building new lighting,New lighting for lot and warehouse,1111 E. Howell,Anaheim,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/4/2016," $1,685 ",," $2,200 ",,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-079,Teamsters Local add three heads to one pole,Add 3 heads to one existing pole,140 S. Marks Way,Orange,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/4/2016," $3,890 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-080,Cylance disconnect furniture off hours,Disconnect furniture off hours,18201 Von Karman,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/10/2016, $600 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-081,Epson Carson add lights and move lights in warehouse,Move 5 and add 5 warehouse fixtures,1650 Glenn Curtiss,Carson,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/11/2016," $6,432 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-082,Karma Automotive Group,Tenant Improvement,9950 Jeronimo Road,Irvine,CA, 441 OC ," 257,566 ", TI , Budget , Design/Build , Frank , Est. , CA ,11/21/2016," $5,263,649 ",,,,,,,,,,,Lost,30%, $- ,,,,,,,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,,,,
17-083,HBC Office Remodel,Tenant Improvement,"3184 Airway Ave, Ste K",Costa Mesa,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,11/18/106," $74,223 ",,,,,,,,,,,Awarded,100%, $- ,,,,,,,HBC,Ryan Fraser,,,,,,,,,,,,,,,,,,,,,,,
