Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
11-011,Abbott Medical Optics,Budget repairs vs new building,1700 E. St. Andrews Place,Santa Ana,CA, 441 OC ,, TI , Budget , Design/Build , Doyle , Est. , CA ,9/23/2010," $1,696,000 ",,,,,,,10.00%,5.00%,,Not Built,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-012,Disney Parkwide Area Development,BOH storage buildings,,Anaheim,CA, 441 OC ,, TI , Select Bid List , Engineered , Randy D. , Est. , CA ,10/1/2010," $74,900 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-013,Cal State LA Feeder replacement,Replace feeder to café building,5151 State University Dr,Los Angeles,CA, 11 LA ,, TI , Select Bid List , Design/Build , Doyle , Est. , CA ,10/1/2010," $18,980 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-014,B of A IDF room outlets,New IDF room power,,West Hills,CA, 441 OC ,, TI , Select Bid List , Engineered , Doyle , Est. , CA ,10/1/2010," $70,870 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-015,Braun- Titan Bag,Titan Bag line,2525 Mcgaw,Irvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Jeff S. , Est. , CA ,10/8/2010," $103,106 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-016,AAA Bypass Install,Desing and install UPS bypass,,,CA, 441 OC ,, TI , Select Bid List , Design/Build , Frank , Est. , CA ,11/2/2010," $188,946 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-017,Advent TI remodel Budget,Budget for TI modifications,17352 Von Karman,Irvine,CA, 441 OC ," 125,000 ", TI , Budget , Design/ Assist , Doyle , Est. , CA ,10/14/2010," $711,400 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-018,Hoag Irvine Surgery Center Budget,New Surgery center and parking structure,,Irvine,CA, 441 OC ,, Hospital , Budget , Design/ Assist , Doyle , Est. , CA ,10/15/2010," $3,473,300 ",,,,,,,10.00%,5.00%,,Not Built,1%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-019,Mitel T.I.,Tenant Improvement,18301 Von Karman Ave,Irvine,CA, 441 OC ," 8,500 ", TI , Select Bid List , Engineered , Frank , Est. , CA ,12/6/2010," $83,103 ",,,,,,,10.00%,5.00%,,Awarded,100%, $- ,,,,,,,,,Turelk,Craig Powell,HBC,Jim Scarpinato,,,,,,,,,,,,,,,,,,,
11-020,18301 Von Karman Lobby,Lobby Remodel,18301 Von Karman Ave,Irvine,CA, 441 OC ,, TI , Budget , Design/ Assist , Frank , Est. , CA ,12/6/2012, $- ,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-021,Thales 800HZ Frequency Generator,Add new generator,58 Discovery,Irvine,CA, 441 OC ,, TI , Budget , Design/ Assist , Doyle , Est. , CA ,11/10/2010, $- ,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-022,Baxter Butler Bld Demo,,,Los Angeles,CA, 11 LA ,, Industrial , Select Bid List , Design/Build , Frank , Est. , CA ,10/22/2010," $79,356 ",,,,,,,,,,Lost,5%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-023,Baxter Clarifyer Demo,,,Los Angeles,CA, 11 LA ,, Industrial , Select Bid List , Design/Build , Frank , Est. , CA ,10/22/2010," $7,116 ",,,,,,,,,,Lost,5%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-024,B of A Security Drops,New drops for cameras and card readers,,Seal Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , Est. , CA ,10/25/2010," $3,995 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,RMC,,RMC,,,,,,,,,,,,,,,,,,,,,,
11-025,Chapman Memorial IT room feeder,"New feeder, panel and circuits for IT room",1 University Drive,Orange,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , Est. , CA ,10/29/2010," $19,987 ",,,,,,,15.00%,10.00%,,Awarded,100%, $- ,,,,,,,Chapman,Ed Blatchford,Chapman,Ed Blatchford,,,,,,,,,,,,,,,,,,,,,
11-026,Chapman Library UV Lighting Retro,Retro fit lighting for UV mitigation,1 University Drive,Orange,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , Est. , CA ,2/3/2011," $20,648 ",,,,,,,15.00%,5.00%,,Awarded,100%, $- ,,,,,,,Chapman,Ed Blatchford,Chapman,Ed Blatchford,,,,,,,,,,,,,,,,,,,,,
11-027,Apex Suite 1050 TI,,18301 Von Karman Ave,Irvine,CA, 441 OC ,, TI , Budget , Design/Build , Doyle , Est. , CA ,10/30/2010," $60,765 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-028,SACH Hospital Addition,San Antonio Community Hosp - New Tower & CP,999 San Bernardino Rd,Upland,CA, 477 SB ," 179,080 ", Hospital , Competitive , Engineered , Jody , Est. , CA ,1/11/2011," $4,688,875 ",,,,,,,8.00%,5.00%,,Lost,0%, $- ,,,,,,,,,HBE,Miranda Hill,,,,,,,,,,,,,,,,,,,,,
11-029,Honda Cnrt Fire Alarm Modification,New devices for Honda Cntr fire alarm,,Anaheim,CA, 441 OC ,, TI , Competitive , Engineered , Doyle , Est. , CA ,11/6/2010," $84,954 ",,,,,,,15.00%,0.00%,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-030,Chevron Solar HB,3 schools to add solar,,Huntington Beach,CA, 441 OC ,, TI , Competitive , Engineered , Doyle , Est. , CA ,11/6/2010," $257,357 ",,,,,,,15.00%,5.00%,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-031,Thales 2 new 10 ton a/c units,power to 2 new 10 ton units,58 Discovery,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , Est. , CA ,11/4/2010," $4,560 ",,,,,,,15.00%,10.00%,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-032,CableLAN raceway project,new raceways for TI remodel,3 MacAurthur Place,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , Est. , CA ,11/5/2010," $62,000 ",,,,,,,10.00%,5.00%,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-033,Disney Generator,Replace gen and multiple ATS units,Disneyland,Anaheim,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Dan , P.M. , CA ,11/17/2010," $209,000 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-034,Young's Market LA Elevator,Addition of Elevator to existing building,500 S. Central Avenue,Los Angeles,CA, 11 LA ,, Comercial , Select Bid List , Engineered , Frank , Est. , CA ,11/11/2010," $11,525 ",,,,,,,,,,Not Built,2%, $- ,,,,,,,,,DBAC,John Somers,,,,,,,,,,,,,,,,,,,,,
11-035,Baxter N1 Fracitionation,Clean Room Remodel,4501 Colorado Blvd,Los Angeles,CA, 11 LA ,, Comercial , Competitive , Engineered , Frank , Est. , CA ,11/11/2010," $585,827 ",,,,,,,,,,Not Built,10%, $- ,,,,,,,,,Veritcal Const,John Borden,CBSI,Tim Cannon,DPR,Mike Dugger,Turner,,,,,,,,,,,,,,,,
11-036,Clearwire A/C unit power,,,Anaheim,CA, 441 OC ,, TI , Competitive , Engineered , Dan , P.M. , CA ,11/20/2010," $7,800 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-037,San Antonio Temp Power,,,,CA, 477 SB ,, Hospital , Competitive , Design/Build , Randy D. , Est. , CA ,12/15/2010," $53,000 ",,,,,,,,,,Lost,0%, $- ,,,,,,,San Antonio Hospital,,San Antonio Hospital,,,,,,,,,,,,,,,,,,,,,,
11-038,501 Shatto Place Chiller Retro-Fit,Chiller Upgrade,501 Shatto Place,Los Angeles,CA, 11 LA ,, Comercial , Select Bid List , Design/Build , Frank , Est. , CA ,11/18/2010," $67,249 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,EMCOR,Steve Kiernan,,,,,,,,,,,,,,,,,,,,,
11-039,Mission Hospital CT #1 Replacement,Replace existing CT room ,27700 Medical Center Road,Mission Viejo,CA, 441 OC ,, Hospital , Competitive , Engineered , Rudy , Est. , CA ,11/23/2010," $50,415 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Cannon Building,Tim Cannon,,,,,,,,,,,,,,,,,,,,,
11-040,Pacific Life 5th Floor ,Tenant Improvement,700 Newport Center Drive,Newport Beach,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,12/1/2010," $967,891 ",,,,,,,,,,Lost,50%, $- ,,,,,,,Turelk,Mike Turi,Turelk,Mike Turi,,,,,,,,,,,,,,,,,,,,,
11-041,Chevron HB School HVAC Upgrade,,,,CA, 441 OC ,, Specialty , Select Bid List , Engineered , Jody , Est. , CA ,12/7/2010," $50,993 ",,,,,,,15.00%,5.00%,,Awarded,75%, $- ,,,,,,,Chevron,Kent Christian,Chevron,Kent Christian,,,,,,,,,,,,,,,,,,,,,
11-042,Hoag 9W Neuros. IPT Consolidation,"Modify west tower, 9th floor",,,CA, 441 OC ,, Hospital , Competitive , Engineered , Rudy , Est. , CA ,1/5/2011," $65,645 ",,,,,,,,,,Not Built,2%, $- ,,,,,,,,,Kemp ,Wednesday Moore,,,,,,,,,,,,,,,,,,,,,
11-043,Kaiser Pharmacy ADA Compliance,Rework exist. Elect. for ADA changes,9521 Dalen Street,Downey,CA, 11 LA ,, Comercial , Competitive , Engineered , Randy D. , P.M. , CA ,12/20/2010," $43,800 ",,,,,,,10.00%,5.00%,,Awarded,100%, $- ,,,,,,,Kaiser Direct,Rudy Dehoyos,Kaiser Direct,Rudy Dehoyos,,,,,,,,,,,,,,,,,,,,,
11-044,Hoag Irvine 1st Floor Auto Doors,,,,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Bill , P.M. , CA ,12/7/2010," $1,815 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,REFCO,,,,,,,,,,,,,,,,,,,,,,,,
11-045,Baxter Building 7 Alterations,Tenant Improvement,4501 Colorado Blvd,Los Angeles,CA, 11 LA ,, Comercial , Competitive , Engineered , Frank , Est. , CA ,12/8/2010," $7,146 ",,,,,,,15.00%,5.00%,,Awarded,100%, $- ,,,,,,,,,DPR,David Scott,,,,,,,,,,,,,,,,,,,,,
11-046,California Stem Cell ,Tenant Improvement,18301 Von Karman Ave,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,12/15/2010," $115,921 ",,,,,,,10.00%,0.00%,,Awarded,100%, $- ,,,,,,,,,Turelk,Craig Powell,HBC,Jim Scarpinato,LCS,Jeff Laakso,,,,,,,,,,,,,,,,,
11-047,Share Our Selves T.I.,Tenant Improvement,1550 Superior Avenue,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Frank , Est. , CA ,12/15/2010," $24,896 ",,,,,,,15.00%,5.00%,,Awarded,100%, $- ,,,,,,,,,Roel Const,Roland Wong,,,,,,,,,,,,,,,,,,,,,
11-048,650 Newport Center,20 story new bld w/ 8 level parking,650 Newport Center Dr,Newport Beach,CA, 441 OC ,, Shell , Budget , Engineered , Doyle , Est. , CA ,12/29/2010," $9,965,780 ",,,,,,,10.00%,5.00%,,Lost,0%, $- ,,,,,,,,,McCarthy,,,,,,,,,,,,,,,,,,,,,,
11-049,PSB warehouse power,New power and equipment for warehouse,16021 Atlantic Ocean,Lake Forest,CA, 441 OC ,, TI , Competitive , Design/Build , Doyle , Est. , CA ,12/17/2010," $27,320 ",,,,,,,10.00%,5.00%,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-050,Hoag NP Bldg 44 2nd Floor,,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Comercial , Competitive , Engineered , Bill , P.M. , CA ,12/21/2010," $4,546 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-051,Hoag Irvine Exterior Ltg. For MRI Trailer,,16200 Sand Canyon,Irvine,CA, 441 OC ,, Comercial , Competitive , Engineered , Bill , P.M. , CA ,12/21/2010," $4,705 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-052,Park Place Campus Lighting Retro,Lamp and Ballast Retro-Fit,3333 Michelson Drive,Irvine,CA, 441 OC ,, TI , Competitive , Design/Build , Frank , Est. , CA ,12/22/2010," $1,257,448 ",,,,,,,15.00%,5.00%,,Lost,0%, $- ,,,,,,,,,LBA,Roman Gunther,,,,,,,,,,,,,,,,,,,,,
11-053,"18301 Von Karman, Spec Ste. 910",Tenant Improvement,18301 Von Karman Ave,Irvine,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,12/29/2010," $17,530 ",,,,,,,15.00%,5.00%,,Not Built,0%, $- ,,,,,,,,,"Turelk, Inc",Rex Martin,,,,,,,,,,,,,,,,,,,,,
11-054,AAA LB Replace ATS,Replace Damaged ATS,8400 Airport Plaza Drive,Long Beach,CA, 11 LA ,, Comercial , Select Bid List , Design/Build , Frank , Est. , CA ,12/27/2010," $2,565 ",,,,,,,15.00%,5.00%,,Awarded,100%, $- ,2/19/2011,2/19/2011,,33256,,,,,Cushman,Jim Thys,,,,,,,,,,,,,,,,,,,,,
11-055,AAA LB Replace Generator Breaker,Replace Faulty Generator Main Bkr.,8400 Airport Plaza Drive,Long Beach,CA, 11 LA ,, Comercial , Select Bid List , Design/Build , Frank , Est. , CA ,12/27/2010," $1,943 ",,,,,,,15.00%,5.00%,,Awarded,100%, $- ,2/19/2011,2/19/2011,,33257,,,,,Cushman,Jim Thys,,,,,,,,,,,,,,,,,,,,,
11-056,Young's Market Co. AV Renovations,Tenant Improvement,14402 Franklin Avenue,Tustin,CA, 441 OC ,, TI , Select Bid List , Design/Build , Frank , Est. , CA ,12/27/2010," $1,256 ",,,,,,,15.00%,5.00%,,Not Built,1%, $- ,,,,,,,,,DBAC,John Somers,,,,,,,,,,,,,,,,,,,,,
11-057,OC Head Start Alterations,Tenant Improvement,2501 Pullman Avenue,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Engineered , Frank , Est. , CA ,12/28/2010," $5,863 ",,,,,,,15.00%,5.00%,,Lost,10%, $- ,,,,,,,,,"Turelk, Inc.",Geoff D'Sena,,,,,,,,,,,,,,,,,,,,,
11-058,HHI Pkg. 3 Add devices to OR's 1 & 2,,1 Hoag Drive,Irvine,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Bill , P.M. , CA ,1/3/2011," $4,745 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-059,Hoag Service Level Renovation,Service Level TI,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Bill , P.M. , CA ,1/10/2011," $5,381 ",,,,,,,,,,Lost,1%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-060,Jacobs Engineering Relocation,Tenant Improvement,3161 Michaelson Dr.,Irvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Frank , Est. , CA ,1/6/2011," $475,928 ",,,,,,,10.00%,,,Lost,1%, $- ,,,,,,,,,"Turelk, Inc.",C. Capper,,,,,,,,,,,,,,,,,,,,,
11-061,Haog Board Room Monitor Relocation,,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Bill , P.M. , CA ,1/6/2011," $3,945 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-062,Hoag Loading Dock Pkg B,Loading Dock / Canopy remodel,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Doyle , Est. , CA ,1/6/2011," $6,882 ",,,,,,,10.00%,5.00%,,Awarded,100%, $- ,,,,,,,DEB,Matt Stewart,DEB,Matt Stewart,,,,,,,,,,,,,,,,,,,,,
11-063,Hoag HVI Fire Alarm Upgrade,Raceways for fire alarm upgrade,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Doyle , Est. , CA ,1/6/2011," $27,733 ",,,,,,,10.00%,5.00%,,Awarded,100%, $- ,,,,,,,,,Hoag,Scott Neiderhiser,,,,,,,,,,,,,,,,,,,,,
11-064,San Antonio Central Plant,Central Plant and lobby alterations,999 San Bernardino Rd,Upland,CA, 477 SB ," 13,177 ", Hospital , Select Bid List , Engineered , Rudy , Est. , CA ,2/8/2011," $614,925 "," $26,650 ",,,,,,10.00%,5.00%,,Lost,0%, $- ,,,,,,,,,HBE,Don Pickens,,,,,,,,,,,,,,,,,,,,,
11-065,"AAA Burbank, Replace UPS",UPS Upgrade,1111 Alameda Avenue,Burbank,CA, 11 LA ,, Comercial , Select Bid List , Design/Build , Frank , Est. , CA ,1/11/2011, $- ,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,Crushman,Jim Thys,,,,,,,,,,,,,,,,,,,,,
11-066,Disney Hollywood Back Lot,,1313 S. Harbor,Anaheim,CA, 441 OC ,, Comercial , Competitive , Engineered , Doyle , Est. , CA ,1/18/2011," $25,305 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,RMC,,,,,,,,,,,,,,,,,,,,,,
11-067,Hoag- HRC Fertility Clinic,,"500 Superior Ave Ste 130, 210",Newport Beach,CA, 441 OC ,, Hospital , Competitive , Engineered , Jody , Est. , CA ,1/25/2011," $544,345 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,KPRS,,Philco,,Whiting Turner,,AV,,,,,,,,,,,,,,,,
11-068,Apex Suite 1050 TI,Tenant Improvement,18301 Franklin Avenue,Irvine,CA, 441 OC ," 4,823 ", TI , Competitive , Engineered , Frank , Est. , CA ,1/13/2011," $23,580 ",,,,,,,10.00%,5.00%,,Awarded,100%, $- ,,,,,,,,,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,
11-069,Bio Rad Infectious Disease T.I.,Tenant Improvement,9500 Jeronimo Road,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,1/13/2011," $198,352 ",,,,,,,10.00%,4.00%,,Lost,0%, $- ,,,,,,,,,LCS,David Carlos,Vertical ,John Borden,,,,,,,,,,,,,,,,,,,
11-070,Hoag North Bldg Priority 1 Scope,,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Budget , Engineered , Bill , P.M. , CA ,1/21/2011," $42,770 ",,,,,,,,,,Not Built,5%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-071,Hoag Methane for Cancer Center,Methane system replacement,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Budget , Design/Build , Doyle , Est. , CA ,1/17/2011," $169,104 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,DEB,Matt Stewart,,,,,,,,,,,,,,,,,,,,,
11-072,Hoag Lido IT Reroute,New underground raceway in street,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Site , Select Bid List , Engineered , Doyle , Est. , CA ,1/19/2011," $54,700 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,ROEL,,DEB,,,,,,,,,,,,,,,,,,,,
11-073,"UCI BLDG. 54, 5TH FLR TI",Office TI,101 The City Drive,Orange,CA, 441 OC ," 11,000 ", TI , Competitive , Engineered , Rudy , Est. , CA ,2/2/2011," $362,680 "," $135,990 "," $39,400 ",,,,,10.00%,5.00%,,Lost,0%, $- ,,,,,,,,,Miles & Kelly,Jennifer Mueller,KPRS,Steve Yetemian,Soltek,John Cammall,BNBuilders,H. Salewski,,,,,,,,,,,,,,,
11-074,Anaheim Hotel,Ground Up Hotel,Katella Ave & Haster St.,Anaheim,CA, 441 OC ," 37,600 ", Specialty , Budget , Design/Build , Frank , Est. , CA ,2/4/2011," $3,698,483 ",,,,,,,10.00%,5.00%,,Not Built,1%, $- ,,,,,,,,,McCarthy,Rob Bruns,,,,,,,,,,,,,,,,,,,,,
11-075,High Desert Health,MOB,,Lancaster,CA, 11 LA ," 143,541 ", Comercial , Public Works , Design/Build , Ron , P.M. , CA ,3/7/2011,"$18,620,975 ",,,,,,,,,,Lost,1%, $- ,,,,,,,,,Swinerton,,,,,,,,,,,,,,,,,,,,,,
11-076,Baxter Platform Phase II,Relocate Roof Mounted Equipment,4501 Colorado Blvd,Los Angeles,CA, 11 LA ,, Industrial , Select Bid List , Design/Build , Frank , Est. , CA ,1/28/2011," $141,938 "," $9,496 ",,,,,,15.00%,5.00%,,Awarded,5%, $- ,,,,,,,,,CBSI,Tim Cannon,Vertical,John Borden,,,,,,,,,,,,,,,,,,,
11-077,Hoag Chemo Hood Replacement,Chemo Hood Replacment,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Doyle , Est. , CA ,2/1/2011," $4,400 ",,,,,,,10.00%,5.00%,,Lost,10%, $- ,,,,,,,,,DEB,Matt Stewart,,,,,,,,,,,,,,,,,,,,,
11-078,VK 10th floor restroom replacement,Restroom Replacement,18301 Von Karman Ave,Irvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Doyle , Est. , CA ,2/7/2011," $3,400 ",,,,,,,,,,Lost,10%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-079,UHS Corona Med Cntr--Psyc Conversion,38 Bed conversion OSHPOD,730 Magnolia,Corona,CA, 441 OC ," 9,000 ", Hospital , Select Bid List , Engineered , Jody , Est. , CA ,2/14/2011," $97,460 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Cannon ,Tim Cannon,Cannon ,Tim Cannon,,,,,,,,,,,,,,,,,,,,,
11-080,"18301 Von Karman, Spec Ste. 490",Tenant Improvement,18301 Von Karman Ave,Irvine,CA, 441 OC ," 2,520 ", TI , Select Bid List , Engineered , Frank , Est. , CA ,2/3/2011," $12,166 ", $125 , $900 ,,,,,10.00%,5.00%,,Awarded,100%, $- ,,,,,,,Turelk,Craig Powell,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,
11-081,18301 Von Karman Spec Ste. 1060,Tenant Improvement,18301 Von Karman Ave,Irvine,CA, 441 OC ," 2,520 ", TI , Select Bid List , Engineered , Frank , Est. , CA ,2/3/2011," $14,347 ",,,,,,,10.00%,5.00%,,Awarded,100%, $- ,,,,,,,Turelk,Craig Powell,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,
