,Project Name,City,Local,Project Type,Bid Type,Design Type,Estimator,DEPT, Base Bid ,Bid Status
20,Quest Diagnostics,West Hills, 11 LA , TI , Competitive , Engineered , Rudy , Est. ,118320,Lost
23,Hoag Health Center Bulk O2 System,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Jody , Est. ,15000,Lost
24,Montebello Industrial Budget,Montebello, 11 LA , TI , Budget , Design/Build , Jeff P. , Est. ,945000,Lost
25,Irvine Marriot MOD 14,Irvne, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,198860,Lost
27,Hoag MOB Level 3 Upgrade Newport,Newport Beach, 441 OC , Hospital , Budget , Design/Build , Doyle , Est. ,54700,Awarded
29,BWP Solar Project,Burbank, 11 LA , Specialty , Competitive , Engineered , Doyle , Est. ,941950,Lost
33,"Hoag Hospital Irvine, TI Pkg. 2",Irvne, 441 OC , Hospital , Negotiated , Engineered , Rudy , Est. ,315725,Awarded
35,SPD HVAC Upgrade,La Jolla, 441 OC , Comercial , Negotiated , Engineered , Doyle , Est. ,28340,Lost
38,Burbank Water & Power TI,Burbank, 11 LA , TI , Budget , Design/Build , Doyle , Est. ,57455,Lost
40,Mindspeed,Aliso Viejo, 441 OC , TI , Budget , Engineered , Doyle , Est. ,1248696,Lost
41,Mission Central Plant Replacement,Laguna Beach, 441 OC , Specialty , Budget , Design/Build , Frank , Est. ,1059410,Lost
43,LACC Transformer Additon,Los Angeles, 11 LA , Site , Select Bid List , Engineered , Rudy , Est. ,583200,Lost
44,Treta Tech T.I.,Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,551614,Lost
45,Epson UPS Upgrade,Long Beach, 11 LA , Specialty , Negotiated , Design/Build , Rudy , Est. ,164660,Lost
46,Thales New plates and 100 amp power,Irvine, 441 OC , TI , Negotiated , Design/Build , Doyle , Est. ,21580,Awarded
47,Hoag Hospital Irvine Central Plant Pkg 8,Irvne, 441 OC , Hospital , Negotiated , Engineered , Rudy , Est. ,35110,Awarded
48,Baxter T.O. HVAC Upgrade,Thousand Oaks, 11 LA , TI , Competitive , Engineered , Frank , Est. ,80785,Lost
50,Wilsire Café Rough Budget,Los Angeles, 441 OC , Comercial , Budget , Design/Build , Doyle , Est. ,34000,Lost
51,Huy Fong Foods,Irwindale, 11 LA , Comercial , Budget , Design/Build , Rudy , Est. ,3442330,Lost
52,Chromalloy Genset Removal,Gardena, 441 OC , Comercial , Competitive , Design/Build , Doyle , Est. ,66000,Lost
53,Trader Joe Fontana  Best Fresh,Fontana, 441 OC , Comercial , Competitive , Design/Build , Doyle , Est. ,491465,Lost
54,"Hoag Hospital Irvine, IT Pkg 7",Irvine, 441 OC , Hospital , Negotiated , Engineered , Jody , Est. ,599046,Awarded
55,Hoag North Building Assesment,Newport Beach, 441 OC , Hospital , Select Bid List , Design/Build , Jeff P. , Est. ,35975,Awarded
56,Chapman Production Offices,Orange, 441 OC , TI , Competitive , Design/Build , Doyle , Est. ,3278,Awarded
59,Baush and Lomb TI,Aliso Viejo, 441 OC , TI , Budget , Engineered , Doyle , Est. ,515000,Lost
60,Hoag Hospital Irvine-Package 10,Irvine, 441 OC , Hospital , Negotiated , Engineered , Jody , Est. ,221621,Awarded
61,Hoag Café Building Superior,Newport Beach, 441 OC , TI , Budget , Engineered , Doyle , Est. ,131005,Lost
62,United Health Group,Cypress, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,1227270,Lost
63,Hoag HVI Survey,Newport Beach, 441 OC , Hospital , Negotiated , Design/ Assist , Jeff P. , Est. ,74300,Awarded
64,South Health Center,Los Angeles, 11 LA , Comercial , Budget , Design/Build , Frank , Est. ,1150000,Lost
65,Chapman Memorial Relamp,Orange, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , Est. ,5400,Lost
68,Sandow Fire Job,Lake Forest, 441 OC , TI , Select Bid List , Engineered , Doyle , Est. ,29237,Lost
69,Wilshire Penthouse,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,13700,Awarded
70,Far West Palm Spring ,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Jody , Est. ,44185,Lost
72,Quest Diagnostics New AC,Anaheim, 441 OC , TI , Select Bid List , Engineered , Jeff S. , P.M. ,5158,Lost
73,Hoag Package 11,Irvine, 441 OC , Hospital , Negotiated , Engineered , Rudy , Est. ,48853,Awarded
74,Park Place Central Plant,Irvine, 441 OC , Industrial , Select Bid List , Engineered , Jody , Est. ,272721,Lost
76,Hoag Irvine- IB-002-006,Irvine, 441 OC , Hospital , Negotiated , Engineered , Jeff S. , P.M. ,41303,Awarded
77,Burnham Benefits,Irvine, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,99205,Lost
78,3M Restoratives Filling Expansion,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,46668,Lost
79,Hoag Package 9,Irvine, 441 OC , Hospital , Competitive , Engineered , Rudy , Est. ,33147,Awarded
80,1111 Sunset,Los Angeles, 441 OC , TI , Budget , Engineered , Doyle , Est. ,2100000,Lost
81,Henkel Relocation,Irvine, 441 OC , TI , Budget , Engineered , Doyle , Est. ,2140000,Lost
83,Quest Billing Patio,West Hills, 441 OC , TI , Competitive , Design/Build , Doyle , Est. ,32900,Awarded
85,OCC Sub meter,Costa Mesa, 441 OC , Comercial , Competitive , Design/Build , Doyle , Est. ,92000,Awarded
87,USC UPS install,Los Angeles, 11 LA , Specialty , Competitive , Design/Build , Doyle , Est. ,54000,Lost
88,RMI Tenant Improvement,Cerritos, 441 OC , TI , Competitive , Design/Build , Frank , Est. ,14998,Lost
89,El Monte Bus Station,El Monte, 11 LA , Comercial , Competitive , Design/Build , Doyle , Est. ,6396000,Lost
90,Hoag Sleep Center,Newport Beach, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,187920,Lost
91,Hoag Hallway Extension,Newport Beach, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,28650,Lost
92,Hoag Irvine- IB-02-020,Irvine, 441 OC , Hospital , Negotiated , Engineered , Jody , P.M. ,3564,Awarded
93,GSA T.I. Orange,Newport Beach, 441 OC , TI , Competitive , Engineered , Frank , Est. ,498578,Awarded
96,Hoag Irvine Pkg. 14,Irvine, 441 OC , Site , Negotiated , Engineered , Rudy , Est. ,488641,Awarded
98,Target Video Game reinvintion,Everywhere, 441 OC , TI , Select Bid List , Engineered , Jeff P. , Est. ,523650,Awarded
99,Hoag Irvine IB-02-022,Irvine, 441 OC , Hospital , Negotiated , Engineered , Jody , P.M. ,4624,Awarded
100,Hoag Irvine- Package 10-001,Irvine, 441 OC , Hospital , Negotiated , Engineered , Jody , Est. ,10109,Awarded
101,Chapman Inverter & Crean A/C,Orange, 441 OC , TI , Competitive , Design/Build , Doyle , Est. ,56809,Awarded
102,Networks in Motion TI,Aliso Viejo, 441 OC , TI , Competitive , Engineered , Doyle , Est. ,44774,Awarded
105,Baxter Office Remodel,Los Angeles, 11 LA , TI , Competitive , Engineered , Frank , Est. ,16988,Lost
106,Hoag irvine- ED,Irvine, 441 OC , Hospital , Negotiated , Engineered , Jody , Est. ,133796,Awarded
107,Quest Diagnostics - Billing Consolidation,West Hills, 11 LA , TI , Competitive , Engineered , Rudy , Est. ,153445,Lost
108,LATTC Campus wide phase 2,Los Angeles, 11 LA , TI , Competitive , Engineered , Rudy , Est. ,1100000,Lost
109,LBCC Stadium Service,Long Beach, 11 LA , TI , Competitive , Engineered , Doyle , Est. ,27581,Awarded
111,Hoag Data Center Cable Tray,Newport Beach, 441 OC , Hospital , Select Bid List , Design/Build , Jeff P. , Est. ,37050,Lost
112,Mission Hospital EP Lab Remodel,Mission Viejo, 441 OC , Hospital , Competitive , Engineered , Jody , Est. ,122621,Lost
113,"Thales 4"" raceway",Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,1798,Awarded
114,Costa Mesa Courtyards,Costa Mesa, 441 OC , TI , Competitive , Engineered , Jody , Est. ,64006,Lost
115,JP Morgan Chase,Irvine, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,255960,Lost
116,City of Hope - Increment 3,Los Angeles, 441 OC , Hospital , Competitive , Engineered , Jody , Est. ,652325,Awarded
117,Epson Carson TI,Carson , 11 LA , TI , Select Bid List , Engineered , Doyle , Est. ,74454,Awarded
119,Head Start ,Santa Fe Springs, 441 OC , TI , Budget , Engineered , Doyle , Est. ,18000,Lost
120,Thales Fsat new ceiling plates,Irvine, 441 OC , TI , Negotiated , Design/Build , Doyle , Est. ,17574,Awarded
122,Baxter Site Demo,Los Angeles, 11 LA , Site , Competitive , Engineered , Doyle , Est. ,758800,Lost
123,Hoag PBX Restrooms,Newport Beach, 441 OC , Hospital , Budget , Engineered , Doyle , Est. ,5300,Lost
125,Kaiser ED Nurse Station,Riverside, 440 RS , Hospital , Competitive , Engineered , Rudy , Est. ,16379,Awarded
126,Baxter Metrology Relocation,Los Angeles, 11 LA , Site , Budget , Design/Build , Frank , Est. ,13606,Awarded
127,Inwood Re-Image Lighting Reto,Irivne, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,33475,Lost
130,Newport Breakers Event Power,Newport Beach, 441 OC , Specialty , Negotiated , Design/Build , Frank , Est. ,18925,Lost
131,St. John Fisher Catholic Church,Palos Verdes, 11 LA , TI , Competitive , Engineered , Rudy , Est. ,326580,Lost
134,"Hoag Irvine, Package 3",Irvine, 441 OC , Hospital , Negotiated , Engineered , Jody , Est. ,709711,Awarded
140,Thales 1C37 Cubical Removal,Irvine, 441 OC , TI , Negotiated , Design/Build , Doyle , Est. ,767,Awarded
141,Baxter Albumin Phase II,Los Angeles, 11 LA , Industrial , Competitive , Engineered , Frank , Est. ,189435,Awarded
142,Santa Ana CC Ladies Locker,Santa Ana , 441 OC , TI , Competitive , Engineered , Doyle , Est. ,13230,Lost
143,Baxter Bldg 4 Alterations,Los Angeles, 11 LA , Industrial , Competitive , Engineered , Rudy , Est. ,496510,Lost
144,"Baxter Remove Trailers 8, 9, and 10",Los Angeles, 11 LA , Industrial , Negotiated , Design/Build , Frank , Est. ,4979,Awarded
145,3800 Chapman 6th Floor TI,Orange, 441 OC , TI , Budget , Engineered , Doyle , Est. ,116490,Lost
146,Screen Actors Guild,Burbank, 11 LA , TI , Select Bid List , Engineered , Doyle , Est. ,138800,Lost
150,Clearwire Antenna Project,Anaheim, 441 OC , TI , Select Bid List , Engineered , Doyle , Est. ,23240,Awarded
151,Chapman Argeros Lighting & Wind control,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,6280,Awarded
152,Crean Lutheran South High School,Irvine, 441 OC , Site , Competitive , Engineered , Rudy , Est. ,875960,Lost
154,B. Braun Repair Co Gen Vault,Irvine, 441 OC , Site , Negotiated , Design/Build , Frank , Est. ,59125,Awarded
155,Maruchan 400 amp feeder,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , Est. ,70640,Awarded
156,San Antonio CoGen Controllers,Upland, 441 OC , Hospital , Budget , Design/Build , Doyle , Est. ,14950,Lost
157,Corelogic Sub Panels,Santa Ana , 441 OC , Comercial , Negotiated , Design/Build , Frank , Est. ,16913,Awarded
160,LATTC Meters and lighting Mod,Los Angeles, 11 LA , TI , Budget , Design/ Assist , Doyle , Est. ,358900,Lost
161,B/Braun Metrology,Irvine, 441 OC , TI , Select Bid List , Engineered , Ron , Est. ,62965,Lost
162,McKesson Shiping Modernization,Norwalk, 11 LA , Comercial , Negotiated , Engineered , Frank , Est. ,900000,Awarded
163,B. Braun Sub Station D Replacement,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,176906,Lost
165,Thales new a/c power,Irvine, 441 OC , TI , Negotiated , Design/Build , Doyle , Est. ,2742,Awarded
166,Edison Smart Connect TI,Irvine, 441 OC , TI , Select Bid List , Engineered , Doyle , Est. ,77250,Lost
167,Pac Life 3rd Floor TI,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Rudy , Est. ,598700,Lost
168,Mission Hosp. OR AH Replacement,Mission Viejo, 441 OC , Hospital , Competitive , Engineered , Rudy , Est. ,72700,Lost
169,Newport Lido 507 new circuti,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Doyle , Est. ,1500,Awarded
170,Baxter Platform Upgrade Lighting,Los Angeles, 11 LA , Industrial , Budget , Design/Build , Frank , Est. ,15375,Awarded
171,Hoag SPD Washer Replacement,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Doyle , Est. ,4674,Awarded
172,Kaiser Flouro Infrasture Improvements,Riverside, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,7300,Awarded
173,Hoag 10th floor Telemetry Nurse tower,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,9700,Awarded
174,Chapman Knott Lighting Repair,Orange, 441 OC , TI , Select Bid List , Engineered , Doyle , Est. ,2860,Awarded
175,St Joseph Data Center,Anaheim, 441 OC , Comercial , Competitive , Design/Build , Randy D. , P.M. ,39900,Awarded
176,St Jude PS#2 Camera Addition,Fullerton , 441 OC , Comercial , Competitive , Design/Build , Randy D. , P.M. ,67500,Awarded
179,SCE Irvine Bypass Replacement,Irvine, 441 OC , Specialty , Select Bid List , Design/Build , Doyle , Est. ,20000,Awarded
180,Hoag Pathology Lab Renovation,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Rudy , Est. ,9145,Awarded
184,Satellite Dialysis,Southgate, 11 LA , Hospital , Competitive , Design/Build , Rudy , Est. ,292400,Lost
185,"Irvine Spectrum, Bldg. 300",Irvine, 441 OC , Site , Competitive , Engineered , Rudy , Est. ,203000,Lost
186,Chapman Magnablast Retrofit,Orange, 441 OC , TI , Negotiated , Design/Build , Doyle , Est. ,38374,Awarded
188,Semtech,Irvine, 441 OC , TI , Competitive , Engineered , Doyle , Est. ,121900,Lost
190,Hoag Irvine Pkg 3 FA Pricing,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Doyle , Est. ,40092,Awarded
195,Hoag Irvine 03-003 IB,Irvine, 441 OC , Hospital , Negotiated , Engineered , Bill , P.M. ,5328,Awarded
196,Hoag Irvine 03-007 IB,Irvine, 441 OC , Hospital , Negotiated , Engineered , Bill , P.M. ,1814,Awarded
197,Newport Lido Suite 223 Renovation,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Doyle , Est. ,4569,Awarded
198,Chapman Residence Primary,Orange, 441 OC , Site , Negotiated , Design/Build , Doyle , Est. ,17740,Awarded
199,Hoag Irvine 03-012 IB,Irvine, 441 OC , Hospital , Negotiated , Engineered , Bill , P.M. ,21868,Awarded
200,3800 Chapman 7th floor Maguire,Orange, 441 OC , TI , Budget , Engineered , Ron , P.M. ,27800,Lost
201,Hoag MRI Trailer Removal,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Doyle , Est. ,9110,Awarded
202,South Coast Service Upgrade,Costa Mesa, 441 OC , Site , Competitive , Engineered , Doyle , Est. ,115230,Lost
203,OCC Room 140 & 216 Outlets,Costa Mesa, 441 OC , TI , Competitive , Design/Build , Doyle , Est. ,13650,Awarded
204,Newport Lido #210 receptacles,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Doyle , Est. ,1020,Awarded
205,Spectrum Phase 1 Plaza,Irvine, 441 OC , Site , Competitive , Engineered , Doyle , Est. ,90650,Lost
207,Fireman's Fund T.I,Irvine, 441 OC , TI , Competitive , Engineered , Ron , P.M. ,86400,Lost
208,St Joseph Data Center 300KVA UPS Addition (ROM),Anaheim, 441 OC , Specialty , Competitive , Design/Build , Randy D. , P.M. ,600000,Lost
210,Hoag Irvine IB 03-018,Irvine, 441 OC , Hospital , Negotiated , Engineered , Bill , P.M. ,21280,Awarded
211,Kaiser Downey Pharmacy,Downey, 11 LA , TI , Competitive , Engineered , Rudy , Est. ,39190,Awarded
212,Hoag Irvine IB 03-020,Irvine, 441 OC , Hospital , Negotiated , Engineered , Bill , P.M. ,10976,Awarded
214,Chapman Memorial President Ltg,Orange, 441 OC , TI , Negotiated , Design/Build , Doyle , Est. ,1375,Awarded
215,18301 Von Karman Cooridor Prjt,Irvine, 441 OC , TI , Competitive , Engineered , Doyle , Est. ,16700,Lost
216,Kaiser Pharmacy Narcotics Vault,Downey, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,37450,Lost
217,Hoag Irvine MRI Trailer ,Irvine, 441 OC , Hospital , Budget , Design/ Assist , Bill , P.M. ,35556,Awarded
218,Kaiser Sherman Way FA Upgrade,North Hollwood, 11 LA , Hospital , Select Bid List , Engineered , Ron , P.M. ,272002,Lost
219,Riverside Medical Center OTC Shelving,Riverside, 440 RS , Hospital , Select Bid List , Engineered , Rudy , Est. ,6810,Awarded
220,HHI - SPD Auto Doors,Irvine, 441 OC , Hospital , Budget , Design/ Assist , Bill , P.M. ,5783,Awarded
221,Chpaman Library LED retrofit,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,3220,Awarded
222,Hoag Speech Therapy,Newport Beach, 441 OC , Hospital , Budget , Engineered , Bill , P.M. ,16398,Lost
223,Kaiser Downey Pharmacy - Upgrade BMS,Downey, 11 LA , Comercial , Competitive , Engineered , Randy D. , P.M. ,28624,Awarded
224,Hoag Med Records - R&R (E) Flex,Newport Beach, 441 OC , Hospital , Budget , Engineered , Bill , P.M. ,5339,Lost
1,Kaiser Baldwin Park Backfill- Ph. 1,Baldwin Park, 11 LA , Hospital , Select Bid List , Engineered , Rudy , Est. ,433575,Awarded
4,MLK Hospital,Los Angeles, 11 LA , Hospital , Select Bid List , Design/Build , Jeff P. , Est. ,37653500,Lost
5,Disney West Side Diner 2nd Fl TI,Anaheim, 441 OC , TI , Select Bid List , Engineered , Doyle , Est. ,45942,Awarded
6,Hoag Stress Lab,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,11000,Awarded
7,Baxter Replace Conduits in Rm. 416,Los Angeles, 11 LA , Industrial , Select Bid List , Design/Build , Frank , Est. ,6945,Awarded
9,Whittier Hospital Service Replacement,Whittier, 11 LA , Hospital , Select Bid List , Engineered , Rudy , Est. ,722000,Lost
11,Disney Parkwide Area Development,Anaheim, 441 OC , TI , Select Bid List , Engineered , Randy D. , Est. ,74900,Lost
12,Cal State LA Feeder replacement,Los Angeles, 11 LA , TI , Select Bid List , Design/Build , Doyle , Est. ,18980,Lost
13,B of A IDF room outlets,West Hills, 441 OC , TI , Select Bid List , Engineered , Doyle , Est. ,70870,Lost
14,Braun- Titan Bag,Irvine, 441 OC , TI , Select Bid List , Engineered , Jeff S. , Est. ,103106,Awarded
16,Advent TI remodel Budget,Irvine, 441 OC , TI , Budget , Design/ Assist , Doyle , Est. ,711400,Lost
18,Mitel T.I.,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,83103,Awarded
21,Baxter Butler Bld Demo,Los Angeles, 11 LA , Industrial , Select Bid List , Design/Build , Frank , Est. ,79356,Lost
22,Baxter Clarifyer Demo,Los Angeles, 11 LA , Industrial , Select Bid List , Design/Build , Frank , Est. ,7116,Lost
23,B of A Security Drops,Seal Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,3995,Awarded
24,Chapman Memorial IT room feeder,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,19987,Awarded
25,Chapman Library UV Lighting Retro,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,20648,Awarded
26,Apex Suite 1050 TI,Irvine, 441 OC , TI , Budget , Design/Build , Doyle , Est. ,60765,Lost
27,SACH Hospital Addition,Upland, 477 SB , Hospital , Competitive , Engineered , Jody , Est. ,4688875,Lost
28,Honda Cnrt Fire Alarm Modification,Anaheim, 441 OC , TI , Competitive , Engineered , Doyle , Est. ,84954,Awarded
29,Chevron Solar HB,Huntington Beach, 441 OC , TI , Competitive , Engineered , Doyle , Est. ,257357,Awarded
30,Thales 2 new 10 ton a/c units,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,4560,Awarded
31,CableLAN raceway project,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,62000,Lost
32,Disney Generator,Anaheim, 441 OC , Comercial , Select Bid List , Design/Build , Dan , P.M. ,209000,Lost
35,Clearwire A/C unit power,Anaheim, 441 OC , TI , Competitive , Engineered , Dan , P.M. ,7800,Awarded
37,501 Shatto Place Chiller Retro-Fit,Los Angeles, 11 LA , Comercial , Select Bid List , Design/Build , Frank , Est. ,67249,Awarded
38,Mission Hospital CT #1 Replacement,Mission Viejo, 441 OC , Hospital , Competitive , Engineered , Rudy , Est. ,50415,Lost
39,Pacific Life 5th Floor ,Newport Beach, 441 OC , TI , Budget , Design/Build , Frank , Est. ,967891,Lost
42,Kaiser Pharmacy ADA Compliance,Downey, 11 LA , Comercial , Competitive , Engineered , Randy D. , P.M. ,43800,Awarded
44,Baxter Building 7 Alterations,Los Angeles, 11 LA , Comercial , Competitive , Engineered , Frank , Est. ,7146,Awarded
45,California Stem Cell ,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,115921,Awarded
46,Share Our Selves T.I.,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Frank , Est. ,24896,Awarded
47,650 Newport Center,Newport Beach, 441 OC , Shell , Budget , Engineered , Doyle , Est. ,9965780,Lost
48,PSB warehouse power,Lake Forest, 441 OC , TI , Competitive , Design/Build , Doyle , Est. ,27320,Lost
50,Hoag Irvine Exterior Ltg. For MRI Trailer,Irvine, 441 OC , Comercial , Competitive , Engineered , Bill , P.M. ,4705,Awarded
51,Park Place Campus Lighting Retro,Irvine, 441 OC , TI , Competitive , Design/Build , Frank , Est. ,1257448,Lost
53,AAA LB Replace ATS,Long Beach, 11 LA , Comercial , Select Bid List , Design/Build , Frank , Est. ,2565,Awarded
54,AAA LB Replace Generator Breaker,Long Beach, 11 LA , Comercial , Select Bid List , Design/Build , Frank , Est. ,1943,Awarded
56,OC Head Start Alterations,Santa Ana, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,5863,Lost
57,HHI Pkg. 3 Add devices to OR's 1 & 2,Irvine, 441 OC , Hospital , Select Bid List , Engineered , Bill , P.M. ,4745,Awarded
59,Jacobs Engineering Relocation,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,475928,Lost
60,Haog Board Room Monitor Relocation,Newport Beach, 441 OC , Hospital , Select Bid List , Design/Build , Bill , P.M. ,3945,Lost
61,Hoag Loading Dock Pkg B,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Doyle , Est. ,6882,Awarded
62,Hoag HVI Fire Alarm Upgrade,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Doyle , Est. ,27733,Awarded
63,San Antonio Central Plant,Upland, 477 SB , Hospital , Select Bid List , Engineered , Rudy , Est. ,614925,Lost
65,Disney Hollywood Back Lot,Anaheim, 441 OC , Comercial , Competitive , Engineered , Doyle , Est. ,25305,Lost
66,Hoag- HRC Fertility Clinic,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Jody , Est. ,544345,Lost
67,Apex Suite 1050 TI,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,23580,Awarded
68,Bio Rad Infectious Disease T.I.,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,198352,Lost
70,Hoag Methane for Cancer Center,Newport Beach, 441 OC , Hospital , Budget , Design/Build , Doyle , Est. ,169104,Lost
71,Hoag Lido IT Reroute,Newport Beach, 441 OC , Site , Select Bid List , Engineered , Doyle , Est. ,54700,Lost
72,"UCI BLDG. 54, 5TH FLR TI",Orange, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,362680,Lost
74,High Desert Health,Lancaster, 11 LA , Comercial , Public Works , Design/Build , Ron , P.M. ,18620975,Lost
75,Baxter Platform Phase II,Los Angeles, 11 LA , Industrial , Select Bid List , Design/Build , Frank , Est. ,141938,Awarded
76,Hoag Chemo Hood Replacement,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Doyle , Est. ,4400,Lost
77,VK 10th floor restroom replacement,Irvine, 441 OC , TI , Select Bid List , Engineered , Doyle , Est. ,3400,Lost
78,UHS Corona Med Cntr--Psyc Conversion,Corona, 441 OC , Hospital , Select Bid List , Engineered , Jody , Est. ,97460,Awarded
79,"18301 Von Karman, Spec Ste. 490",Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,12166,Awarded
80,18301 Von Karman Spec Ste. 1060,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,14347,Awarded
81,Hoag Fiber Reroute,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,38000,Lost
83,Fullerton Community Center,Fullerton, 441 OC , Comercial , Select Bid List , Engineered , Jody , Est. ,2068000,Awarded
84,Chapman Argeros Inverter Modify,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,8520,Awarded
86,Chapman Hashinger plug mold & GFCI,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,9575,Awarded
87,D-Link,Fountain Valley, 441 OC , TI , Competitive , Design/Build , Rudy , Est. ,161535,Lost
88,"18301 Von Karman, 1st Flr. RR",Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,5046,Awarded
89,CarbonLITE Plastic Recycle Plant,Riverside, 440 RS , Industrial , Competitive , Engineered , Jody , Est. ,1953109,Lost
90,Newport Ortopedic TI,Irvine, 441 OC , TI , Select Bid List , Engineered , Doyle , Est. ,48760,Lost
91,CarbonLITE Office TI,Riverside, 440 RS , TI , Competitive , Engineered , Jody , Est. ,148000,Lost
93,PWC Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,589362,Lost
