Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
13-022,Cerritos College Leberal Arts Bldg ,FA,11110 Alondra Blvd,Newport Beach,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Daniel , Est. , CA ,10/9/2012," $31,850 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Simplex,Chris Shumsky,,,,,,,,,,,,,,,,,,,,,,,
13-023,UCI Verano Housing,FA,,Irvine,CA, 441 OC ,, Fire Alarm , Public Works , Engineered , Daniel , Est. , CA ,10/22/2012," $574,390 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,Craig ,,,,,,,,,,,,,,,,,,,,,,,
13-024,Hoag UPS Air Handlers,add two Air Handlers and CU's,,Newport Beach,CA, 441 OC ,, Hospital , Negotiated , Engineered , Jeff P. , Est. , CA ,9/28/2012,,,,,,,,,,,Not Bid,20%, $- ,,,,,,,,,Hoag,Erick,,,,,,,,,,,,,,,,,,,,,
13-025,Kaiser Oceanside MOB,MOB,,Ocean Side,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Jeff P. , Est. , CA ,2/19/2013," $1,318,580 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,GKK,,,,,,,,,,,,,,,,,,,,,,,,
13-026,FDA Steam Sterilizers,Tenant Improvement,,Irvine,CA, 441 OC ,, Comercial , Negotiated , Design/ Assist , Frank , Est. , CA ,10/4/2012," $29,290 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,DBAC,Phin Banning,,,,,,,,,,,,,,,,,,,,,
13-027,Long Beach The Paradies Shops,FA,4100 E Donald Douglas Drive,Long Beach,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Daniel , Est. , CA ,10/4/2012," $28,100 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Simplex,Allen Enamorado,,,,,,,,,,,,,,,,,,,,,,,
13-028,Main Electric Supply Generator,Emergency Generator Install,3600 W. Segerstrom,Santa Ana,CA, 441 OC ,, Comercial , Negotiated , Design/Build , Frank , Est. , CA ,10/5/2012," $756,142 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-029,One Santa Fe FA Design Build,No bid the project,,,CA, 11 LA ,, Fire Alarm , Select Bid List , Design/Build , Daniel , Est. , CA ,10/5/2012," $322,200 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Simplex,Ronnie,,,,,,,,,,,,,,,,,,,,,,,
13-030,HHHB T.I.,Tenant Improvement,19582 Beach Blvd.,Huntington Beach,CA, 441 OC ,, TI , Competitive , Engineered , Jody , Est. , CA ,10/11/2012," $32,673 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,BSD,Steve Sherrer,,,,,,,,,,,,,,,,,,,,,
13-031,FBI Generator Tap Box,,3800 W. Orange,Orange,CA, 441 OC ,, Specialty , Budget , Design/Build , Ron , P.M. , CA ,10/11/2012," $49,400 ",,,,,,,,,,Unknown,1%, $- ,,,,,,,,,,Mike Webb,,,,,,,,,,,,,,,,,,,,,
13-032,Young's Market Company Emergency Power,Generator Install,500 So. Central,Los Angeles,CA, 11 LA ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,10/9/2012," $742,000 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-033,Young's Market Company FLIR,Infra-Red Scaning,500 So. Central,Los Angeles,CA, 11 LA ,, Specialty , Negotiated , Engineered , Frank , Est. , CA ,10/9/2012," $5,120 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-034,Quantum Service Upgrade,,,Lake Forest,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,10/11/2012," $74,013 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,HBC,Scarpinato,,,,,,,,,,,,,,,,,,,,,
13-035,GKN Aerospace Hook Up Oven,Equipment Connection,12122 Western Ave,Garden Grove,CA, 441 OC ,, Comercial , Negotiated , Design/Build , Frank , Est. , CA ,10/12/2012," $11,340 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-036,Hoag Irvine Café Lighting Upgrade,,16200 Sand Canyon ,Irvine,CA, 441 OC ,, Hospital , Budget , Design/Build , Bill , P.M. , CA ,10/15/2012," $9,256 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Hoag,,,,,,,,,,,,,,,,,,,,,,
13-037,Linde APU Addition,Argon Gas Purification System,660 N. Baldwin Park Blvd,City of Industry,CA, 441 OC ,, Industrial , Select Bid List , Engineered , Frank , Est. , CA ,10/26/2012,,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,HBA Inc.,,,,,,,,,,,,,,,,,,,,,,
13-038,CSMC 6TH Floor Remodel,OSHPD Tenant Improvement,8700 Beverly Blvd.,Los Angeles,CA, 11 LA ,, Hospital , Competitive , Engineered , Frank , Est. , CA ,10/23/2012,,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,CW Driver,Sam Huleis,,,,,,,,,,,,,,,,,,,,,
13-039,Irvine Valley College,,,Irvine,CA, 441 OC ,, Comercial , Negotiated , Design/Build , Frank , Est. , CA ,11/8/2012," $956,258 ",,,,,,,,,,Awarded,10%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-040,Abener Teyma Mojave Solar Underground,Solar Plant Underground,,Hinkley,CA, 477 SB ,, Specialty , Negotiated , Engineered , Jeff P. , Est. , CA ,10/23/2012,,,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-041,CSUF Elevator Control Room Interface,,,Fullerton,CA, 441 OC ,, Fire Alarm , Competitive , Engineered , Daniel , Est. , CA ,10/19/2012," $1,500 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Simplex,Samantha,,,,,,,,,,,,,,,,,,,,,,,
13-042,Tustin Legacy Fire Station,Fire Station New Construction,12345 Kensington Park Dr.,Tustin,CA, 441 OC ," 9,500 ", Comercial , Public Works , Engineered , Jody , Est. , CA ,11/1/2012," $589,774 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Swinerton,,,,,,,,,,,,,,,,,,,,,,
13-043,Hoag 500 Superior Donor Foundation TI,Tenant Improvement,500 Superior Ave.,Newport Beach,CA, 441 OC ,, TI , Budget , Design/Build , Bill , P.M. , CA ,10/22/2012," $26,700 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,,Javier Contreras,,,,,,,,,,,,,,,,,,,,,
13-044,Cedar-Sinai 8th Floor Pathology Lab,FA,8700 Beverly Blvd.,Los Angeles,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Daniel , P.M. , CA ,10/24/2012," $13,100 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Simplex,Carlos Valdez,,,,,,,,,,,,,,,,,,,,,,,
13-045,Placentia Linda Ed Expansion ,FA,1301 North Rose Dr,Placentia,CA, 441 OC ,, Fire Alarm , Select Bid List , Engineered , Daniel , Est. , CA ,10/24/2012," $5,700 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Simplex,Carlos Valdez,,,,,,,,,,,,,,,,,,,,,,,
13-046,Young's Market Chino Emergency Power,Generator Install,,Chino,CA, 440 RS ,, Site , Budget , Design/Build , Frank , P.M. , CA ,10/25/2012," $1,685,802 ",,,,,,,,,,Not Built,10%, $- ,,,,,,,,,Young's Mkt. Co.,Tom Huffacker,,,,,,,,,,,,,,,,,,,,,
13-047,Dependable Server Room Fire Suppression System,FA,2555 E. Olympic Blvd.,Los Angeles,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Daniel , Est. , CA ,10/26/2012," $7,630 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Simplex,Carlos Valdez,,,,,,,,,,,,,,,,,,,,,,,
13-048,Pacific Life New Facilities / Security Office,Tenant Improvement,700 Newport Center Drive,Newport Beach,CA, 441 OC ,, TI , Competitive , Engineered , Daniel , P.M. , CA ,10/30/2012," $48,750 ",,,,,,,,,,Unknown,50%, $- ,,,,,,,,,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,,
13-049,Pacific Life New Prep Kitchen,Tenant Improvement,700 Newport Center Drive,Newport Beach,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,10/30/2012," $18,296 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,,
13-050,Pacific Life South East Quadrant,Tenant Improvement,700 Newport Center Drive,Newport Beach,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,10/30/2012," $20,184 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,,
13-051,"Young's Market Co, Tustin & Tustin II",Tenant Improvement,14402 Franklin Avenue,Tustin,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,10/31/2012," $30,200 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Casco,,DBAC,Phin Banning,,,,,,,,,,,,,,,,,,,,,
13-052,Hoag Hospital Ancillary Building & 1st Floor Fire Alarm Upgrade,,,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Jeff P. , Est. , CA ,11/8/2012," $171,100 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-053,Praxiar Sprinkler Monitoring,FA,Santa Ana,Sant Ana,CA, 441 OC ,, Fire Alarm , Select Bid List , Engineered , Daniel , Est. , CA ,11/7/2012," $1,890 ",,,,,,,,,,Lost,, $- ,,,,,,,,Carlos Valdez,Simplex,,,,,,,,,,,,,,,,,,,,,,
13-054,POLA Maersk Pier 400 FA Renovation,Port of LA,,LA,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Daniel , Est. , CA ,11/8/2012," $309,240 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,Donnie,Simplex,,,,,,,,,,,,,,,,,,,,,,
13-055,Hoag 5 East CPOE,Add CPOE Outlets,,Newport Beach,CA, 441 OC ,, Hospital , Negotiated , Design/Build , Jeff P. , Est. , CA ,11/9/2012," $13,800 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Hoag,Andrea,,,,,,,,,,,,,,,,,,,,,
13-056,Pacific Life Offices 7065-7068,Tenant Improvement,700 Newport Center Drive,Newport Beach,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,11/9/2012," $2,824 ",,,,,,,,,,Unknown,50%, $- ,,,,,,,,,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,,
13-057,Pacific Life Offices 400-401,Tenant Improvement,700 Newport Center Drive,Newport Beach,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,11/9/2012," $2,824 ",,,,,,,,,,Unknown,50%, $- ,,,,,,,,,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,,
13-058,Technicolor Demo,Tenant Improvement,1747 Flower Street,Glendale,CA, 11 LA ," 27,764 ", TI , Budget , Design/Build , Frank , Est. , CA ,11/12/2012," $79,050 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,KCS,Rob Stein,,,,,,,,,,,,,,,,,,,,,
13-059,Hubert H.Humphrey Comprehensive Med Center,,,,CA, 11 LA ,, TI , Select Bid List , Engineered , Daniel , Est. , CA ,11/19/2012," $6,070 ",,,,,,,,,,Unknown,, $- ,,,,,,,,Carlos Valdez,,,,,,,,,,,,,,,,,,,,,,,
13-060,Baxter LA Tear Down Area Camera Project,CCTV installation,4501 Colorado Blvd.,Los Angeles,CA, 11 LA ,, Comercial , Negotiated , Design/Build , Frank , Est. , CA ,11/19/2012," $9,020 ",,,,,,,,,,Unknown,50%, $- ,,,,,,,,,Vertical,John Borden,,,,,,,,,,,,,,,,,,,,,
13-061,Hemet Valley Cath Lab,Cath Lab & new EM Power,,Hemet,CA, 440 RS ,, Hospital , Select Bid List , Engineered , Jeff P. , Est. , CA ,12/6/2012," $1,102,550 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,DEB,Scott Shellhamer,,,,,,,,,,,,,,,,,,,,,
13-062,Hoag 9th & 3rd Security Doors,add security doors,One Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Jeff P. , Est. , CA ,11/28/2012," $11,886 ",,,,,,,,,,Unknown,, $- ,,,,,,,,,DEB,Scott Shellhamer,Questar,Alex Lee,,,,,,,,,,,,,,,,,,,
13-063,City of Hope KCRB Lab Renovations,,,,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Ron , P.M. , CA ,11/27/2012," $9,775 ",,,,,,,,,,Lost,, $- ,,,,,,,Simplex,,,,,,,,,,,,,,,,,,,,,,,,
13-064,Hoag Irvine ATS Replacment,,,Irvine,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Bill , P.M. , CA ,,,,,,,,,,,,Not Bid,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-065,Kaiser Behavioral Health,Fire Alarm ,145 Hodencamp Rd,Thousnad  Oaks,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Ron , P.M. , CA ,12/4/2012," $39,250 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,Dan,,,,,,,,,,,,,,,,,,,,,,,
13-066,Sage Split Unit,HVAC Addition,6561 Irvine Center Drive,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,12/6/2012," $3,645 ",,,,,,,,,,Not Built,50%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-067,Saddleback Hospital MRI FA,Hospital FA,24451Health Center Drive,Laguna Hills,CA, 441 OC ,, Fire Alarm , Select Bid List , Design/Build , Ron , P.M. , CA ,12/5/2012," $2,860 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Simplex,,,,,,,,,,,,,,,,,,,,,,,,
13-068,Getty Fire Alarm,Fire Alarm network upgrade,1200 Getty Center Drive,Los Angeles,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Ron , P.M. , CA ,3/7/2013," $163,215 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Simplex,Sharon Brown,,,,,,,,,,,,,,,,,,,,,,,
13-069,Equinix Lighting Protection,Assist in Lighting protection installation,"445 N. Douglas St,",El Segundo,CA, 11 LA ,, Specialty , Select Bid List , Engineered , Jeff P. , Est. , CA ,12/7/2012," $10,440 ",,,,,,,,,,Unknown,90%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-070,AAA Breaker and Feeder Stub Out,Tenant Improvement,3333 Fairview Road,Costa Mesa,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,12/11/2012,,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,AAA,Tim Woolfrey,,,,,,,,,,,,,,,,,,,,,
13-071,EnerPath Lighting Retrofits,Unit Cost Lighting Retro Fit,,Los Angeles,Ca, 11 LA ,, Specialty , Competitive , Engineered , Jeff P. , Est. , CA ,12/30/2012," $100,000 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-072,Baxter Hot Room Card Reader,Tenant Improvement,4501 Colorado Blvd.,Los Angeles,CA, 11 LA ,, Industrial , Negotiated , Design/Build , Frank , Est. , CA ,12/13/2012," $5,271 ",,,,,,,,,,Not Built,20%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-073,XO-Communications,Fire Alarm ,5771 Copley,San Diego,CA, 441 OC ,, Fire Alarm , Select Bid List , Engineered , Ron , P.M. , CA ,12/14/2012," $7,780 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Simplex,,,,,,,,,,,,,,,,,,,,,,,,
13-074,Q-Logic Aliso Viejo,Fire Alarm ,2660 Aliso Viejo Pkwy,Aliso Viejo,CA, 441 OC ,, Fire Alarm , Select Bid List , Engineered , Ron , P.M. , CA ,12/18/2012," $1,130 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Simplex,,,,,,,,,,,,,,,,,,,,,,,,
13-075,CHLA Linear Accelerator,,,Los Angeles,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Ron , P.M. , CA ,12/18/2012," $21,625 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Simplex,,,,,,,,,,,,,,,,,,,,,,,,
13-076,Thales Anecohic Chamber,Anechoic Chamber,62 Discovery,Irvine,CA, 441 OC ,, Specialty , Select Bid List , Design/Build , Jeff P. , Est. , CA ,12/20/2012," $13,650 ",,,,,,,,,,Not Built,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-077,FVUSD Solar,12 School Solar Sites,,Fountain Valley,CA, 441 OC ,, Specialty , Negotiated , Engineered , Frank , Est. , CA ,1/4/2013," $1,146,604 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Chevron,,Chevron,Curtis Campbell,,,,,,,,,,,,,,,,,,,,,
13-078,Fox Head EV Station,,,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Jeff P. , Est. , CA ,1/7/2013," $13,560 ",,,,,,,,,,Lost,, $- ,,,,,,,,,HBC,Ryan Fraser,,,,,,,,,,,,,,,,,,,,,
13-079,Hoag Health Center HB Core & Shell,,,Huntington Beach,CA, 441 OC ,, Shell , Competitive , Engineered , Jeff P. , Est. , CA ,1/23/2013," $688,157 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,BSD,,Hensel Phelps,,,,,,,,,,,,,,,,,,,,
13-080,One Fanta Fee Telecom,Conduit and date/com cables,One Santa Fe,LA,CA, 11 LA ,, Shell , Select Bid List , Design/Build , Ron , P.M. , CA ,1/11/2013," $2,965,398 ",,,,,,,,,,Lost,, $- ,,,,,,,,,Simplex,,,,,,,,,,,,,,,,,,,,,,
13-081,Baxter Frac Cameras,Conduit for CCTV,4501 Colorado Blvd.,Los Angeles,CA, 11 LA ,, Industrial , Negotiated , Design/Build , Frank , P.M. , CA ,1/14/2013," $9,720 ",,,,,,,,,,Awarded,90%, $- ,,,,,,,Vertical,,Vertical,John Borden,,,,,,,,,,,,,,,,,,,,,
13-082,GSA Heat Pumps,HVAC Addition,3800 W. Chapman,Orange,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,1/15/2013," $8,232 ",,,,,,,,,,Unknown,50%, $- ,,,,,,,Control Air Corp,,Control Air Corp,Mike Murlee,,,,,,,,,,,,,,,,,,,,,
13-083,Hoag AH-10,HVAC Addition,1 Hospital Road,Newport Beach,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,1/16/2013," $32,334 ",,,,,,,,,,Unknown,, $- ,,,,,,,,,Control Air Corp,Grant Schaffer,,,,,,,,,,,,,,,,,,,,,
13-084,HHI - washer & dryer installation,Hospital,16200 Sand Canyon ,Irvine,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Bill , P.M. , CA ,1/18/2013," $10,800 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-085,HHI - LED Lighting Upgrade,Hospital,16200 Sand Canyon ,Irvine,CA, 441 OC ,, Hospital , Budget , Design/Build , Bill , P.M. , CA ,1/28/2013," $10,765 ",,,,,,,,,,Unknown,50%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-086,IBI Group Improvements,Tenant Improvement,18401 Von Karman ,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,1/30/2013," $10,240 ",,,,,,,,,,Awarded,50%, $- ,,,,,,,,,Buras Const.,Howard Buras,,,,,,,,,,,,,,,,,,,,,
