Est. #,Project Name, ,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
20-011,College Hospital MOB outside lighting,Outside lighting rework,275 Victoria ,Costa Mesa,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/19/2019," $4,580 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-012,Weiland Door Warehouse machine power,Power to new shop per drawings,1319 Rocky Point Dr.,Oceanside,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/20/2019," $328,000 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-013,"B|Braun medical, Cleanroom",Add switch and circuits for HEPA's,1200 Valencia,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,9/22/2019,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-014,Samueli Gym & Fields Design Phase,New Gym and Field Design Only,1901 N. Fairveiw,Santa Ana,CA, 441 OC ," 18,083 ", Specialty , Select Bid List , Design/Build , Frank , Est. , CA ,9/24/2019," $58,771 ",,,,,,,,15.00%,5.00%,,Pending,20%," $11,754 ",,,,,,,,,Snyder Langston,Fred W. ,,,,,,,,,,,,,,,,,,,,,
20-015,"B|Braun Medical, LED upgrades","Restooms, cafeteria, auditorium",2525 McGaw Avenue,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,9/23/2019,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-016,Blizzard B16 - QA New Furniture,Office Tenant Improvement,16253 Laguna Canyon,Irvine,CA, 441 OC ,, TI , Budget , Engineered , Frank , Est. , CA ,9/27/2019," $29,224 ",,,,,,,,15.00%,5.00%,,Pending,30%," $8,767 ",,,,,,,,,HBC,Kaz M.,,,,,,,,,,,,,,,,,,,,,
20-017,OCC Planetarium Floor outlets,New outlets under raised floor,2701 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/26/2019," $13,795 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-018,OCC Bld C Design computer power in wall,New power drops for class room,2701 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/30/2019," $2,964 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-019,Hill-Rom rework lighitng controls,Lighting Control rework,8785 Research Drive,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/1/2019," $12,600 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-020,"B|Braun Medical, New Corridor Wall 1402",Demo,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,9/30/2019,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-021,HHI ASC Equipment Upgrades,OSHPD Tenant Improvement,16405 Sand Canyon,Irvine,CA, 441 OC ,, Hospital , Competitive , Engineered , Josh  , Est. , CA ,10/7/2019," $33,407 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-022,"B|Braun Medical, Safety Net",Power and data to main computer,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,10/2/2019,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-023,Rutan & Tucker,8th & 9th Floor T.I. @ Boardwalk,18565 Jamboree Road,Irvine,CA, 441 OC ," 77,000 ", TI , Select Bid List , Engineered , Don V , Est. , CA ,10/14/2019," $2,305,962 ", $29.93 ,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-024,4 story IR scan for Memorial Care,IR scan for gear,2840 Long Beach Blvd,Long Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/3/2019," $3,800 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-025,Brown and Forman Power outlet in floor,Poke thru in floor,18500 Von Karman suite 850,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/3/2019," $4,950 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-026,"B|Braun Medical, Drafting Cube Reconfiguration",New Power drops  ,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-027,Kabafustion (3)  new wall outlets,Kabafusion add 3 wall outlets,17777 Town Center,Cerritors,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/4/2019," $1,350 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-028,Memorial Care Electrical room Comments,Recommendations for electrical room,11420 Warner ,Fountain Valley,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,, $- ,,,,,,,,,,,Not Bid,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-029,Blizzard B-18 Demo Make Safe,,16267 Laguna Canyon RD,Oirvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Ron , P.M. , CA ,10/7/2019," $4,375 ",,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-030,Youngs Diner and Executive Lounge Lighitng,Repair and replamp,Franklin Ave,Tustin,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/4/2019," $7,480 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-031,Blizzard B3 F2 Budget,Budget for 2nd floor TI,16205 Alton ,Irvine,CA, 11 LA ,, TI , Select Bid List ,, Ron , P.M. , CA ,,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-032,Lakeshore Delivery ro change fixture heads (6),Change 6 fixture heads to LED,18101 Von Karman,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/8/2019," $6,000 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-033,Blizzard B-4 Budget,Budget B-4,16279 Laguna Canyon Road,Irvine,CA, 441 OC ,, TI , Select Bid List ,, Ron , P.M. , CA ,10/10/2019,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-034,HHNB Automated Robotic Line,OSHPD Tenant Improvement,One Hoag Drive,Newport Beach,CA, 441 OC ,, TI , Competitive , Engineered , Josh  , Est. , CA ,10/17/2019," $73,576 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-035,MHMG Cancer Ctr. 3rd Flr. GI & Endo Suites Ph. A&B,MOB Tenant Improvement,27799 Medical Center Dr,Mission Viejo,CA, 441 OC ," 25,340 ", TI , Negotiated , Design/Build , Frank , Est. , CA ,10/16/2019," $77,970 ", $3.08 ," $809,901 ",,,,,,15.00%,8.00%,,Pending,70%," $54,579 ",,,,,,,,,Snyder Langston,L Watkins,,,,,,,,,,,,,,,,,,,,,
20-036,"B|Braun Medical, E3 Offices",Tenant Improvement,2525 McGaw Avenue,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Brian , S.P. , CA ,10/15/2019,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-037,"B|Braun Medical, Bluecap Machine PAB",Hookup Bluecap Machine at PAB,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,10/17/2019,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-038,Green River Golf meter socket and disconnect replace,Replace meter base and disconnect,4999 Green River Rd,Corona,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/17/2019," $2,600 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-039,OCC Green house wiring,Wire new green house,2701 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/18/2019," $14,415 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-040,Vector Control 20KW Genset install,New generator install,13001 Garden Grove ,Garden Grove,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/17/2019," $7,498 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-041,AAA 6 new microwave outlets,6 new microwave circuits,3333 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/18/2019," $2,775 ",," $1,200 ",,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-042,OCFA Consult with TK1SC,Consult on EPO for OCFA Data Cntr,1 Fire Authority ,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,10/17/2019," $3,000 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-043,John Daley Genset installation,Install new CF Genset,6900 Via Del Charo ,Rancho Santa Fe,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,, $- ,,,,,,,,,,,Not Bid,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-044,Charter core and sleeve for wood floor,"Install (1) 4"" sleeve from 1st to 2nd floor",1260 S. Dupont Ave.,Ontario,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/18/2019, $580 ,,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-045,Boardwalk Ground Floor egress door,Furnish and install new bollard,18575 Jamboree,Irvine,CA, 441 OC ,, Site , Select Bid List , Engineered , Doyle , S.P. , CA ,10/18/2019," $5,000 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-046,TI - East Side Parking Enhancements,Parking lot reconfiguration,403 Newport Center Drive,Newport Beach,CA, 441 OC ,, Site , Select Bid List , Engineered , Josh  , Est. , CA ,11/15/2019," $745,194 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-047,PS2 Inc.,1st Floor TI,18575 Jamboree Rd.,Irvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Don V , Est. , CA ,1030/2019," $150,032 ", $19.37 ,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-048,Baxter Rework power to chart recorders,Rework power to chart recorders,4501 Colorado Blvd,Los Angeles,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/21/2019," $10,000 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-049,Baxter New power to jib crane,New Power to jib crane,4501 Colorado Blvd,Los Angeles,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/21/2019," $11,000 ",," $1,600 "," $4,800 ",,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-050,Deutsche Santa Ana Outage Support,Stand by for outage,1961 E.St Andrews Place,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/22/2019," $1,800 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-051,AAA Long Beach New underfloor outlet Relocation,Relocate 4 circuits,4800 Airport Plaza Dr.,Long Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/24/2019," $1,988 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-052,AAA Burbank New Underfloor outlet relocation,Relocate 4 circuits,1111 W. Alameda Ave.,Burbank,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/24/2019," $1,988 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-053,Hoag Surge Supression fo rCancer Cntr AH 70,New surge suppression for AH 70,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/25/2019," $10,982 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-054,SL Office TI,Office Tenant Improvement,17962 Cowan,Irvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Steve  , Est. , CA ,11/7/2019," $116,584 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-055,AAA Convert 480 to 208 for 2 ice machines ,2 transformers and disconnects ,3333 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/29/2019," $4,878 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-056,Lakeshore 5 black LED fixture,Replace 5 fixtures on side with black,Von Karman,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/30/2019," $6,000 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-057,CHOC NICU,Add (4) new patient rooms to ex hospital,1100 W. Stewart Dr.,Orange,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Don V , Est. , CA ,11/12/2019," $136,351 ",,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-058,UCI Health N.B. Fashion Island Clinic,Building out Ex. 7209 S.F. Bldg. for clinic,2161 San Joaquin Hills Rd.,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Engineered , Don V , Est. , CA ,11/21/2019," $269,866 ",,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-059,B18 Conference Center,Blizzard First Floor T.I.,16267 Laguna Canyon Rd.,Irvine,CA, 441 OC ," 10,067 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,11/8/2019," $287,797 ", $28.59 ,,,,,,,,,,Pending,, $- ,,,,,,,,,HBC,Ken Moorhead,,,,,,,,,,,,,,,,,,,,,
20-060,Wesierski & Zurek LLP TI relocation,TI relocation,28  Orchard,Lake Forest,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/18/2019," $11,935 ",,,,,,,,,,,Lost,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-061,Riverside County Fire Pump Controller replacement,Redhawk Fire Pump Controller R&R,3406 Tenth St,Riverside,CA, 441 OC ,, Comercial , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,11/1/2019," $4,897 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-062,"Mission Hospital MOB Upgrades 1, 2 and 3",Interior and Exterior TI Upgrades,27800 Medical Center Road,Mission Viejo,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Josh  , Est. , CA ,11/15/2019," $958,820 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-063,Littler Mendelson - Irvine,Tenant Improvement of 8th Floor,18565 Jamboree Road,Irvine,CA, 441 OC ," 14,933 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,11/14/2019," $368,926 ", $24.71 ,,,,,,,,,,Pending,, $- ,,,,,,,,,Turelk,Jeff Turi,,,,,,,,,,,,,,,,,,,,,
20-064,Thales new outlets and cubical power T&M,T&M proposal for customer directed,58 Discovery ,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/8/2019," $21,500 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-065,Equity Partners Exit signs,Furnish 15 new exit signs,17777 Town Center,Cerritors,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/18/2019," $5,395 ",,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-066,Nash Street Exchange,"Core & Shell of MOB & Bldgs 2, 4 & 5",2100-2180 El Segundo Blvd,El Segundo,CA, 11 LA ,, Shell , Select Bid List , Engineered , Steve  , Est. , CA ,12/2/2019," $1,384,104 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,Snyder Langston,Max Burcham,,,,,,,,,,,,,,,,,,,,,
20-067,UCI Fire Alarm Suite #350 for Redhawk,Fire alarm system install,5270 California Ave.,Irvine,CA, 441 OC ,, Fire Alarm , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,11/15/2019," $32,596 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-068,Malcom International connect temp genset,Connect temp genset,4999 Green River Rd,Corona,CA, 441 OC ,, Site , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,11/18/2019," $3,620 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-069,Memorial Care new exit sign,New exit sign in suite 640,24411 Health Center ,Laguna Hills,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/18/2019, $944 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-070,Memorial Care OR 3 replace ground monitor,Replace ground monitor in OR3,24411 Health Center ,Laguna Hills,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/21/2019," $5,724 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-071,AAA La Quinta Restack,New furniture restack power rework,46050 Washington St.,La Quinta,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/21/2019," $9,875 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-072,Epson Carson add 8 fork lift chargers,Add power for 4 new charger connects,1650 Glenn Curtiss,Carson,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/18/2019," $12,002 ",," $1,200 ",,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-073,Baxter Irvine IR scan and temp genset,IR scan and temp genset,17511 Armstrong,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/21/2019," $3,400 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-074,Bestever waterproofing underground to yard,Replace underground to yard power,23261 Del Lago Unit 1,Laguna Hills,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/22/2019," $2,588 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-075,AAA Costa Mesa 4th floor Coffee Pot Power,4 quad outlets and 4 data stubs,3333 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/27/2019," $2,988 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-076,AAA Costa Mesa 4th floor TV outlets,30 amp power to coffee pot,3333 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/27/2019," $3,664 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-077,HHC NB Cancer Center,Tenant Improvement on 2nd Floor,One Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Josh  , Est. , CA ,12/10/2019," $596,572 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-078,Takeda Tear Down,Clean Room Improvements,4501 Colorado Blvd,Los Angeles,CA, 11 LA ,, Industrial , Budget , Engineered , Frank , Est. , CA ,12/2/2019,,,,,,,,,,,,Bidding,, $- ,,,,,,,,,Vertical,J. Borden,,,,,,,,,,,,,,,,,,,,,
20-079,Newport Lido Area Lighting ,4 area lights with sensors,351 Hospital Rd.,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/3/2019," $2,987 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-080,Vans HQ - Bid Pkg #2,New Office Bldg and Parking Structure,1588 South Coast Drive,Costa Mesa,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Steve  , Est. , CA ,12/16/2019," $4,583,799 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,Hathaway Dinwiddie,Dhaval Panchal,,,,,,,,,,,,,,,,,,,,,
20-081,AAA Costa Mesa outlet 4th fl Tomlin Office,New outlet and data opening,3333 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/4/2019, $844 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-082,AAA Torrance power for elevator oil cooler,Power to oil cooler motor,23001 Hawthorne Blvd,Torrance,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/4/2019," $3,974 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-083,Beach Draperies new lights in warehouse,New lights in warehoue,16692 Millikan,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/12/2019," $7,970 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-084,The Rinks outlets in planters,Outlets in planters,888 Ridge Valley,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,12/4/2019," $6,200 ",," $4,600 ",,,,,,,,,Not Built,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
