Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
18-011,Blizzard B16- Audit,Audit,16253 Laguna Canyon,Irvine,CA, 441 OC ,, TI , Negotiated , Engineered , Jeff S , P.M. , CA ,9/14/2017," $5,538 ",,,,,,,,,,,Awarded,90%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-012,HCTV ,Tenant Improvement,"18565 Jamboree Road, 4th ",Irvine,CA, 441 OC ," 26,174 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,9/27/2017," $624,224 ", $23.85 ,,,,,,,,,,Awarded,, $- ,,,,,,,,,Turelk,,HBE,,Snyder Langston,,,,,,,,,,,,,,,,,,
18-013,Reata Glen,Fire Alarm,28805 Ortega Hwy,San Juan Capistrano,CA, 441 OC ,, Fire Alarm , Select Bid List , Engineered , Ron , P.M. , CA ,9/20/2017, $- ,,,,,,,,,,,Not Bid,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-014,Carrington Enterprise Car Charger power,New circuit parking structure 4th floor,25 Enterprise,Aliso Viejo,CA, 441 OC ,, Parking Structure , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/15/2017," $1,710 ",," $4,283 ", $390 ," $1,200 ",,,,,,,Pending,10%, $171 ,,,,,,,,,Carrington ,Clay Morgan,,,,,,,,,,,,,,,,,,,,,
18-015,Toy Story Parking Lot Expansion,Expansion of Parking Lot,,Anaheim,CA, 441 OC ,, Site , Select Bid List , Engineered , Brian , Est. , CA ,10/2/2017," $260,425 ",,,,,,,,,,,Lost,, $- ,,,,,,,,,Whiting Turner,Mark Dupray,,,,,,,,,,,,,,,,,,,,,W/T did not get the job
18-016,Charter Add outlet in office room 103,Add one new outlet,6695 Green Valley Circle,Culver City,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/20/2017, $488 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-017,Add oultets and data stub for warehouse cage area,Add one outlet and one circuit and stubs,1650 Glenn Curtiss,Carson,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/30/2017," $2,397 ",," $1,350 ",,,,,,,,,Pending,10%, $240 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-018,Pacific Alliance Load studies and research,2 load studies and research,531 W. College St.,Los Angeles,CA, 441 OC ,, Hospital , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,9/21/2017," $13,000 ",,,,,,,,,,,Pending,10%," $1,300 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-019,Deutsche Bank Santa Ana outlet and data,Data and outlet add,1761 E. St. Andrews Place,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/21/2017," $2,708 ",,,,,,,,,,,Pending,10%, $271 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-020,AAA add dedicated circuit for Printer,Add circuit and data stub for printer,3333 Fairview ,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/21/2017," $1,680 ",,,,,,,,,,,Pending,10%, $168 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-021,Charter service 23 outdoor fixtures,Service 15 canopy and 8 pole fixtures,6695 Green Valley Circle,Culver City,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/22/2017," $14,500 ",,,,,,,,,,,Pending,10%," $1,450 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-022,CVX Building 510,Fire Alarm,260 East El Segundo Blvd,El Segundo,CA, 11 LA ,, Fire Alarm , Select Bid List , Engineered , Ron , P.M. , CA ,9/25/2017," $35,900 ",,,,,,,,,,,Unknown,10%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-023,Target Parking,Irvine Spectrum So. Pkg Structure,,Irvine,CA, 441 OC , - , Parking Structure , Select Bid List , Engineered , Steve  , Est. , CA ,12/22/2017," $246,018 ",,,,,,,,,,,Lost,25%, $- ,,,,,,,,,Cuesta Construction,Cathy Garret,,,,,,,,,,,,,,,,,,,,,
18-024,Captivate conduit for SmartStop,Conduit for Captivate project,10 Terrace,Ladera Ranch,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/26/2017," $1,900 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-025,College Hospital Copier circuits,2 circuits for copiers,275 & 301 Victoria,Costa Mesa,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/27/2017," $2,000 ",,,,,,,,,,,Pending,10%, $200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-026,DelHi Center lighting projects,Lighting projects for center,505 E. Center,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/27/2017," $6,000 ",," $16,000 "," $2,440 ",,,,,,,,Pending,10%, $600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-027,Blizzard B6 Budget,Restack - SF &D,16245 Laguna Canyon Road,Irvine,CA, 441 OC ," 28,708 ", TI , Budget , Design/Build , Steve  , Est. , CA ,9/27/2017," $818,178 ", $28.50 ,,,,,,,,,,Unknown,10%, $- ,,,,,,,,,HBC,,,,,,,,,,,,,,,,,,,,,,
18-028,Behr Paints Audit and Metering,Electrical Audit and Sub Metering,1801 St. Andrews Place,Santa Ana,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,9/28/2017," $48,630 ",,,,,,,,,,,Awarded,10%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-029,Lakeshore Towers Campus Optical Network,Tenant Improvement,18101 Von Karman Ave,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,9/28/2017," $10,366 ",," $22,426 ",,,,,,,,,Unknown,10%, $- ,,,,,,,,Joel Pugh,,,,,,,,,,,,,,,,,,,,,,,
18-030,CTA replace 2 exit signs,Replace 2 exit signs ,281 N. Rampart St,Orange ,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/30/2017, $600 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-031,CTA replace ballast ,Replace 2 or 3 ballast,430 E. Vanderbilt Way,San Bernardino,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/29/2017," $1,000 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-032,OCC machine shop power,Power for 6 new machines,Fairview Rd,Costa Mesa,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/30/2017," $14,231 ",," $1,500 ",,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-033,AFA Claims 3 new circuits,3 new circuits and outlets,2390 E. Orangewood #250,Anaheim,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/30/2017," $2,280 ",,,,,,,,,,,Pending,10%, $228 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-034,Bbraun replace 7 restroom fixtures,Replace 3 fixtures in 2 restrooms,2525 McGaw Ave,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/3/2017," $6,126 ",,,,,,,,,,,Awarded,10%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-035,Beach Draperies remove drops,Remove circuits and drops,16692 Millikan Ave,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/3/2017, $955 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-036,Western Pavers pool work,Electrical at pool job,411 Avenida Granada,San Clemente ,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/3/2017, $- ,,,,,,,,,,,Not Bid,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-037,Union Bank OC Office,7th Floor Tenant Improvement,"500 S. Main Street, Suite 700",Orange ,CA, 441 OC ," 10,404 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,10/4/2017," $341,059 ", $32.78 ," $(11,190)",,,,,,,,,Unknown,5%, $- ,,,,,,,,,Turelk,Jim Choi,,,,,,,,,,,,,,,,,,,,,
18-038,Discovery Center Phase 2 & 4,Core and Shell,,Irvine,CA, 441 OC ,, Comercial , Competitive , Engineered , Brian , Est. , CA ,10/19/2017," $4,987,330 ",," $1,776 ",,,,,,,,,Lost,25%, $- ,,,,,,,,,Snyder Langston,Greg Saunders,,,,,,,,,A&H,,,,,,,,,,,,Awarded to A&H.  Simmilar $ but using same team as last projcet.
18-039,Blizzard B9 - QA Localization,Tenant Improvement,16257 Laguna Canyon Rd,Irvine,CA, 441 OC ," 9,972 ", TI , Negotiated , Engineered , Steve  , Est. , CA ,10/5/2017," $758,475 ", $29.37 ,,,,,,,,,,Awarded,50%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-040,Blizzard B15 - QA Localization,Tenant Improvement,16251 Laguna Canyon Rd,Irvine,CA, 441 OC ," 8,261 ", TI , Negotiated , Engineered , Steve  , Est. , CA ,10/5/2017," $763,485 ",," $96,994 ",,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-041,Blizzard B16 - QA Localization,Tenant Improvement,16253 Laguna Canyon Rd.,Irvine,CA, 441 OC ," 7,069 ", TI , Negotiated , Engineered , Steve  , Est. , CA ,10/5/2017," $4,055 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-042,Blizzard Amenity Pricing,Tenant Improvement,Various Locations,Irvine,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,10/5/2017," $84,780 ",,,,,,,,,,,Unknown,25%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-043,CNB Project Ascend (Phase 1),7 Floors of Tenant Improvement,350 S. Grand Ave.,Los Angeles,CA, 11 LA ," 127,799 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,10/13/2017," $4,561,181 ", $35.69 ,,,,,,,,,,Lost,, $- ,,,,,,,,,HBC,Dave Hardt,,,,,,,,,,,,,,,,,,,,,
18-044,SpaceX Suite 302 TI,TI for new suite,96 Corporate Park,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/8/2017," $10,053 ",," $13,000 ",,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-045,Blizzard Bld 20 Boring to 8 Pasteur ,Site UG Boring,,Irvine,CA, 441 OC ,, Site , Negotiated , Engineered , Todd L , P.M. , CA ,10/6/2017," $136,540 ",,,,,,,,,,,Awarded,50%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-046,Flying J and Pilot Parking Pole WiFi project,9 Site location CA and NV,,Lodi,CA, 11 LA ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/8/2017," $16,500 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-047,AAA 20 car chargers and 480 panel,20 car chargers and 480 panel budget,3333 Fairview ,Costa Mesa,CA, 441 OC ,, Site , Budget , Design/Build , Doyle , S.P. , CA ,10/10/2017," $150,000 ",,,,,,,,,,,Pending,10%," $15,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-048,Deutsche Bank LA power outage,Scheduled power outage,2000 Ave. of the Stars,Los Angeles,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/13/2017," $2,600 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-049,Top Hat metering for support building,Metering for support building,17372 Eastman St. ,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/10/2017," $25,000 ",," $1,800 ",,,,,,,,,Pending,10%," $2,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-050,Cerritos new power feed for stairwell exhaust,new feeder for exhaust fans,12900 Park Plaza Dr.,Cerritos,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/10/2017," $9,800 ",,,,,,,,,,,Pending,10%, $980 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-051,Bbraun Lab remodel,Lab Remodel,2525 McGaw Ave,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/11/2017," $57,547 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-052,Charter Option 3 cubical power,Cubical power off hours,6021 Katella Ave,Cypress,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/12/2017," $3,788 ",,,,,,,,,,,Pending,10%, $379 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-053,Bbraun site support for Chris Cook in Cell 30/40 area,1 man labor for 1 day on stie,2525 McGaw Ave,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/11/2017, $800 ,,,,,,,,,,,Pending,10%, $80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-054,Porsche Carson pole lights and kitchen outlets,3 new outlets and 2 new pole fixtures,19800 S. Main,Carson,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/13/2017," $4,900 ",," $1,988 ",,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-055,Charter Ontario new outlet in outside break area,New circuit and outlet,1260 S. Dupont,Ontario,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/16/2017, $980 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-056,Smartstop flag pole research,Research flag pole power ,10 Terrace,Ladera Ranch,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/16/2017, $480 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-057,Charter LA Add outlet,Add oultet,249 S. Mednik Ave,Los Angeles,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/17/2017, $998 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-058,Kaiser Bellfower Optimetry,MOB TI,9400 E. Rosecrans Ave,Bellfower,CA, 441 OC ,, TI , Budget , Engineered , Jeff P. , Est. , CA ,10/19/2017," $741,293 ",,,,,,,,,,,Awarded,25%, $- ,,,,,,,,,Swinerton,Scott L,,,,,,,,,,,,,,,,,,,,,
18-059,Blizzard B4,Tenant Improvemnet,16279 Laguna Canyon,Irvine,CA, 441 OC ,, TI , Budget , Engineered , Jeff S , P.M. , CA ,10/18/2017," $129,752 ",,,,,,,,,,,Not Built,5%, $- ,,,,,,,,,HBC,t. Listerud,,,,,,,,,,,,,,,,,,,,,
18-060,PIMCO 11 and 12 floor restack,Restack desk on floors 11 and 12,650 Newport Center Dr. ,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/18/2017," $8,988 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-061,Lakeshore Towers Signage Sub Metering,Add Sub Meter,1801 Von Karman,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,10/19/2017," $1,646 ",,,,,,,,,,,Awarded,75%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-062,Beach Draperies raise lights and replace 2 wal packs,Replace 2 wall packs and raise 12 lights,16692 Millikan Ave,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/19/2017," $1,790 ",,,,,,,,,,,Pending,10%, $179 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-063,Blizzard B1 Budget,TI for existing space,One Blizzard Way,Irvine,CA, 441 OC ,, TI , Budget , Engineered , Jeff S , P.M. , CA ,10/20/2017," $139,892 ",,,,,,,,,,,Unknown,10%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-064,Kaiser Bellfower Façade,Exterior Lighting,9400 E. Rosecrans Ave,Bellfower,CA, 441 OC , 1 , Comercial , Select Bid List , Engineered , Steve  , Est. , CA ,12/18/2017," $90,350 ", $- ,,,,,,,,,,Awarded,15%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On hold until Nov 2018
18-065,Cylance Tenant Improvement,Tenant Improvement,400 Spectrum,Irvine,CA, 441 OC ," 100,230 ", Comercial , Select Bid List , Engineered , Steve  , Est. , CA ,11/1/2017," $2,356,168 ", $23.51 ,,,,,,,,,,Lost,1%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-066,Blizzard Bld 2 conf room 155 lighitng,Work fo rconference Technologies,1 Blizzard Way,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/24/2017," $2,600 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-067,Crown Valley Financial panel survey,Survey labor for exisitng panels,26300 La Alameda,Mission Viejo,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/24/2017," $13,900 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-068,Youngs Market Lactation room,New fixture and switch,Franklin Ave,Tustin,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/24/2017," $1,500 ",,,,,,,,,,,Pending,10%, $150 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-069,UCI Medical Security Project,Card readers and security ,,Orange ,CA, 441 OC ,, Hospital , Competitive , Design/ Assist , Doyle , S.P. , CA ,10/24/2017," $368,000 ",,,,,,,,,,,Lost,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-070,Anahiem Ducks T.I. Space,Tenant Improvement,The Great Park,Irvine,CA, 441 OC ," 24,414 ", TI , Budget , Design/Build , Frank , Est. , CA ,10/27/2017," $671,183 ", $27.49 ,,,,,,,,,,Awarded,20%, $- ,,,,,,,,,Swinerton,R. Yadegari,,,,,,,,,,,,,,,,,,,,,
18-071,Smart Stop outlets for cameras,2 new outlets,12321 Western Ave.,Garden Grove,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/31/2017, $790 ,,,,,,,,,,,Pending,10%, $79 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-072,Deutsche relocate lighitng and refeed panel,Relocate lighitng circuits and refeed,1861 St. Andrews Place,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/1/2017," $28,118 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-073,AAA plug walker duct abandoned locations,Fill abandoned walker duct,3350 Harbor Blvd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/1/2017," $6,700 ",,,,,,,,,,,Pending,10%, $670 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-074,AAA Ace Garage install cf ballast and lamps,Install cf ballast and lamps,16501 Mosher,Tustin,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/1/2017," $13,500 ",,,,,,,,,,,Pending,10%," $1,350 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-075,"Edwards Life Sciences, Resilia Phase 3",Clean Room Improvements,,Irvine,CA, 441 OC , 597 , Industrial , Negotiated , Engineered , Frank , Est. , CA ,11/8/2017," $117,500 ", $196.82 ," $2,276 "," $17,596 ",,,,,,,,Awarded,50%, $- ,,,,,,,,,Cannon,M. Lambrose,,,,,,,,,,,,,,,,,,,,,
18-076,B-Braun Mixing Tank Replacement,Mixing Tank Replacement,,Irvine,CA, 441 OC , - , Specialty , Select Bid List , Engineered , Brian , S.P. , CA ,11/14/2017," $26,900 ",,,,,,,,,,,Awarded,10%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-077,Repair lobby lights Peters Canyon,Repair lobby lights,5 Peters Canyon ,Irvine,CA, 441 OC , - , TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/8/2017, $335 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-078,AAA Burbank add outlet,Add outlet for new desk location,1111 W. Alameda Ave,Burbank,CA, 441 OC , - , TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/8/2017," $1,987 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-079,Karma equipment rework,Rework equipment per report,9950 Jeronimo Rd,Irvine,CA, 441 OC , - , TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/18/2017," $6,800 ",,,,,,,,,,,Pending,10%, $680 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-080,Deutsche File room panel breakers,Replace incorrect breakers,1761 St. Andrews Place,Santa Ana,CA, 441 OC , - , TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/14/2017," $2,130 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-081,HHI BELIMED WASHER,Add power for new & relocated equipment,16200 Sand Canyon Ave,Irvine,CA, 441 OC , - , Hospital , Select Bid List , Design/ Assist , Bill  , P.M. , CA ,11/14/2017," $12,166 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-082,"Cerritos tower 2"" sleeve for Kaba Fusion 5th floor","2"" sleeve across hall",17777 Town Center,Cerritos,CA, 441 OC , - , TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/13/2017, $775 ,,,,,,,,,,,Awarded,10%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-083,Deutsche Bank Santa Ana outage and Panel L1CB,New breakers and outage,1761 St. Andrews Place,Santa Ana,CA, 441 OC , - , TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/13/2017," $5,630 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
