Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date,  Base Bid  , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments,
15-016,SDC Lab,Lab/ti remodel,,Irvine,CA, 441 OC ,,,,, Doyle , S.P. , CA ,, $- ,#DIV/0!,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-017,IR scan for existing gear,IR scan,6265 2nd street,Long Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/23/2014," $1,750 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-018,Hoag Fishback Renovation,Renovation and exterior improvement,330 Placentia,Newport Beach,CA, 441 OC ," 22,354 ", Hospital , Competitive , Engineered , Rudy , Est. , CA ,10/8/2014," $231,950 ", $10.38 ,,,,,,,,,,Lost,, $- ,,,,,,,,,Align Builders Inc.,Steve Sherrer,DEB,Giovani Cangelosi,,,,,,,Interior," $185,560 ",Naz," $208,755 ",,,,,,,,,,
15-019,Youngs Market LED retrofit for Lobby can lights,Retro fit 20 high cans to LED,Franklin Ave,Tustin,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/4/2014," $11,954 ",#DIV/0!,,,,,,,,,,Not Built,2%, $- ,,,,,,,,,Youngs,Cassie Kelly,,,,,,,,,,,,,,,,,,,,,,
15-020,Blind school unmetered service,Connected Load for unmetered service,Vanderlip,Santa Ana,CA, 441 OC ,, TI ,, Design/Build , Doyle , S.P. , CA ,10/15/2014," $72,427 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-021,Bbraun Excel Lines 1 3 and 4 for Can lines,Three line modificatons,2525 MacGaw,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/ Assist , Steve  , Est. , CA ,10/20/2014," $59,325 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,Can Lines,Jeff Nelson,,,,,,,,,,,,,,,,,,,,,,
15-022,"4100 Newport Place, Spec Suite #420",Tenant Improvement,4100 Newport Place,Irvine,CA, 441 OC ," 2,600 ", TI , Competitive , Engineered , Steve  , Est. , CA ,10/3/2014," $42,154 ", $16.21 , $329 ,,,,,,,,,Lost,, $- ,,,,,,,,,CDG,Kristi Martin,,,,,,,,,SASCO," $34,000 ",,,,,,,,,,,,
15-023,First American TI,Tenant Improvement,"200 Commerce, Suite 200",Irvine,CA, 441 OC ," 2,038 ", TI , Competitive , Engineered , Steve  , Est. , CA ,10/9/2014," $40,392 ", $19.82 ," $30,889 ",,,,,,,,,Lost,, $- ,,,,,,,,,CDG,Kristi Martin,,,,,,,,,Ironwood," $54,000 ",sunwest," $62,000 ",Beach City," $65,000 ",Hackney," $80,000 ",,,,,,
15-024,Bbraun temp for Can lines,Temp power for can lines Excel line,2525 MacGaw,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/30/2014," $8,160 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,Can Lines,Jeff Nelson,,,,,,,,,,,,,,,,,,,,,,
15-025,Bbraun Ring Mold compressor budget,New feeder for 75HP compressor,2525 MacGaw,Irvine,CA, 441 OC ,, Industrial , Budget , Design/ Assist , Doyle , S.P. , CA ,10/20/2014," $23,885 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,Thermalair,Steve Watson,,,,,,,,,,,,,,,,,,,,,,
15-026,Mission Care Sub Acute Electrical Upgrades,Replace main service & generator,8487 Magnolia Ave. ,Riverside,CA, 441 OC ,, Hospital , Competitive , Engineered , Rudy , Est. , CA ,10/10/2014," $230,600 ",#DIV/0!,,,,,,,,,,Lost,, $- ,,,,,,,,,Questar,Steve Logan,,,,,,,,,,,,,,,,,,,,,,
15-027,LLMC ED Registration,Remodel,11234 Anderson St,Loma Linda,CA, 440 RS ,, Hospital , Competitive , Engineered , Frank , Est. , CA ,10/12/2014," $17,549 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,McCarthy,Danny M,,,,,,,,,,,,,,,,,,,,,,
15-028,SpaceX PDP 178 service,Repairs and Maint for PDP 178,1 Rocket road,Hawthorne,CA, 11 LA ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/4/2014," $7,835 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,SpaceX,Edgar Melgoza,,,,,,,,,,,,,,,,,,,,,,
15-029,SpaceX  Substation Maintinace Budget,Budget for substation Maintinace,1 Rocket road,Hawthorne,CA, 11 LA ,, Comercial , Budget , Design/Build , Doyle , S.P. , CA ,10/4/2014," $6,965 ",#DIV/0!,,,,,,,,,,Awarded,10%, $- ,,,,,,,,,SpaceX,Edgar Melgoza,,,,,,,,,,,,,,,,,,,,,,
15-030,Space X 1200 amp oven building breakers,Furnish and install 1200 amp bkrs,1 Rocket road,Hawthorne,CA, 11 LA ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/4/2014," $27,387 ",#DIV/0!,,,,,,,,,,Unknown,10%, $- ,,,,,,,,,SpaceX,Edgar Melgoza,,,,,,,,,,,,,,,,,,,,,,
15-031,Space X Oven building 4160 gear power meter install,Furnish and install power meter,1 Rocket road,Hawthorne,CA, 11 LA ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/4/2014," $19,640 ",#DIV/0!,,,,,,,,,,Awarded,10%, $- ,,,,,,,,,SpaceX,Edgar Melgoza,,,,,,,,,,,,,,,,,,,,,,
15-032,College Hospital Reroof OR suite upgrade,Reroof and OR suite upgrade,310 Victoria ,Costa Mesa,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Doyle , S.P. , CA ,10/14/2014," $46,300 ",#DIV/0!,,,,,,,,,,Unknown,5%, $- ,,,,,,,,,DEB,Giovani Candalosi,,,,,,,,,,,,,,,,,,,,,,
15-033,Thales OBEYA Room upgrade,TI for existing suite,58 Discovery,Irvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Doyle , S.P. , CA ,10/8/2014," $5,950 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,,
15-034,HHNB PET/MR Installation,Install new PET/MR in existing MR room,1 Hoag Drive,Newport Beach,CA, 441 OC ," 1,430 ", Hospital , Competitive , Engineered , Steve  , Est. , CA ,10/9/2014," $173,835 ", $121.56 ,,,,,,,,,,Awarded,, $- ,,,,,,,,,AV,Ryan Tombrello,,,,,,,,,,,,,,,,,,,,,,
15-035,Irvine Company Freeway Tech ,Site Improvements,125 TECHNOLOGY DRIVE,Irvine,CA, 441 OC ,, Comercial , Competitive , Engineered , Frank , Est. , CA ,10/9/2014," $39,934 ",#DIV/0!," $14,375 ",,,,,,15.00%,5.00%,,Lost,1%, $- ,,,,,,,,,Questar,Steve Logan,,,,,,,,,,,,,,,,,,,,,,
15-036,Vandelism repairs for existing building El Prado Rd Chino,Vandelism repairs,15710 El Prado,Chino,CA, 441 OC ,, Comercial , Budget , Design/Build , Doyle , S.P. , CA ,10/8/2014," $16,120 ",#DIV/0!,,,,,,,,,,Lost,, $- ,,,,,,,,,Lee & Assoc,Todd Swanson,,,,,,,,,,,,,,,,,,,,,,
15-037,SpaceX Wilkie  3 new machines,3 new feeders for new machines,1 Rocket road,Hawthorne,CA, 11 LA ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/9/2014," $23,692 ",#DIV/0!,,,,,,,,,,Awarded,100%, $- ,,,,,,,,,SpaceX,John Lordan,,,,,,,,,,,,,,,,,,,,,,
15-038,Westside building new panel,New panel for computer room,1111 E. Howell Rd,Anaheim,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/10/2014," $4,122 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,Westside Building,Jared Rabin,,,,,,,,,,,,,,,,,,,,,,
15-039,AT&T Emon meters for Caremore loads,2 new emon meter install,12900 Park Plaza Drive,Cerritos,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/9/2014," $2,460 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,Cerritos Corp,Matt Fletcher,,,,,,,,,,,,,,,,,,,,,,
15-040,Hoag HVI 2 - ASI-006,Renovation and tenant  improvement,One Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital ,, Engineered , Bill , P.M. , CA ,10/9/2014,,#DIV/0!,,,,,,,,,,Not Bid,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-041,US Bank Chiller change out,Disconnect and reconnect new chiller,4100 Newport Place,Newport Beach,CA, 441 OC ,, Comercial , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,10/9/2014," $33,290 ",#DIV/0!," $6,500 ",,,,,,,,,Unknown,2%, $- ,,,,,,,,,Mesa Energy,Steve Kiernan,,,,,,,,,,,,,,,,,,,,,,
15-042,EMC2 new 50 amp outlet for UPS,New circuit from Panel 1LF for outlet,135 Technology,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/9/2014," $1,966 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,EMC2,Miguel Pena,,,,,,,,,,,,,,,,,,,,,,
15-043,EMC2 New circuits and data cable for Café,2 new circuits and data cable for Café,135 Technology,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/9/2014," $1,686 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,EMC2,Miguel Pena,,,,,,,,,,,,,,,,,,,,,,
15-044,Pacific Life VAV Hook Up,Tenant Improvement,700 Newport Center Dr.,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Frank , Est. , CA ,10/14/2014, $721 ,#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,,,
15-045,Thales Floor box for podium,Floor box for podium,58 Discovery,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/14/2014," $1,980 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,,
15-046,Bbraun Data collection box installation,Conduit and install for Data boxes,2525 MacGaw,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/14/2014," $62,472 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,Bbraun,Steve Hewes,,,,,,,,,,,,,,,,,,,,,,
15-047,POPA Data Center room,Data center design build,13304 E. Alondra Blvd,Cerritos,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/21/2014," $216,630 ",#DIV/0!,,,,,,,,,,Not Built,2%, $- ,,,,,,,,,POPA Credit U,John Christopoulos,,,,,,,,,,,,,,,,,,,,,,
15-048,HHNB 3rd Floor North T.I.,Tenant Improvement,1 Hoag Drive,Newport Beach,CA, 441 OC ," 15,385 ", TI , Budget , Design/Build , Frank , Est. , CA ,10/22/2014," $341,618 ", $22.20 ,,,,,,,,,,Not Built,0%, $- ,,,,,,,,,HB&A,Jim Ardray,,,,,,,,,,,,,,,,,,,,,,
15-049,Bbraun Tower Control Power,New Distribuiton and 120v circuit,2525 MacGaw,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/ Assist , Steve  , Est. , CA ,10/22/2014," $6,538 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,B|Braun,Bob Panza,,,,,,,,,,,,,,,,,,,,,,
15-050,SEKO Office TI,Tenant Improvement,1650 Charles Willard St,Carson,CA, 11 LA ," 7,400 ", TI , Competitive , Design/Build , Steve  , Est. , CA ,10/29/2014," $99,318 ", $13.42 ," $100,632 ",,,,,,,,,Lost,1%, $- ,,,,,,,,,DBAC,John Somers,,,,,,,,,,,,,,,,,,,,,,
15-051,Willard Spec Suite,Tenant Improvement,1650 Charles Willard St,Carson,CA, 11 LA ," 8,656 ", TI , Competitive , Engineered , Steve  , Est. , CA ,10/29/2014," $131,916 ", $15.24 ,,,,,,,,,,Lost,1%, $- ,,,,,,,,,DBAC,John Somers,,,,,,,,,,,,,,,,,,,,,,
15-052,Crate & Barrel,Tenant Improvement,12434 Lakeland Road,Carson,CA, 441 OC ,, TI , Competitive , Engineered , Steve  , Est. , CA ,10/29/2014," $1,401,123 ",#DIV/0!,,,,,,,,,,Lost,1%, $- ,,,,,,,,,DBAC,John Somers,,,,,,,,,,,,,,,,,,,,,,
15-053,OCMMC Suite 1400,Office TI,18111 Brookhusrt Street,Fountain Valley,CA, 441 OC ," 4,370 ", TI , Competitive , Engineered , Rudy , Est. , CA ,10/28/2014," $136,290 ", $31.19 ,,,,,,,,,,Lost,5%, $- ,,,,,,,Cannon,,Miles & Kelly,Dalayna Deaner,DLS,Doina,,,,,,,,,,,,,,,,,,,,
15-054,OCMMC Suites 5500 & 5600,Office TI,18111 Brookhusrt Street,Fountain Valley,CA, 441 OC ," 1,469 ", TI , Competitive , Engineered , Rudy , Est. , CA ,10/28/2014," $34,400 ", $23.42 ,,,,,,,,,,Lost,, $- ,,,,,,,,,Miles & Kelly,Dalayna Deaner,DLS,Doina,,,,,,,,,,,,,,,,,,,,
15-055,Scripps Green Hospital Fire Alarm Replacment,Fire Alarm Conduit,,La Jolla,CA, 441 OC ,, Fire Alarm , Negotiated , Engineered , Jeff P. , Est. , CA ,10/24/2014," $1,801,230 ",#DIV/0!,,,,,,,,,,Lost,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-056,Mazda 6 conference room outlet,Add outlet on existing circuit,7755 Irvine Center Dr,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/23/2014, $520 ,#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-057,2 building submetering install,Install CF metering equipment,25520 & 25550 commoncntr,Lake Forrest,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/25/2014," $12,110 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-058,Golden State Foods,,18301 Von Karman,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Frank , Est. , CA ,10/30/2014, $- ,#DIV/0!,,,,,,,,,,Not Bid,, $- ,,,,,,,,,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,,,
15-059,"Pacific Life IDF Rooms Ground, 3rd & 4th Floors",IDF Room Power Improvments,700 Newport Center Dr.,Newport Beach,CA, 441 OC ,, TI , Negotiated , Engineered , Frank , Est. , CA ,10/31/2014," $169,536 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,,,
15-060,Los Olivos Marketplace,RFP Site & Building Electrical ,8505 Research Drive,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Steve  , Est. , CA ,11/10/2014," $1,273,958 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,Cuesta Construction,David Clark,Cuesta Construction,David Clark,,,,,,,,,,,,,,,,,,,,,,
15-061,McKesson Box Cutter,New circuiting to box cutter machine,9501 Norwalk Blvd.,Sata Fe Springs,CA, 11 LA ,, Comercial , Negotiated , Design/Build , Rudy , Est. , CA ,10/31/2014," $8,210 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-062,Irvine University,Tenant Improvement,17777 Center Court Dr. #625,Cerritos,CA, 11 LA ," 3,800 ", TI , Negotiated , Design/Build , Steve  , Est. , CA ,11/4/2014," $69,174 ", $18.20 ,,,,,,,,,,Lost,1%, $- ,,,,,,,,,,James Collins,,Jeannine Charbonneau,,Candi Veith,,,,,,,,,,,,,,,,,,
15-063,SpaceX Server Room Gen Relocation ROM,Relocate G-1 Dist board for server gen,1 Rocket road,Hawthorne,CA, 11 LA ,, Site , Budget , Design/ Assist , Doyle , S.P. , CA ,11/3/2014," $110,000 ",#DIV/0!,,,,,,,,,,Not Built,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-064,OCMMC Lab Expansion,LAB EXPANSION & REMODEL,9920 TALBERT AVE,Fountain Valley,CA, 441 OC ," 4,370 ", Hospital , Competitive , Engineered , Rudy , Est. , CA ,11/18/2014," $138,135 ", $31.61 ,,,,,,,,,,Lost,5%, $- ,,,,,,,DLS,,DLS,Doina Leonte,Cannon,Eliot Hansen,Miles & Kelly,Dalayna Deaner,,,,,,,,,,,,,,,,,,
15-065,The Container Store,TI construction,450 Town Center Drive,Oxnard,CA, 11 LA ," 24,000 ", TI , Select Bid List , Design/Build , Jeff P. , Est. , CA ,11/20/2014," $634,800 ", $26.45 ,,,,,,,,,,Lost,10%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-066,Mesa Verde Gear replacment,Service change out and equip move,2701 Harbor,Costa Mesa,CA, 441 OC ,, TI , Competitive , Engineered , Doyle , S.P. , CA ,11/11/2014," $146,850 ",#DIV/0!," $39,500 ",,,,,,,,,Lost,, $- ,,,,,,,,,Hurst and Siebert,Scott Hurst,,,,,,,,,,,,,,,,,,,,,,
15-067,Bbraun Inject heater circuit,extend circuit to new inject heater,2525 MacGaw,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/4/2014," $4,382 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,Bbraun,Chris Cook,,,,,,,,,,,,,,,,,,,,,,
15-068,Patio canopy lighting and outlets,Connect wiring for canopy,21401 Silver Tree Lane,Trabuco Canyon,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/7/2014," $1,990 ",#DIV/0!,,,,,,,,,,Lost,2%, $- ,,,,,,,,,Tom Lee,Tom Lee,,,,,,,,,,,,,,,,,,,,,,
15-069,SpaceX Marine Service and power ,New service and marine outlet,1 Rocket road,Hawthorne,CA, 11 LA ,, Comercial , Select Bid List , Engineered , Doyle , S.P. , CA ,11/10/2014," $71,812 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,SpaceX,Edgar Melgoza,,,,,,,,,,,,,,,,,,,,,,
15-070,Deutche Bank LA load bank test ,Furnish and load bank test UPS unit,2000 Ave of the Stars,Los Angeles,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/10/2014," $2,393 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,Deutche Bank,Robert Dylewski,,,,,,,,,,,,,,,,,,,,,,
15-071,Chapman Letherby LED retrofit,Retrofit 116 cans with CF LED,1 University Drive,Orange,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/10/2014," $8,400 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,Chapman,Ed Blatchford,,,,,,,,,,,,,,,,,,,,,,
15-072,Hoag Irvine - MOB Temp Lighting,Temp lighting for MOB's - Budget,16105 Sand Canyon Avenue,Irvine,CA, 441 OC ,, Comercial , Budget , Design/Build , Bill , Est. , CA ,11/10/2014," $100,000 ",#DIV/0!,,,,,,,,,,Awarded,90%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-073,PVH Emergency Room Remodel,Remodel and expansion of ER,,Pomona,CA, 11 LA ," 8,493 ", Hospital , Competitive , Engineered , Steve  , Est. , CA ,12/5/2014," $425,383 ", $50.09 ,,,,,,,,,,Lost,1%, $- ,,,,,,,,,GKK,Rob Sitton,,,,,,,,,,,,,,,,,,,,,,
15-074,Chapman Oliphant Lobby Fixture Replacment,Install new customer furnished fixture,I University Drive,Orange,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/14/2014," $2,450 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,Chapman,Ed Blatchford,,,,,,,,,,,,,,,,,,,,,,
15-075,Brown Foreman TV wall outlets,Install (5) new outlets on existing circuit ,18500 Von Karman Suite 850,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/14/2014," $1,650 ",#DIV/0!,,,,,,,,,,Lost,5%, $- ,,,,,,,,,Data Archetect,Scott Klink,,,,,,,,,,,,,,,,,,,,,,
15-076,Mazda New Generator power distribution,New Generator power distribution,7755 Irvine Center Dr,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/21/2014," $24,386 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,Mazda,Ken Cogliano,,,,,,,,,,,,,,,,,,,,,,
