Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
12-033,1580 Sunflower Service Relocation,,1580 SunFlower,Costa Mesa,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Jeff P. , Est. , CA ,10/24/2011," $33,682 ",,,,,,,,,,Unknown,1%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-034,Granada Plaza Building B,,17291 Irvine Blvd,Tustin,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Jeff P. , Est. , CA ,10/26/2011," $397,400 ",,,,,,,,,,Lost,5%, $- ,,,,,,,,,Net Development,Kevin Coleman,,,,,,,,,,,,,,,,,,,,,
12-035,HBCSD PV Peterson ES ,Photovaotaic Array,20661 Fransworth Lane,Huntington Bch,CA, 441 OC ,, Comercial , Budget , Design/Build , Frank , Est. , CA ,10/11/2011," $150,437 ",,,,,,,,,,Not Built,10%, $- ,,,,,,,Chevron,Curtis Campbell,,,,,,,,,,,,,,,,,,,,,,,
12-036,HOAG 4 Story Bldg EM Stairwell Lighting,Budget Change to EM power & Replacing Fixtures ,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Budget , Engineered , Bill , P.M. , CA ,10/12/2011," $19,800 ",,,,,,,,,,Awarded,10%, $- ,,,,,,,Whiting Turner,,,,,,,,,,,,,,,,,,,,,,,,
12-037,Fortus / Faris Lee Tenant Improvement,Tenant Improvement,18301 Von Karman,Irvine,CA, 441 OC ," 16,024 ", TI , Competitive , Engineered , Frank , Est. , CA ,10/20/2011," $274,096 ",,,,,,,,,,Lost,1%, $- ,,,,,,,,,Turelk,Craig Powel,KPRS,Assaf,,,,,,,,,,,,,,,,,,,
12-038,Main Electric Supply,Tenant Improvement,,Santa Ana,CA, 441 OC ,, TI , Competitive , Engineered , Jeff P. , Est. , CA ,10/21/2011," $280,000 ",,,,,,,,,,Lost,1%, $- ,,,,,,,,,2H Construction,,,,,,,,,,,,,,,,,,,,,,
12-039,Time Warner Cable Tray,,,,CA, 441 OC ,, Specialty , Select Bid List , Engineered , Jeff P. , Est. , CA ,10/21/2011," $35,160 ",,,,,,,,,,Lost,10%, $- ,,,,,,,,,Briggs Datacom,Kevin Gomez,,,,,,,,,,,,,,,,,,,,,
12-040,Giliad 650 Cayston Fill Line,Clean Room Alterations,,San Dimas,CA, 11 LA ,, Specialty , Competitive , Engineered , Frank , Est. , CA ,10/28/2011," $372,200 ",,,,,,,,,,Lost,10%, $- ,,,,,,,,,Vertical,Eric Van ,Cannon,Tim Cannon,,,,,,,,,,,,,,,,,,,
12-041,Bio Rad Phase 1B,Tenant Improvement,9500 Jeronimo Road,Irvine,CA, 441 OC ," 4,400 ", TI , Competitive , Engineered , Frank , Est. , CA ,10/26/2011," $57,798 ",,,,,,,,,,Unknown,80%, $- ,,,,,,,HBC,Jim Scrapinato,,,,,,,,,,,,,,,,,,,,,,,
12-042,Bio Rad Freeze Dryers,Tenant Improvement,9500 Jeronimo Road,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,10/27/2012," $33,043 ",,,,,,,,,,Lost,50%, $- ,,,,,,,HBC,Jim Scrapinato,Vertical,Eric Van ,,,,,,,,,,,,,,,,,,,,,
12-043,Deutsche UPS Replacemet,UPS Replace,1761 E. St. Andrews Pl.,Santa Ana,CA, 441 OC ,, Specialty , Competitive , Engineered , Dan , P.M. , CA ,10/27/2011," $146,172 ",,,,,,,,,,Awarded,10%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-044,BSH Showroom,Tenant Improvement,,Irvine,CA, 441 OC ," 18,000 ", TI , Competitive , Engineered , Jeff P. , Est. , CA ,11/2/2011," $719,000 ",,,,,,,,,,Lost,5%, $- ,,,,,,,CW Driver,Mike Bolda,,,,,,,,,,,,,,,,,,,,,,,
12-045,Pacific Life 2nd Floor Tenant Improvement,Tenant Improvement,700 Newport Center Drive,Newport Beach,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,11/12/2011," $411,391 ",,,,,,,,,,Lost,10%, $- ,,,,,,,Snyder Langston,,Turelk,Earl Lund,HBC,Pete Calis,DBAC,Phin Banning,,,,,,,,,,,,,,,,,
12-046,Hoag Robotic Pharmacy Packaging,Tenant Improvement,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Jeff P. , Est. , CA ,11/15/2011," $95,420 ",,,,,,,,,,Awarded,10%, $- ,,,,,,,Whiting Turner,David LaRoach,DEB,Scott S.,Whiting Turner,David LaRoach,,,,,,,,,,,,,,,,,,,
12-047,KBI Newport Beach T.I. Budget,Tenant Improvement,,Newport Beach,CA, 441 OC ," 2,000 ", TI , Budget , Design/Build , Frank , Est. , CA ,10/28/2011," $11,077 ",,,,,,,,,,Lost,10%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-048,"Baxter Air Curtains, Van Nuys",Tenant Improvement,,Van Nuys,CA, 11 LA ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,10/31/2011," $15,582 ",,,,,,,,,,Lost,20%, $- ,,,,,,,,,Cannon,Tom Shebel,,,,,,,,,,,,,,,,,,,,,
12-049,Baxter Tear Down LN2 Exhaust,Clean Room Alterations,4501 Colorado Bvld.,Los Angeles,CA, 11 LA ,, Industrial , Negotiated , Design/Build , Frank , Est. , CA ,11/1/2011," $22,237 ",,,,,,,,,,Awarded,20%, $- ,,,,,,,Vertical,John Borden,,,,,,,,,,,,,,,,,,,,,,,
12-050,Walgreens Vehicle Chargers,,,Los Angeles,CA, 11 LA ,, Specialty , Select Bid List , Design/ Assist , Jeff P. , Est. , CA ,11/2/2011," $10,000 ",,,,,,,,,,Not Built,10%, $- ,,,,,,,,,Ecoelectric,,,,,,,,,,,,,,,,,,,,,,
12-051,Baxter Inspection Booth Room 900,Equipment Relocation,4501 Colorado Bvld.,Los Angeles,CA, 11 LA ,, Industrial , Negotiated , Design/Build , Frank , Est. , CA ,11/2/2011," $2,502 ",,,,,,,,,,Not Built,100%, $- ,,,,,,,Cannon,Tim Cannon,,,,,,,,,,,,,,,,,,,,,,,
12-052,Baxter Freezer Dryer 14 Upgrade,Equipment Upgrade,4501 Colorado Bvld.,Los Angeles,CA, 11 LA ,, Industrial , Budget , Design/Build , Frank , Est. , CA ,11/3/2011," $116,944 ",,,,,,,,,,Lost,25%, $- ,,,,,,,,,Turner,Greg Trurillo,,,,,,,,,,,,,,,,,,,,,
12-053,18301 Von Karman Suite 490 Lights,Tenant Improvement,18301 Von Karman,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,11/2/2011," $1,336 ",,,,,,,,,,Not Built,20%, $- ,,,,,,,,,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,
12-054,HBC Project 1,Tenant Improvement,Unknown,Irvine,CA, 441 OC ," 2,300 ", TI , Budget , Design/Build , Frank , Est. , CA ,11/3/2011," $52,612 ",,,,,,,,,,Not Built,10%, $- ,,,,,,,,,HBC,Jim Scarpinato,,,,,,,,,,,,,,,,,,,,,
12-055,DeVry 1st Floor 3880 Kilroy,TI of Adult Day Healthcare,3880 Kilroy,Long Beach ,CA, 441 OC ,, TI , Competitive , Engineered , Jeff P. , Est. , CA ,11/17/2011, $- ,,,,,,,,,,Not Bid,5%, $- ,,,,,,,,,Turelk,,Swinerton,,,,,,,,,,,,,,,,,,,,
12-056,Pacific Life Ground Level NW quad,Tenant Improvement,700 Newport Center Drive,Newport Beach,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,11/15/2011," $26,436 ",,,,,,,,,,Awarded,50%, $- ,,,,,,,,,Turelk,Earl Lund,,,,,,,,,,,,,,,,,,,,,
12-057,Coastal Fertility Clenic,TI,15550 Sand Canyoun,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Daniel , Est. , CA ,11/22/2011," $249,600 ",,,,,,,,,,Lost,5%, $- ,,,,,,,,,Swinerton,,Driver SPG,,KPRS,,,,,,,,,,,,,,,,,,
12-058,Kaiser MOB Foothhill Ranch,,,Foothill Ranch,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Jeff P. , Est. , CA ,11/19/2011," $1,056,519 ",,,,,,,,,,Awarded,10%, $- ,,,,,,,,,Swinerton,,,,,,,,,,,,,,,,,,,,,,
12-059,High Grove Elementry AC replacment,,,Riverside,CA, 440 RS ,, Comercial , Select Bid List , Design/ Assist , Jeff P. , Est. , CA ,1/25/2012," $247,555 ",,,,,,,,,,Not Built,10%, $- ,,,,,,,,,Chevron,,,,,,,,,,,,,,,,,,,,,,
12-060,Hoag 2 South,,,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Bill , P.M. , CA ,11/30/2011,,,,,,,,,,,Not Built,20%, $- ,,,,,,,,,HB&A,,,,,,,,,,,,,,,,,,,,,,
12-061,RUSD Solar Prjects,Photovaotaic Array,various sites,Riverside,CA, 440 RS ,, Specialty , Negotiated , Engineered , Frank , Est. , CA ,12/3/2012," $122,450 ",,,,,,,,,,Not Built,10%, $- ,,,,,,,Chevron,,,,,,,,,,,,,,,,,,,,,,,,
12-062,UCLA Suite 850,,Tenant Improvement,Los Angeles,CA, 11 LA ,, TI , Budget , Design/Build , Frank , Est. , CA ,11/18/2011," $7,735 ",,,,,,,,,,Unknown,2%, $- ,,,,,,,,,Turelk,Jim Bianco,,,,,,,,,,,,,,,,,,,,,
12-063,Rancho Springs Medical Center - Imaging Center,Tenant Improvement,,Murrieta,CA, 440 RS ,, TI , Competitive , Engineered , Daniel , Est. , CA ,12/6/2011," $272,210 ",,,,,,,,,,Unknown,1%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-064,Sony Studios - Central Plant Expansion,,,,CA, 11 LA ,, Comercial , Competitive , Engineered , Frank , Est. , CA ,11/20/2012, $- ,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-065,5660 Grace Place,,,Commerce,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Jeff P. , Est. , CA ,11/20/2012, $- ,,,,,,,,,,Not Bid,0%, $- ,,,,,,,Shankle Construction,Nick,,,,,,,,,,,,,,,,,,,,,,,
12-066,Meggit,Miltary Manufacturing Tenant Improvement,8500 Balboa Blvd.,Northridge,CA, 11 LA ," 216,000 ", TI , Budget , Design/ Assist , Frank , Est. , CA ,12/8/2012," $3,254,910 ",,,,,,,,,,Lost,2%,,,,,,,,,,Turelk,Mike Turi,,,,,,,,,,,,,,,,,,,,,
12-067,Hoag 10 West sub ICU Relocation,,,Newport Beach,CA, 441 OC ,, Hospital , Negotiated , Engineered , Jeff P. , Est. , CA ,12/16/2011," $13,325 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,HB&A,Ryan Berry,,,,,,,,,,,,,,,,,,,,,
12-068,Olinda Landfill,Gas to Energy Co-Gen,,Brea,CA, 441 OC ,, Specialty , Negotiated , Engineered , Jeff P. , Est. , CA ,12/23/2011, $- ,,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-069,Hoag North Buuilding Upgrade,,,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Jeff P. , Est. , CA ,12/30/2011,,,,,,,,,,,Not Built,20%, $- ,,,,,,,,,Whiting Turner,,,,,,,,,,,,,,,,,,,,,,
12-070,Space X Oven Building Power,Service Upgrade,1 Rocket Road,Hawthorne,CA, 11 LA ,, Industrial , Select Bid List , Engineered , Frank , Est. , CA ,12/22/2011," $348,142 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-071,Hoag Expanded CDC day use room,Tenant Improvement,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Bill , P.M. , CA ,12/27/2011," $7,650 ",,,,,,,,,,Awarded,20%, $- ,,,,,,,Zone,,Far West,,Zone,,,,,,,,,,,,,,,,,,,,
12-072,Chafey Community College,Central Plant Upgrade,,Rancho Cucamonga,CA, 477 SB ,, Specialty , Select Bid List , Engineered , Jody , Est. , CA ,1/20/2012," $544,945 ",,,,,,,,,,Lost,5%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-073,Hoag Irvine Elevator Modernization,,,Irvine,CA, 441 OC ,, Hospital , Negotiated , Engineered , Jeff P. , Est. , CA ,1/24/2012," $46,490 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Nelson + Okerlund,Renne Strapp,,,,,,,,,,,,,,,,,,,,,
12-074,Ball Industties Dock Doors,Demo partial building & Add Truck Doors,,Commerce,CA, 11 LA ,, Comercial , Negotiated , Design/Build , Jeff P. , Est. , CA ,1/6/2012," $56,880 ",,,,,,,,,,Unknown,10%, $- ,,,,,,,,,Shankle Construction,,,,,,,,,,,,,,,,,,,,,,
12-075,UHG 17900 Von Karman,Tenant Improvement,17900 Von Karmen Ave,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Jeff P. , Est. , CA ,1/19/2012," $313,600 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-076,Young's Market Express T.I.,Tenant Improvement,14352 Franklin Ave,Tustin,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,1/17/2012," $66,700 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,DBAC,John Somers,,,,,,,,,,,,,,,,,,,,,
12-077,18301 Spec Suite 580 & 810,Tenant Improvement,18301 Von Karman Aveue,Irvine,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,1/10/2012," $22,554 ",,,,,,,,,,Unknown,5%, $- ,,,,,,,,,Turelk,Craig Powell,,,,,,,,,,,,,,,,,,,,,
12-078,Hoag West Tower 9th and 10th Floor FA Upgrade,FA Conduit,,Newport Beach,CA, 441 OC ,, TI , Negotiated , Engineered , Jeff P. , Est. , CA ,1/19/2012," $13,770 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-079,Baxter Room 340 Air Lock,Tenant Improvement,4501 Colorado Bvld.,Los Angeles,CA, 11 LA ,, TI , Negotiated , Design/Build , Frank , Est. , CA ,1/18/2012," $7,047 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Cannon,Dennis Alison,,,,,,,,,,,,,,,,,,,,,
12-080,Baxter Shutdown 2012 Maintenance,Provide Labor for assistance,4501 Colorado Bvld.,Los Angeles,CA, 11 LA ,, Specialty , Negotiated , Design/Build , Frank , Est. , CA ,1/18/2012," $15,350 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Baxter,Rick Nelson,,,,,,,,,,,,,,,,,,,,,
12-081,Young's Market Co. Print and Copier Rooms,Tenant Improvement,14402 Franklin Avenue,Tustin,CA, 441 OC ,, TI , Negotiated , Engineered , Frank , Est. , CA ,1/18/2012," $4,138 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-082,Pacific Life - Ground Level NE Copy Center,,,,CA, 441 OC ,, TI , Select Bid List , Engineered , Jody , Est. , CA ,1/27/2012," $51,350 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Turelk,,,,,,,,,,,,Obryant,,,,,,,,,,,,
12-083,Ready Electric Victorville Ground Testing,,,Victorville,CA, 440 RS ,, Specialty , Select Bid List , Engineered , Jeff P. , Est. , CA ,1/26/2012," $2,960 ",,,,,,,,,,Unknown,5%, $- ,,,,,,,,,Ready Electric,,,,,,,,,,,,,,,,,,,,,,
12-084,Chapman University Historic Core Building,,,,CA, 441 OC ,, Comercial , Competitive , Engineered , Jeff P. , Est. , CA ,2/3/2012," $669,900 ",,,,,,,,,,Lost,2%, $- ,,,,,,,,,CW Driver,Rob Warach,,,,,,,,,,,,,,,,,,,,,
