Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
19-015,Joey's - DTLA,Resturant TI,"700 West 7th St., Suite S430",LA,CA, 11 LA ," 8,775 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,9/21/2018," $780,419 ", $88.94 ,,,,,,,,,,Awarded,, $- ,,,,,,,,,Shawmut,Conner Webber,,,,,,,,,,,,,,,,,,,,,
19-016,Apria Under floor whip removal,Remove whips from Data Center,,,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/18/2018," $2,640 ",,,,,,,,,,,Not Built,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-017,Lakeshore Towers Fixture replacemetn,Furnish and replace damaged fixtures,,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/18/2018," $22,833 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-018,B|Braun Medical PAB,Rapid Roll and Double Chem Door,2525 McGaw Ave,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,9/21/2018," $44,680 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-019,Lakewhore Towers Retaill Space 5 Panel,Retail Tenant Improvement,18007 Von Karman Ave,Irvine,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,9/21/2018," $12,443 ",,,,,,,,,,,Unknown,10%, $- ,,,,,,,,,Paragon Services ,Joel Pugh,,,,,,,,,,,,,,,,,,,,,
19-020,Smartstop new circuit and data for lobby sign 4th fl,Circuit for 4th fl lobby elev. Sign,10 Terrance,Ladera Ranch,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/10/2018," $3,230 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-021,Mesa Water District HVAC & Roof Replacement,Connection  Rooftop HVAC equip.,1965 Placentia Ave,Costa Mesa,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Don V , Est. , CA ,9/28/2018," $120,496 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-022,Edwards Life Sciences Campus Expansion Ph0,New Construction - Generators,17111 Redhill,Irvine,CA, 441 OC , n/a , Site , Select Bid List , Engineered , Steve  , Est. , CA ,10/1/2018," $331,278 ", n/a ,,,,,,,,,,Lost,, $- ,,,,,,,,,Snyder Langston,G. Loynd,DPR,C. Corbin,,,,,,,,,,,,,,,,,,,
19-023,AAA San Diego Demark,Work at Demark,2440 Hotel Circle North,San Diego,CA, 441 OC ,, TI , Competitive , Design/Build , Doyle , S.P. , CA ,9/28/2018," $1,530 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-024,AAA El Cajon Demark,Work at Demark,2987 Jamacha Rd,El Cajon,CA, 441 OC ,, TI , Competitive , Design/Build , Doyle , S.P. , CA ,, $- ,,,,,,,,,,,Not Bid,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-025,B|Braun Medical, T&M Not to exceed,2525 McGaw Ave,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Brian , S.P. , CA ,9/26/2018," $30,000 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-026,AAA Parking Lot Lighting Upgrade,Insall LED pole heads,Multiple sites,OC & LA,CA, 441 OC ,, TI , Competitive , Design/Build , Brian , S.P. , CA ,10/3/2018," $63,070 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-027,AAA Laguna Hills 2nd floor restack,Cube reconfig 2nd floor,25181 Paseo De Alicia,Laguna Hills,CA, 441 OC ,, TI , Competitive , Design/Build , Doyle , S.P. , CA ,9/26/2018," $3,887 ",,,,,,,,,,,Not Built,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-028,5 Peters Canyon Suite 300 new circuit,New circuit and outlet suite 300,5 Peters Canyon RD,Irvine,CA, 441 OC ,, TI , Competitive , Design/Build , Doyle , S.P. , CA ,9/26/2018," $1,300 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-029,5 Peters Canyon IR and GFCI testing,Main GFCI and IR scan for building,5 Peters Canyon RD,Irvine,CA, 441 OC ,, TI , Competitive , Design/Build , Doyle , S.P. , CA ,9/26/2018," $4,400 ",," $4,200 ",,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-030,Thales clean gear and GFCI main testing,"Main GFCI, breaker test and clean gear ",58 Discovery,Irvine,CA, 441 OC ,, TI , Competitive , Design/Build , Doyle , S.P. , CA ,10/3/2019," $4,400 ",," $6,875 ",,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-031,Blizzard Bldg.2 Team 4 Second Floor Ph#1,TI Remodel 2nd Floor,5 Blizzard Way,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Don V , Est. , CA ,10/8/2018," $84,008 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-032,B|Braun Medical ,Door Interlock Budget,2525 McGaw Ave,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Brian , P.M. , CA ,10/3/2018," $437,027 ",,,,,,,,,,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-033,HHI LDRP Remodel,Hospital Tenant Improvement,16200 Sand Canyon RD.,Irvine,CA, 441 OC ," 21,150 ", Hospital , Budget , Engineered , Frank , Est. , CA ,10/4/2018," $2,106,861 ", $99.62 ,,,,,,,,,,Awarded,, $- ,,,,,,,,,HBC,G. West,,,,,,,,,,,,,,,,,,,,,
19-034,"B|Braun Medical, Autoclave",Added autoclave,2525 McGaw Ave,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,10/4/2018," $18,170 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-035,"B|Braun Medical, Sub-Station D",Demo Old Stability Rooms,2525 McGaw Ave,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,10/4/2018," $14,743 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-036,B|Braun Medical Tustin Warehouse,Tennant Improvement,Valencia,Tustin,CA, 441 OC ," 113,860 ", TI , Select Bid List , Design/Build , Brian , S.P. , CA ,10/16/2018," $492,840 ", $4.61 ,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-037,"B|Braun Medical, SCE Service",New SCE service,2525 McGaw Ave,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Frank , Est. , CA ,TBD, $- ,,,,,,,,,,,Not Built,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-038,AAA Mission Viejo Demark,Demark Work,27805 Santa Margarita Pkwy,Mission Viejo,CA, 441 OC ,, TI , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,10/8/2018," $3,900 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-039,AAA San Clemente Demark,Demark Work,,San Clemente,CA, 441 OC ,, TI , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,10/10/2018," $3,220 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-040,OCC Adams Parking underground,Underground and slab work,Adams and Pinecreek,Costa Mesa,CA, 441 OC ,, Site , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,10/11/2019," $187,890 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-041,Providence St. Joseph ,New ED & Urgent Care at Med. Ctr.,501 S. Buena Vista Street,Burbank,CA, 11 LA ," 34,725 ", Hospital , Budget , Design/Build , Steve  , Est. , CA ,10/17/2018," $2,429,499 ", $69.96 ,,,,,,,,,,Lost,, $- ,,,,,,,,,Swinerton,Dan Luckhardt,,,,,,,,,,,,,,,,,,,,,
19-042,Walnut Village Phase 1 - Façade & Site,Site Improvements,14407-14493 Cluver Dr,Irvine,CA, 441 OC ,, Site , Competitive , Engineered , Frank , Est. , CA ,10/9/2018," $46,885 ",,,,,,,,,,,Lost,, $- ,,,,,,,,,Cuesta Const.,M Paquette,,,,,,,,,,,,,,,,,,,,,
19-043,B|Braun Medical Mixing Tanks,Structural Upgrades,2525 McGaw Ave,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,10/30/2018," $26,720 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-044,Blizzard B22- ROM,Temp Braodcast ,4 Jenner,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/ Assist , Jeff S , P.M. , CA ,10/10/2018," $6,353 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-045,B|Braun Medical 5 kV Switchgear,Existing Gear Mods Service A,2525 McGaw Ave,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/ Assist , Brian , S.P. , CA ,10/3/2018," $63,567 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-046,Newmeyer & Dillion,Tennant Improvement on (3) Floors,895 Dove St. ,Newport Beach,CA, 441 OC ," 8,431 ", TI , Budget , Design/ Assist , Don V , Est. , CA ,10/17/2018," $164,373 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-047,The YAP Building,Tennant Improvement 2 Floors,16148 Sand Canyon RD.,Irvine,CA, 441 OC ," 16,400 ", TI , Select Bid List , Engineered , Don V , Est. , CA ,10/24/2019," $324,680 ",," $6,068 ",,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-048,Smartstop 2 new circuits and whip connection,4th floor furniture restack,10 Terrance,Ladera Ranch,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/10/2018," $2,270 ",, $960 ,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-049,AAA new outlets 4th floor exec office,outlet for TV for 4th floor office,3333 Fairview ,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/10/2018, $900 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-050,Charter TV outlet and Server Room outlet,Outlet for TV and server room,17777 Town Center,Cerritos,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/10/2018," $3,660 ",," $1,400 ",,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-051,Providence Breeze change dressing room lights,Modify lights in 4 dressing rooms,5215 Torrance Blvd,Torrance,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/10/2018," $6,140 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-052,OCC Machine shop New Sodick machine,New power for Sodick Machine,3333 Fairview ,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/15/2018," $3,000 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-053,New Leibert units for MOB,Work for Airtronix new Leibert units,1301 N. Tustin,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/16/2018," $6,964 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-054,"B-Braun Medical, 3rd Floor Mixing",Retrofit Lighting,2525 McGaw Ave,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,10/19/2018," $38,389 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-055,"B-Braun Medical, Facility Wide Arc Flash Data",Assist Etap in collecting Data,2525 McGaw Ave,Irvine,CA, 441 OC ,, Industrial , Budget , Design/ Assist , Brian , S.P. , CA ,10/18/2018," $27,500 ",,,,,,,,,,,Not Built,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-056,Screenworks Shop Relocation,Design build to wire new shop,1900 Compton Ave.,Corona,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/15/2018," $91,700 ",,,,,,,,,,,Lost,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-057,Kabafusion 2 new outlets on existing circuits,Add 2 new outlets on existing circuits,17777 Town Center,Cerritos,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/15/2018," $1,250 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-058,McDermott Will & Emery ,Office Tenant Improvement,18565 Jamboree Rd. 2nd Flr,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,10/22/2018," $229,760 ",,,,,,,,,,,Lost,, $- ,,,,,,,HBC,P. Cali,HBC,P. Cali,,,,,,,,,,,,,,,,,,,,,
19-059,Providence Breeze EPO covers,20 EPO covers,5215 Torrance Blvd,Torrance,CA, 441 OC ,, TI , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,10/18/2018," $1,674 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-060,"B-Braun Medical, Sub-A Labeling",Trace and Label Shunt Wiring,2525 McGaw Ave,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Brian , S.P. , CA ,10/19/2018," $19,500 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-061,Boardwalk Café,New Café of Main Lobby,18575 Jamboree Road,Irvine,CA, 441 OC ," 2,522 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,10/24/2018," $216,150 ", $85.71 ,,,,,,,,,,Unknown,, $- ,,,,,,,,,Snyder Langston,Larry Witten,,,,,,,,,,,,,,,,,,,,,
19-062,"B|Braun Medical, Tustin ",Stability Chamber,1200 Valencia ,Tustin,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,10/19/2018," $9,928 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,B|Braun,,,,,,,,,,,,,,,,,,,,,,
19-063,Pacificwest refeed parking lot lighting budget,Refeed exsiting parking lights budget,26541 Aliso Creek,Aliso Viejo,CA, 441 OC ,, Site , Budget , Design/Build , Doyle , S.P. , CA ,10/18/2018," $66,500 ",,,,,,,,,,,Not Built,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-064,"HHC Tustin Legacy PT, IM & HOI - X-Ray room",Imaging Room Tenant Improvement,15000 Kensington Park Dr.,Tustin,CA, 441 OC ,, Specialty , Budget , Engineered , Bill  , P.M. , CA ,,,,,,,,,,,,,Not Bid,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-065,"B-Braun Medical, Vault Conduits",Trace conduits,2525 McGaw Ave,Irvine,CA, 441 OC ,, Industrial , Budget , Design/Build , Brian , S.P. , CA ,10/23/2018," $8,800 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-066,Illutris Pharmecutical,Office Tenant Improvement,"131 Innovation, Ste. 150",Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Don V , Est. , CA ,11/6/2018," $96,276 ", $12.29 ,,,,,,,,,,Lost,30%, $- ,,,,,,,,,HBC,Adam Herig,,,,,,,,,,,,,,,,,,,,,
19-067,Waddell & Reed new outlets,15 new outlets on existing circuits,18101 Von Karman #1940,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/24/2018," $8,680 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-068,"B-Braun Medical, Sub-Station PM",Preventitive Maintenance-Sub-Stations,2525 McGaw Ave,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,TBD, $- ,,,,,,,,,,,Not Built,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-069,Boardwalk 5th Floor Spec Suite,TI,18565 Jamboree Rd. 5th flr,Irvine,CA, 441 OC ,, TI , Select Bid List , Engineered , Frank , Est. , CA ,10/30/2019," $498,754 ",,,,,,,,,,,Lost,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-070,Tenant Health Care,AC Equipment Feeds,,Anaheim,CA, 441 OC ,, TI , Negotiated , Engineered , Jeff S , P.M. , CA ,10/25/2018," $10,000 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-071,"Lakeshore Plaza - Dos Lagos, Bldg A",New 4 Story Office Building,4140 Temescal Canyon Rd.,Corona,CA, 440 RS ," 153,541 ", Shell , Select Bid List , Engineered , Steve  , Est. , CA ,11/14/2018," $1,310,525 ", $8.54 ," $48,731 ",,,,,,,,,Lost,, $- ,,,,,,,,,Snyder Langston,Jingxi Li,,,,,,,,,,,,,,,,,,,,,
19-072,Exit signs for common areas,Exit sign addtion for common areas,13252 Garden Grove Blvd.,Garden Grove,CA, 441 OC ,, TI , Budget , Design/ Assist , Doyle , S.P. , CA ,10/26/2018," $11,000 ",,,,,,,,,,,Not Built,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-073,Fountain Valley Regional Hospital Replace SqD meter,Replace defective SqD power meter,17100 Euclid St.,Fountain Valley,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/26/2018," $1,878 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-074,Kaiser Bellflower investigation for Swinerton,2 load studys and site labor 6th floor,,Bellflower,CA, 441 OC ,, TI , Select Bid List , Design/ Assist , Doyle , S.P. , CA ,10/29/2018," $4,790 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-075,AAA Costa Mesa Fullfillment services,Change panel and add 2 circuits,3333 Fairview ,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/30/2018," $5,388 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-076,Tuscany Cheese new outlet and data stub,New outlet and data stub,18101 Von Karman #220,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/2/2018, $988 ,,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-077,Thales roof top antenna power and contorls,New power for roof antennas and control,53 Discovery,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/2/2018," $25,979 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-078,Control Air new AC unit for Tenant Health,New AC power,1400 Douglas Ave,Anaheim,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,11/9/2018," $8,000 ",,,,,,,,,,,Not Bid,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-079,AAA Redlands Convert pole heads to LED,Convert 7 pole heads to LED,1330 Industrial Park Ave.,Redlands,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,1/13/2019," $5,880 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-080,Edwards HVC - Men's Locker Room,Locker room renovation,1435 McGaw Avenue,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Brian , S.P. , CA ,11/8/2018," $26,300 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-081,Samueli Academy Student Innovation Center,New School Buildings and Site work,"1901 N, Fairview Street",Santa Ana,CA, 441 OC ," 62,600 ", Specialty , Select Bid List , Engineered , Steve  , Est. , CA ,11/20/2018," $2,164,479 ", $34.58 ,,,,,,,,,,Awarded,90%, $- ,,,,,,,,,Snyder Langston,Fred Wallitsch,,,,,,,,,,,,,,,,,,,,,
19-082,B|Braun Medical Sub Stations C-K-H-J,"Sub C,K,H,J Replacement",2525 McGaw Ave,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Engineered , Brian , S.P. , CA ,11/30/2018," $181,845 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-083,B|Braun Medical PAC 90 ,Cafeteria Restroom Upgrade,2525 McGaw Ave,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,11/13/2018," $42,871 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
