Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
10-011,Hoag Hospital Irvine,"Package 1, 2 and 6 remodel",16200 Sand Canyon,Irvne,CA, 441 OC ,, Hospital , Competitive , Engineered , Jody , Est. , CA ,10/15/2009," $1,798,832 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,REFCO,Jim Ardary,REFCO,Jim Ardary,,,,,,,,,,,,,,,,,,,,,
10-012,LATCC Library Swing,New building to move libray and remodel,,Los Angeles,CA, 11 LA ,, Comercial , Competitive , Engineered , Jody , Est. , CA ,11/16/2009," $576,000 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,KPRS,Assaf Nachshon,,,,,,,,,,,,,,,,,,,,,
10-013,Hoag Ancillary Review,Design Review,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Negotiated , Engineered , Jeff P. , Est. , CA ,10/2/2009," $200,000 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Hoag Hospital,Gregg Zoll,Hoag Hospital,Gregg Zoll,,,,,,,,,,,,,,,,,,,,,
10-014,San Antonio Community Hospital SU,New Site Utilities,,Upland,CA, 477 SB ,, Hospital , Competitive , Design/Build , Jeff P. , Est. , CA ,10/19/2009," $1,279,400 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Jacobs,Brucc Kuch,,,,,,,,,,,,,,,,,,,,,
10-015,Tha Alhambra,Cooling tower replacement,,Alhambra,CA, 11 LA ,, Comercial , Competitive , Engineered , Frank , Est. , CA ,10/2/2009," $210,809 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Emcor,Roxanne McGruder,,,,,,,,,,,,,,,,,,,,,
10-016,MGE Relocated Line Up Bidget,Install equipment relocated from other plant,Senic Drive,Costa Mesa,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , Est. , CA ,10/2/2009," $199,200 ",,,,,,,,,,Lost,0%, $- ,,,,,,,MGE,Non Tran,MGE,Non Tran,,,,,,,,,,,,,,,,,,,,,
10-017,Spectrolab,Bldg 720 Clean room and mech. Plant,12500 Gladstone Ave.,Sylmar,CA, 11 LA ,, TI , Budget , Engineered , Doyle , Est. , CA ,10/7/2009," $1,266,990 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,CBSI,Tim Cannon,,,,,,,,,,,,,,,,,,,,,
10-018,Chapman Knott Feed and Misc,Upgrade feeder and panel to data area,Palm Ave,Orange,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , Est. , CA ,10/9/2009," $14,082 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Chapman,Ed Blatchford,Chapman,Ed Blatchford,,,,,,,,,,,,,,,,,,,,,
10-019,B Braun Exceed Line 1,New manufacturing line,2525 Mc Gaw Ave,Irvne,CA, 441 OC ," 51,459 ", Industrial , Competitive , Engineered , Rudy , Est. , CA ,10/20/2009," $2,724,515 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,DPR,Jackson Lee,,,,,,,,,,,,,,,,,,,,,
10-020,UHS Rancho Springs Imaging,,,Murrieta,CA, 440 RS ,, Hospital , Competitive , Engineered , Doyle , Est. , CA ,10/23/2009," $363,519 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,Cannon Blds,Tim Cannon,,,,,,,,,,,,,,,,,,,,,
10-021,Quest Diagnostics,Lab remodel,8401 Fallbrook Ave,West Hills,CA, 11 LA ," 3,834 ", TI , Competitive , Engineered , Rudy , Est. , CA ,10/28/2009," $118,320 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,HBC,Jim Scarpinato,,,,,,,,,,,,,,,,,,,,,
10-022,Carson Warehouse Retro-Fit,Retrw-warhouse Lighting,,Carson,CA, 11 LA ," 100,000 ", TI , Budget , Design/Build , Frank , Est. , CA ,10/21/2009," $144,323 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,Ware Malcomb Arch,Michael Schafer,Ware Malcomb Arch,Michael Schafer,,,,,,,,,,,,,,,,,,,,,
10-023,Dean & Deluca Fashion Island,New Store front full TI,,,CA, 441 OC ,, TI , Competitive , Engineered , Jody , Est. , CA ,10/29/2009," $699,599 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,KPRS,Assaf Nachshon,,,,,,,,,,,,,,,,,,,,,
10-024,Hoag Health Center Bulk O2 System,"Power, lighting to O2 storage yard",520 Superior Avenue,Newport Beach,CA, 441 OC ,, Hospital , Competitive , Engineered , Jody , Est. , CA ,10/29/2009," $15,000 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,DEB Contruction,Scott S.,,,,,,,,,,,,,,,,,,,,,
10-025,Montebello Industrial Budget,Warehouse buildout budget,9 Minson ,Montebello,CA, 11 LA ,, TI , Budget , Design/Build , Jeff P. , Est. , CA ,10/29/2009," $945,000 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,KPRS ,Paul K,,,,,,,,,,,,,,,,,,,,,
10-026,Irvine Marriot MOD 14,FA upgrade,18000 Von Karman,Irvne,CA, 441 OC ,, TI , Competitive , Engineered , Rudy , Est. , CA ,11/25/2009," $198,860 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,CW Driver,David Edward,,,,,,,,,,,,,,,,,,,,,
10-027,Hoag MOB Level 3 Upgrade Orange,(2) MOB upgrade to Level 3 OSHPOD,230 S Main St,Orange,CA, 441 OC ,, Hospital , Budget , Design/Build , Doyle , Est. , CA ,11/11/2009," $245,440 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,DPR,Karen Wiley,,,,,,,,,,,,,,,,,,,,,
10-028,Hoag MOB Level 3 Upgrade Newport,(1) MOB upgrade to Level 3 OSHPOD,22 Corporate Plaze,Newport Beach,CA, 441 OC ,, Hospital , Budget , Design/Build , Doyle , Est. , CA ,11/11/2009," $54,700 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,DPR,Karen Wiley,DPR,Karen Wiley,,,,,,,,,,,,,,,,,,,,,
10-029,Crown Valley Medical,5 Blds and Parking Budget,Crown Valley & Cabot,Mission Viejo,CA, 441 OC ,, Hospital , Budget , Design/Build , Doyle , Est. , CA ,11/11/2009," $13,148,730 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,KSC,Daniel Smith,,,,,,,,,,,,,,,,,,,,,
10-030,BWP Solar Project,1100 cell Solar Installation,,Burbank,CA, 11 LA ,, Specialty , Competitive , Engineered , Doyle , Est. , CA ,11/11/2009," $941,950 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,KPRS,Peter Livermore,,,,,,,,,,,,,,,,,,,,,
10-031,4041 MacArthur Blvd. Suite 100,Tenant Improvement,"4041 MacArthur Blvd, ",Newport Beach,CA, 441 OC ," 9,656 ", TI , Budget , Design/Build , Frank , Est. , CA ,11/9/2009," $35,708 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,TAMA Const.,Clyde Tamanaha,,,,,,,,,,,,,,,,,,,,,
10-032,West Coast University - Phase 1,,,,CA, 441 OC ,, TI , Competitive , Engineered , Jody , Est. , CA ,11/24/2009," $603,700 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,KPRS,Assaf Nachshon,,,,,,,,,,,,,,,,,,,,,
10-033,Baxter Fractionation Remodel,Remodel OSHA 9 Clean Room,4501 Colorado Blvd,Los Angeles,CA, 11 LA ," 16,000 ", Specialty , Budget , Design/Build , Frank , Est. , CA ,1/25/2010," $585,993 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,Vertical Const,John Borden,CBSI/Tim,,,,,,,,,,,,,,,,,,,,
10-034,"Hoag Hospital Irvine, TI Pkg. 2",Remodel 7 OR's ,16200 Sand Canyon,Irvne,CA, 441 OC ," 11,550 ", Hospital , Negotiated , Engineered , Rudy , Est. , CA ,12/4/2009," $315,725 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,REFCO,Jim Ardary,REFCO,Jim Ardary,,,,,,,,,,,,,,,,,,,,,
10-035,West Side Diner Facility,Disney West Diner,,Anaheim,CA, 441 OC ,, TI , Competitive , Engineered , Jeff P. , Est. , CA ,,,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $462,900 "
10-036,SPD HVAC Upgrade,HVAC Upgrade,,La Jolla,CA, 441 OC ,, Comercial , Negotiated , Engineered , Doyle , Est. , CA ,12/4/2009," $28,340 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Honeywell,Brian Morford,,,,,,,,,,,,,,,,,,,,,
10-037,Burnham Ward Exterior Upgrade,Exterior Upgrade of Retail Center,3303 Hyland Avenue,Costa Mesa,CA, 441 OC ,, Comercial , Competitive , Design/Build , Frank , Est. , CA ,12/2/2009,,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,Turner Const,Greg Trujillo,,,,,,,,,,,,,,,,,,,,,
10-038,B. Braun Westminster,Tenant Improvement,7400 Hazard Street,Westminster,CA, 441 OC ,, Comercial , Negotiated , Design/Build , Frank , Est. , CA ,12/2/2009," $38,527 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,B. Braun,Steve Hughes,,,,,,,,,,,,,,,,,,,,,
10-039,Burbank Water & Power TI,TI Budget,,Burbank,CA, 11 LA ,, TI , Budget , Design/Build , Doyle , Est. , CA ,12/1/2010," $57,455 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,KPRS,,,,,,,,,,,,,,,,,,,,,,
10-040,B. Braun 2-3L Bag,Clean Room Remodel,2525 Mc Gaw Ave,Irvine,CA, 441 OC ,, Industrial , Budget , Design/Build , Frank , Est. , CA ,12/2/2009," $180,223 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-041,Mindspeed,3 Floor TI,20 Enterprise,Aliso Viejo,CA, 441 OC ,, TI , Budget , Engineered , Doyle , Est. , CA ,12/7/2009," $1,248,696 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-042,Mission Central Plant Replacement,Central Plant Replacement,31872 Coast Hwy,Laguna Beach,CA, 441 OC ,, Specialty , Budget , Design/Build , Frank , Est. , CA ,12/2/2009," $1,059,410 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-043,Hoag Underground off campus,Raceways to connect off site bldgs,,Newport Beach,CA, 441 OC ,, Site , Budget , Design/Build , Doyle , Est. , CA ,12/3/2009," $175,000 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,Hoag,Charlie Sloan,,,,,,,,,,,,,,,,,,,,,
10-044,LACC Transformer Additon,5kV Utility Upgrade,855 N. Vermont Avenue,Los Angeles,CA, 11 LA ,, Site , Select Bid List , Engineered , Rudy , Est. , CA ,2/23/2010," $583,200 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Chevron,Kent Christian,,,,,,,,,,,,,,,,,,,,,
10-045,Treta Tech T.I.,4th and 5th Floor Tenant Improvement,17885 Von Karman Ave.,Irvine,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,12/10/2009," $551,614 ",,,,,,,,,,Lost,0%, $- ,1/18/2010,4/9/2010,,,,,,,Turelk,Toni Scarpinato,,,,,,,,,,,,,,,,,,,,,
10-046,Epson UPS Upgrade,Replace 225kva UPS,3840 Kilroy Airport,Long Beach,CA, 11 LA ,, Specialty , Negotiated , Design/Build , Rudy , Est. , CA ,12/14/2009," $164,660 ",,,,,,,,,,Unknown,5%, $- ,,,,,,,,,Epson,Dave Price,,,,,,,,,,,,,,,,,,,,,
10-047,Thales New plates and 100 amp power,New power for 100amp outlets and plates,58 Discoever,Irvine,CA, 441 OC ,, TI , Negotiated , Design/Build , Doyle , Est. , CA ,12/11/2009," $21,580 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Thales,Arick Gale,Thales,Arick Gale,,,,,,,,,,,,,,,,,,,,,
10-048,Hoag Hospital Irvine Central Plant Pkg 8,Central Plant Upgrades,16200 Sand Canyon,Irvne,CA, 441 OC ," 4,317 ", Hospital , Negotiated , Engineered , Rudy , Est. , CA ,12/18/2009," $35,110 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,REFCO,Jim Ardary,REFCO,Jim Ardary,,,,,,,,,,,,,,,,,,,,,
10-049,Baxter T.O. HVAC Upgrade,HVAC Upgrade,1700 Rancho Conejo Blvd,Thousand Oaks,CA, 11 LA ,, TI , Competitive , Engineered , Frank , Est. , CA ,1/6/2010," $80,785 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,DPR,Doug Allen,,,,,,,,,,,,,,,,,,,,,
10-050,Western Digital TI,TI and sitework,3337 Michelson ,Irvine,CA, 441 OC ," 330,000 ", TI , Competitive , Engineered , Rudy , Est. , CA ,1/8/2010,,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,Roel,Roman Gunter,Howard BC,Tom Listerud,Snyder Langston,Rick Cavecche,WE Oniel ,Shaun Guertin,Turelk ,Kevin Eddy,,,,,,,,,,,,,
10-051,Wilsire Café Rough Budget,Rough resturaunt,,Los Angeles,CA, 441 OC ,, Comercial , Budget , Design/Build , Doyle , Est. , CA ,12/18/2009," $34,000 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,KPRS,Suzy,,,,,,,,,,,,,,,,,,,,,
10-052,Huy Fong Foods,Site and Ti,,Irwindale,CA, 11 LA ," 627,109 ", Comercial , Budget , Design/Build , Rudy , Est. , CA ,1/14/2010," $3,442,330 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,KPRS,Angel B,,,,,,,,,,,,,,,,,,,,,
10-053,Chromalloy Genset Removal,Remove Genset and reroute feeders,2100 w. 139tj street,Gardena,CA, 441 OC ,, Comercial , Competitive , Design/Build , Doyle , Est. , CA ,12/30/2009," $66,000 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Chromalloy,John Martinez,,,,,,,,,,,,,,,,,,,,,
10-054,Trader Joe Fontana  Best Fresh,Best Fresh TI buildout,,Fontana,CA, 441 OC ,, Comercial , Competitive , Design/Build , Doyle , Est. , CA ,1/4/2010," $491,465 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,KPRS,Paul K,,,,,,,,,,,,,,,,,,,,,
10-055,"Hoag Hospital Irvine, IT Pkg 7",,16200 Sand Canyon,Irvine,CA, 441 OC ,, Hospital , Negotiated , Engineered , Jody , Est. , CA ,1/19/2010," $599,046 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,REFCO,Jim Ardary,REFCO,Jim Ardary,,,,,,,,,,,,,,,,,,,,,
10-056,Hoag North Building Assesment,Assessment of defiencies,,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Design/Build , Jeff P. , Est. , CA ,1/7/2010," $35,975 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,Whiting Turner,Kane Sawtelle,Whiting Turner,Kane Sawtelle,,,,,,,,,,,,,,,,,,,,,
10-057,Chapman Production Offices,Add new lighting in 2 offices,1 University Drive,Orange,CA, 441 OC ,, TI , Competitive , Design/Build , Doyle , Est. , CA ,1/7/2010," $3,278 ",,,,,,,,,,Awarded,20%, $- ,,,,,,,,,Chapman,Ed Blatchford,,,,,,,,,,,,,,,,,,,,,
10-058,Oasis Sr. Center Canopy,,,Newport Beach,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Doyle , Est. , CA ,1/14/2010,,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-059,Kaiser Gardena ADA Project,Retrofit restrooms for ADA,,Gardena,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Doyle , Est. , CA ,1/12/2010," $19,170 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Whiting Turner ,Alan Borret,,,,,,,,,,,,,,,,,,,,,
10-060,Baush and Lomb TI,1 floor TI for new space,30 Enterprise,Aliso Viejo,CA, 441 OC ," 24,000 ", TI , Budget , Engineered , Doyle , Est. , CA ,1/12/2010," $515,000 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,KPRS,Assaf Nachshon,,,,,,,,,,,,,,,,,,,,,
10-061,Hoag Hospital Irvine-Package 10,Common Area Package,16200 Sand Canyon,Irvine,CA, 441 OC ,, Hospital , Negotiated , Engineered , Jody , Est. , CA ,1/24/2010," $221,621 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,REFCO,Jim Ardary,REFCO,Jim Ardary,,,,,,,,,,,,,,,,,,,,,
10-062,Hoag Café Building Superior,Budget for Free Standing Café Bld,,Newport Beach,CA, 441 OC ," 2,460 ", TI , Budget , Engineered , Doyle , Est. , CA ,1/20/2010," $131,005 ",,,,,,,,,,Lost,1%, $- ,,,,,,,,,DBAC,Scott,,,,,,,,,,,,,,,,,,,,,
10-063,United Health Group,"5 story TI, Ph. 1",5701 Katella Avenue,Cypress,CA, 441 OC ," 190,000 ", TI , Competitive , Engineered , Rudy , Est. , CA ,1/20/2010," $1,227,270 "," $1,945 "," $7,000 "," $1,000 ",,,,,,,Lost,0%, $- ,,,,,,,Caliber,,Keyte Const,Owen Keyte,Turner,Brian Pawli,Caliber Const,Rose Sweeney,DEB,S.Shellhammer,,,,,,,,,,,,,,,
10-064,Hoag HVI Survey,Site Survey,,Newport Beach,CA, 441 OC ,, Hospital , Negotiated , Design/ Assist , Jeff P. , Est. , CA ,1/18/2010," $74,300 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,,,Hoag/Jacobs,Bruce Kuch,,,,,,,,,,,,,,,,,,,,,
10-065,South Health Center,Ground Up MOB,Wilmington Ave at 120th St,Los Angeles,CA, 11 LA ," 30,000 ", Comercial , Budget , Design/Build , Frank , Est. , CA ,1/18/2010," $1,150,000 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,McCarthy,Rob Bruns,DPR,,,,,,,,,,,,,,,,,,,,
10-066,Chapman Memorial Relamp,Relamp Memorial,1 University Drive,Orange,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , Est. , CA ,1/20/2010," $5,400 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Chapman,Ed Blatchford,,,,,,,,,,,,,,,,,,,,,
10-067,Hohl Honda,Assist Nevada with Lighting,,Carson City,NV, 401 Reno ,, Comercial , Budget , Engineered , Doyle , Est. , NV ,,,,,,,,,,,,Not Built,0%, $- ,,,,,,,,,Briggs Nevada,Greg Dye,,,,,,,,,,,,,,,,,,,,,
10-068,B. Braun Metrology VOID SEE 10-162,Lab remodel,2525 Mc Gaw Ave,Irvine,CA, 441 OC ," 2,129 ", Comercial , Budget , Design/Build , Frank , Est. , CA ,1/15/2010,,,,,,,,,,,Not Bid,0%, $- ,,,,,,,Cannon Building ,Tim Cannon,CBSI,Tim Cannon,,,,,,,,,,,,,,,,,,,,,
10-069,Sandow Fire Job,Residential Rebuild following Fire,21831 Evenside,Lake Forest,CA, 441 OC ,, TI , Select Bid List , Engineered , Doyle , Est. , CA ,1/29/2010," $29,237 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-070,Wilshire Penthouse,,6420 Wilshire,Los Angeles,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , Est. , CA ,1/28/2010," $13,700 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,KPRS,Suzy,KPRS,Suzy,,,,,,,,,,,,,,,,,,,,,
10-071,Far West Palm Spring ,TI floor modification,1401 Dove Street,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Engineered , Jody , Est. , CA ,2/1/2010," $44,185 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Roel,Emmanuel Chaverot,,,,,,,,,,,,,,,,,,,,,
10-072,Chapman 400 amp panels,Add new panels and distribuition for IT,635 W Palm,Orange,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , Est. , CA ,2/6/2010," $34,579 ",,,,,,,,,,Not Built,5%, $- ,,,,,,,,,Chapman,Ed Blatchford,,,,,,,,,,,,,,,,,,,,,
10-073,Quest Diagnostics New AC,(3) new AC units,1555 Sinclair,Anaheim,CA, 441 OC ,, TI , Select Bid List , Engineered , Jeff S. , P.M. , CA ,2/1/2010," $5,158 ",,,,,,,,,,Lost,5%, $- ,,,,,,,,,HBC,Jim Scarpinato,,,,,,,,,,,,,,,,,,,,,
10-074,Hoag Package 11,Existing Kitchen Upgrades,16200 Sand Canyon,Irvine,CA, 441 OC ,, Hospital , Negotiated , Engineered , Rudy , Est. , CA ,2/11/2010," $48,853 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,REFCO,Jim Ardary,REFCO,Jim Ardary,,,,,,,,,,,,,,,,,,,,,
10-075,Park Place Central Plant,,3337 Michelson ,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Engineered , Jody , Est. , CA ,2/10/2010," $272,721 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Control Air Cond.,Jeff Conrad,,,,,,,,,,,,,,,,,,,,,
10-076,Baxter HVAC Upgrade,New Chiller Units,4501 Colorado Blvd,Los Angeles,CA, 11 LA ,, Industrial , Budget , Design/Build , Frank , Est. , CA ,2/1/2010," $167,370 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,Vertical,John Borden,CBSI,Tim Cannon,,,,,,,,,,,,,,,,,,,,,
10-077,Hoag Irvine- IB-002-006,Bulletin #6 Package #2,16200 Sand Canyon,Irvine,CA, 441 OC ,, Hospital , Negotiated , Engineered , Jeff S. , P.M. , CA ,2/2/2110," $41,303 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,REFCO,Jim Ardary,REFCO,Jim Ardary,,,,,,,,,,,,,,,,,,,,,
10-078,Burnham Benefits,TI,"2211 Michelson, Suite 1200",Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Rudy , Est. , CA ,2/4/2010," $99,205 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,HBC,Nima Nadmar,,,,,,,,,,,,,,,,,,,,,
10-079,3M Restoratives Filling Expansion,TI,2111 McGaw Avenue,Irvine,CA, 441 OC ,, TI , Competitive , Engineered , Frank , Est. , CA ,2/8/2010," $46,668 ",,,,,,,,,,Lost,2%, $- ,,,,,,,,,UR&E,Mike Romero,,,,,,,,,,,,,,,,,,,,,
10-080,Hoag Package 9,,16200 Sand Canyon,Irvine,CA, 441 OC ,, Hospital , Competitive , Engineered , Rudy , Est. , CA ,2/12/2010," $33,147 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,REFCO,Jim Ardary,REFCO,Jim Ardary,,,,,,,,,,,,,,,,,,,,,
10-081,1111 Sunset,,1111 Sunset,Los Angeles,CA, 441 OC ,, TI , Budget , Engineered , Doyle , Est. , CA ,2/6/2010," $2,100,000 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Arciero,Joe Matino,,,,,,,,,,,,,,,,,,,,,
10-082,Henkel Relocation,TI relocation lab and office,1400 Jamboree,Irvine,CA, 441 OC ," 75,000 ", TI , Budget , Engineered , Doyle , Est. , CA ,2/8/2010," $2,140,000 ",,,,,,,,,,Lost,0%, $- ,,,,,,,,,Sndyer,,DPR,,KPRS,,ROEL,,,,,,,,,,,,,,,,
